466b8d50e9e7dc607084d36f915197924a4d262addf8f01dc19e649bdab5d79f,3e1e0a741db5987bfe7cf555cd74ca58bf2b535b41b362b8279c503e36255322,08c559156a37949e43d380ac6bd8d907b40bcc4616e3451799c45306d00bbaa4,5bf828b0e54ccd00ad6ec48b47331c022c0d3db2c963a72bc6c1ddcce5a625d6,8db74f8374eae974a543124b8d175c9aed1cf2b9cfde2cc9e5d9b1a8391cf8a5,9339145d869ca3115969b0e45f3d66277f12bb0563904c3b0fe77c9ed28287d7,ac66a1a3a1026a281016f27fec551d318b4d1bd6074d3a5743487fbd8a33067d,b7dd5c5d77a1718ad5bc90dd874b937b96f9c5e3109afba44f4e92e49e80159e,da08811a50ddecfa32d81ac985ed4dd490965670b74379a3b0819b91e4aa31a1
"全難易度合計で10000pt獲得しよう","1001","1","100101","0","10000","0","1001","100101"
"全難易度合計で30000pt獲得しよう","1001","1","100102","0","30000","0","1001","100102"
"全難易度合計で50000pt獲得しよう","1001","1","100103","0","50000","0","1001","100103"
"全難易度合計で70000pt獲得しよう","1001","1","100104","0","70000","0","1001","100104"
"全難易度合計で90000pt獲得しよう","1001","1","100105","1","90000","0","1001","100105"
"全難易度合計で105000pt獲得しよう","1001","1","100106","1","105000","0","1001","100106"
"全難易度合計で120000pt獲得しよう","1001","1","100107","1","120000","0","1001","100107"
"全難易度合計で135000pt獲得しよう","1001","1","100108","1","135000","0","1001","100108"
"難易度NORMAL1で1回戦おう","1001","1","100109","2","0","1","1002","100109"
"難易度NORMAL2で1回戦おう","1001","1","100110","2","0","1","1003","100110"
"難易度NORMAL3で1回戦おう","1001","1","100111","2","0","1","1004","100111"
"難易度NORMALで10000pt獲得しよう","1001","1","100112","3","10000","1","1001","100112"
"難易度NORMALで20000pt獲得しよう","1001","1","100113","3","20000","1","1001","100113"
"難易度NORMALで30000pt獲得しよう","1001","1","100114","3","30000","1","1001","100114"
"難易度HARD1で1回戦おう","1001","1","100115","4","0","2","1002","100115"
"難易度HARD2で1回戦おう","1001","1","100116","4","0","2","1003","100116"
"難易度HARD3で1回戦おう","1001","1","100117","4","0","2","1004","100117"
"難易度HARDで15000pt獲得しよう","1001","1","100118","5","15000","2","1001","100118"
"難易度HARDで30000pt獲得しよう","1001","1","100119","5","30000","2","1001","100119"
"難易度HARDで45000pt獲得しよう","1001","1","100120","5","45000","2","1001","100120"
"難易度EXTRA1で1回戦おう","1001","1","100121","6","0","3","1002","100121"
"難易度EXTRA2で1回戦おう","1001","1","100122","6","0","3","1003","100122"
"難易度EXTRA3で1回戦おう","1001","1","100123","6","0","3","1004","100123"
"難易度EXTRAで20000pt獲得しよう","1001","1","100124","7","20000","3","1001","100124"
"難易度EXTRAで40000pt獲得しよう","1001","1","100125","7","40000","3","1001","100125"
"難易度EXTRAで60000pt獲得しよう","1001","1","100126","7","60000","3","1001","100126"
"全難易度合計で10000pt獲得しよう","1002","1","100201","0","10000","0","1001","100201"
"全難易度合計で30000pt獲得しよう","1002","1","100202","0","30000","0","1001","100202"
"全難易度合計で50000pt獲得しよう","1002","1","100203","0","50000","0","1001","100203"
