ceae231c3e33064361ed9c837dc625c18a11820a54db393f438bccabd510d3eb,b25726217f224b49d0418b39a34fd8492f32c83b1592466a73e49638c294511d,0af057f4ffb832edff8d6054148e16c088fadcc2c239102f369fdd40ff7a47b8,13b215a0cc17285183554c138206bfbaa68d12d9ebaf5fc2a5abb8744f2dab3b,fbd223f1bbf9db40b8098a35f5921c7f703c4ed4056791f60a932b8fe2a05066,6e3629e14f4333923d331fb6bc1c587a77b4791da2c4fb507f3f52fc0fe9e731,e357509c3e733740858a22b888717a277e1724e978caa62eac8a8d333ebbcb4b,eaebd1f16c0b2aef2bb4f27f9845eb9c226134a3c2b7b7d392beb415d7b0dd96,1a36f8fba4e37ea70d0933c426f53d03d69a3df91c22f64c68de1e40e701a2de
"1001","0","1002","20021","1","129","1001","プリンセスナイトRANK5を達成しよう","5"
"1002","0","1002","20021","1","129","1002","プリンセスナイトRANK10を達成しよう","10"
"1003","0","1002","20021","1","129","1003","プリンセスナイトRANK30を達成しよう","30"
"1004","0","1002","20021","1","129","1004","プリンセスナイトRANK50を達成しよう","50"
"1005","0","1002","20021","1","129","1005","プリンセスナイトRANK100を達成しよう","100"
"1006","0","1002","20021","1","129","1006","プリンセスナイトRANK150を達成しよう","150"
"1007","0","1002","20021","1","129","1007","プリンセスナイトRANK200を達成しよう","200"
"1008","0","1002","20021","1","129","1007","プリンセスナイトRANK250を達成しよう","250"
"1009","0","1002","20021","1","129","1007","プリンセスナイトRANK300を達成しよう","300"
"2001","1","1003","20022","2","129","2001","火属性の属性レベルを50まで上げよう","50"
"2002","1","1003","20022","2","129","2002","火属性の属性レベルを100まで上げよう","100"
"2003","1","1003","20022","2","129","2003","火属性の属性レベルを150まで上げよう","150"
"2004","1","1003","20022","2","129","2004","火属性の属性レベルを200まで上げよう","200"
"2005","1","1003","20022","2","129","2005","火属性の属性レベルを250まで上げよう","250"
"2006","1","1003","20022","2","129","2006","火属性の属性レベルを300まで上げよう","300"
"2007","1","1003","20022","2","129","2007","火属性の属性レベルを350まで上げよう","350"
"2008","1","1003","20022","2","129","2008","火属性の属性レベルを400まで上げよう","400"
"2009","1","1003","20022","2","129","2009","火属性の属性レベルを450まで上げよう","450"
"2010","1","1003","20022","2","129","2010","火属性の属性レベルを500まで上げよう","500"
"3001","2","1003","20022","3","129","2001","水属性の属性レベルを50まで上げよう","50"
"3002","2","1003","20022","3","129","2002","水属性の属性レベルを100まで上げよう","100"
"3003","2","1003","20022","3","129","2003","水属性の属性レベルを150まで上げよう","150"
"3004","2","1003","20022","3","129","2004","水属性の属性レベルを200まで上げよう","200"
"3005","2","1003","20022","3","129","2005","水属性の属性レベルを250まで上げよう","250"
"3006","2","1003","20022","3","129","2006","水属性の属性レベルを300まで上げよう","300"
"3007","2","1003","20022","3","129","2007","水属性の属性レベルを350まで上げよう","350"
"3008","2","1003","20022","3","129","2008","水属性の属性レベルを400まで上げよう","400"
"3009","2","1003","20022","3","129","2009","水属性の属性レベルを450まで上げよう","450"
"3010","2","1003","20022","3","129","2010","水属性の属性レベルを500まで上げよう","500"
"4001","3","1003","20022","4","129","2001","風属性の属性レベルを50まで上げよう","50"
"4002","3","1003","20022","4","129","2002","風属性の属性レベルを100まで上げよう","100"
"4003","3","1003","20022","4","129","2003","風属性の属性レベルを150まで上げよう","150"
"4004","3","1003","20022","4","129","2004","風属性の属性レベルを200まで上げよう","200"
"4005","3","1003","20022","4","129","2005","風属性の属性レベルを250まで上げよう","250"
"4006","3","1003","20022","4","129","2006","風属性の属性レベルを300まで上げよう","300"
"4007","3","1003","20022","4","129","2007","風属性の属性レベルを350まで上げよう","350"
"4008","3","1003","20022","4","129","2008","風属性の属性レベルを400まで上げよう","400"
"4009","3","1003","20022","4","129","2009","風属性の属性レベルを450まで上げよう","450"
"4010","3","1003","20022","4","129","2010","風属性の属性レベルを500まで上げよう","500"
"5001","4","1003","20022","5","129","2001","光属性の属性レベルを50まで上げよう","50"
"5002","4","1003","20022","5","129","2002","光属性の属性レベルを100まで上げよう","100"
"5003","4","1003","20022","5","129","2003","光属性の属性レベルを150まで上げよう","150"
"5004","4","1003","20022","5","129","2004","光属性の属性レベルを200まで上げよう","200"
"5005","4","1003","20022","5","129","2005","光属性の属性レベルを250まで上げよう","250"
