72a4a74839e2a862b5279edbb2fbc85edafb519c1f02eeb0fb2f6a1d1ab2c8c5,71f6b4c183b4b0e398a65f4728f02832928dd04d7c99645c863987b489f8b5f9,fc5600b1428b5b036892485b433b106eb68ed2d4b47c022add7b1551edbf3694,f798703eaedac3168046aee797124b7d0378b03b75718da4479e434f3400030e,966fd77b996d69ad810654d17063374925eecc284f12cc7e03a462438ac82590,74058890b5aff68ad18f6dad3d6965e612369c382a1aa72d8a63e804722bd526,a0a22673ad2e82598ce78d5a854a11189d5b4981028397b16ee483e78646604b,3cb6d3109bd32603f24fda4dcfb8473f8cd88fa830168b818a2db8fea571dbb0,8cd0df91bf62abd4bbf757eca974bfcb26354c193d6a0f12c39b54c31e30dbc0,0ca91d50671b9acd67e8ad695de3b3c9cf1d7bb049995ff17fc24d69d84511a3,162b9233fdfc864e2249c191e32d2e2168262865afce9082ef4f63164e080a03,9fdd85048932cc274b2f8cdadd876a1b3c0ebb197761819b685ba90ed2c61b98
"1","-1","13","1","3","100","1","1","-1","1","1","100101"
"1","-1","15","1","4","130","1","1","-1","1","1","100201"
"1","-1","17","1","4","160","1","1","-1","1","1","100301"
"1","120","19","1","4","180","1","1","-1","1","1","100401"
"1","-1","19","1","4","180","1","1","-1","1","1","100402"
"1","150","21","1","4","200","1","1","-1","1","1","100501"
"1","-1","21","1","4","200","1","1","-1","1","1","100502"
"1","180","23","1","5","220","1","1","-1","1","1","100601"
"1","-1","23","1","5","220","1","1","-1","1","1","100602"
"1","210","25","1","5","240","1","1","-1","1","1","100701"
"1","-1","25","1","5","240","1","1","-1","1","1","100702"
"1","240","27","1","5","260","1","1","-1","1","1","100801"
"1","-1","27","1","5","260","1","1","-1","1","1","100802"
"1","270","29","1","5","280","1","1","-1","1","1","100901"
"1","-1","29","1","5","280","1","1","-1","1","1","100902"
"1","300","32","1","6","300","1","1","1","1","1","101001"
"1","300","32","1","6","300","1","1","-1","1","1","101002"
"1","-1","32","1","6","300","1","1","-1","1","1","101003"
"1","300","32","1","5","300","1","1","1","1","1","101004"
"1","300","32","1","5","300","1","1","-1","1","1","101005"
"1","-1","32","1","5","300","1","1","-1","1","1","101006"
"1","300","32","1","6","310","1","1","1","1","1","101101"
"1","300","32","1","6","310","1","1","-1","1","1","101102"
"1","-1","32","1","6","310","1","1","-1","1","1","101103"
"1","300","32","1","5","310","1","1","1","1","1","101104"
"1","300","32","1","5","310","1","1","-1","1","1","101105"
"1","-1","32","1","5","310","1","1","-1","1","1","101106"
"1","300","32","1","6","320","1","1","1","1","1","101201"
"1","300","32","1","6","320","1","1","-1","1","1","101202"
"1","-1","32","1","6","320","1","1","-1","1","1","101203"
