12223a7df113d2759a916342fb691dcc1227da487205fe55e4a55f03803ab9d9,57ce847d8c04917d344bb268503db18bbf2c9652348c803a8344abd7069e4972,99d8714f9c93cbda9cd7184bb3e1999b1855dd913d5fecdf27a1731ccd401392,4614486a0c88877fae91d35f386fe25df7588a4d6adb6a029116ad98f0bf6984,1af079d537ad77e11b6aefdf0db4fccd4414c694ad68672670e9fa815bcef879,e1626c42912c7c216ac7227a097cf47398f8f8fc030e68a26f2f950192171e96,f628b736eeb7cbdf49d9678c46b8000452d0f9c9a73afcb3ef67f926bfc12e53,b7516214c0cbdce14aac27ad749ead3c0e9cfedebd74a1f76038482eeed84f68,4131cc9f5b9fc77bbc514967fe15d4122617a91dc38212b3573c92e90bd4ad66
"1","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","6","18001001","100"
"2","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","6","18001002","100"
"3","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","11001001","30"
"4","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","12","11001001","30000"
"5","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","91002","8","11001001","10"
"6","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","11003001","40"
"7","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","20002","2","11003001","2"
"8","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","91002","8","11003001","10"
"9","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","13002001","20"
"10","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","18004001","20"
"11","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","16006001","25"
"12","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","16007001","25"
"13","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","22001","2","16007001","3"
"14","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","11004001","30"
"15","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","20002","2","11004001","2"
"16","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","90007","2","11004001","500"
"17","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","11005001","40"
