f5c3271d3da2a0ad2991bf1846c54fa43b62c85899c83e51d98c8296d6a8ee80,68812374fd60f2a532dff733ade8bc5714bf140e4d300fcfc5131debca41ce51,b630aa484396ff3fb5684ab7eddcd29ef9da6276d98b4d4b2e812f99d1f1e643,3551acc6acb19026a82442875439db327cf7fdfaf672f8126b4c7a4e49d389e9,efa1c2d21c3dba64eee2da6cb2462b49c0a5456657434d481200d02373310ac0
"10000101","94002","12","100001011","150000"
"10000101","22003","2","100001012","6"
"10000102","94002","12","100001021","500000"
"10000102","22003","2","100001022","6"
"10000103","94002","12","100001031","500000"
"10000103","140001","4","100001032","3"
"10000103","25001","2","100001033","3"
"10000104","94002","12","100001041","500000"
"10000104","22003","2","100001042","6"
"10000105","94002","12","100001051","500000"
"10000105","140001","4","100001052","4"
"10000105","25001","2","100001053","4"
"10000106","94002","12","100001061","500000"
"10000106","22003","2","100001062","6"
"10000107","94002","12","100001071","500000"
"10000107","140001","4","100001072","4"
"10000107","25001","2","100001073","4"
"10000108","94002","12","100001081","500000"
"10000108","22003","2","100001082","6"
"10000109","94002","12","100001091","500000"
"10000109","140001","4","100001092","4"
"10000109","25001","2","100001093","4"
"10050501","94002","12","100505011","120000"
"10050501","22003","2","100505012","3"
"10050502","94002","12","100505021","120000"
"10050502","22003","2","100505022","4"
"10050503","94002","12","100505031","120000"
"10050503","22003","2","100505032","4"
"10050511","94002","12","100505111","120000"
"10050511","22003","2","100505112","3"
"10050512","94002","12","100505121","160000"
"10050512","22003","2","100505122","4"
"10060601","94002","12","100606011","120000"
"10060601","22003","2","100606012","3"
"10060602","94002","12","100606021","120000"
"10060602","22003","2","100606022","4"
"10060603","94002","12","100606031","120000"
"10060603","22003","2","100606032","4"
"10060611","94002","12","100606111","120000"
"10060611","22003","2","100606112","3"
"10060612","94002","12","100606121","160000"
"10060612","22003","2","100606122","4"
"10070701","94002","12","100707011","120000"
"10070701","22003","2","100707012","3"
"10070702","94002","12","100707021","120000"
"10070702","22003","2","100707022","4"
"10070703","94002","12","100707031","120000"
"10070703","22003","2","100707032","4"
"10070711","94002","12","100707111","120000"
"10070711","22003","2","100707112","3"
"10070712","94002","12","100707121","160000"
"10070712","22003","2","100707122","4"
"10080801","94002","12","100808011","120000"
"10080801","22003","2","100808012","3"
"10080802","94002","12","100808021","120000"
"10080802","22003","2","100808022","4"
"10080803","94002","12","100808031","120000"
"10080803","22003","2","100808032","4"
"10080811","94002","12","100808111","120000"
"10080811","22003","2","100808112","3"
"10080812","94002","12","100808121","160000"
"10080812","22003","2","100808122","4"
