f09f4667abf173e6376841dfb908ee66939483b28829e074239c2a47cf0449cc,a001bf792fed72d704e004ec841b3f192d697696bd536a972088e68fc6a8032c,63b2d7be7fba3e6b9b8c90701bbe8caae7838347ea158b96705f3b2ed9bb0857,dbeb023049133de630c4832a26fcc9aa652d86f8b1c32b7a32f6411a016262b3,5f7407858647f8073991117fc87c3e8c9ba05cb3da8687589b102441103b76fd,7ecd514cbcea260920fa329e53561351c36745b4e1779904e990c4826d54f100,1ab8a0e643860f7e864d9ffa44389c1ddc0495d0282149b65e6c7b6793e8bff9,e529b7be7cbb229195b1e51557d96a41da4eecdcf379e1d5b46a27cbc03b430b,76dc38b05641a9cdfb75af90332d4c9305a2df5a59067d52ba9efc345acb7eda,587ad8228f7a1875e9a773f72696c3620df16af5fe8fe7d8377fad9068a11d61,c9985ca3e3b85e00ba9fa1351d0e9eb985c1c33619d93caca97d40cf70c92113,10703462629b7b26a56835461a42287b27065be9a189638a3777a3be93198de8,5f62240c2df41ad2e599a6336b117e1ec06bd36b25fb43a58ca146e7e61de84e,be5685ae948d4a4dd9326de90415592cb5d33d50aba5b67c888efc25e475d31f,14a435193ec16d55c3d31f9cfdf3bb71390b5f01fec4b3eb60018f6853a94afe,dba6b7d39e8372c4d0061e32e18fd8a6a60a4647ae099d49aa15456db3008c43,b5553287418a7d6e3db4343c497fb6b37680e3dcce34bffa03a95b8b20aa7a7e,7481db04c7568a2046b0fe6129314ddd20e3bb3638cbc1f4449aa48e2cbb4e30
"1","1","0","8","0","0","91002","0","10","0","0","0","0","0","0","0","50","0"
"2","11","0","8","0","0","91002","0","100","0","0","0","0","0","0","0","10","0"
"3","101","0","8","0","0","91002","0","200","0","0","0","0","0","0","0","5","0"
"4","201","0","8","0","0","91002","0","500","0","0","0","0","0","0","0","3","0"
"5","501","0","8","0","0","91002","0","1000","0","0","0","0","0","0","0","2","0"
"6","1001","0","8","0","0","91002","0","2000","0","0","0","0","0","0","0","2","0"
"7","2001","0","8","0","0","91002","0","3999","0","0","0","0","0","0","0","1","0"
"8","4000","0","8","0","0","91002","0","4000","0","0","0","0","0","0","0","50","0"
"9","4100","0","8","0","0","91002","0","4100","0","0","0","0","0","0","0","50","0"
"10","4200","0","8","0","0","91002","0","4200","0","0","0","0","0","0","0","50","0"
"11","4300","0","8","0","0","91002","0","4300","0","0","0","0","0","0","0","50","0"
"12","4400","0","8","0","0","91002","0","4400","0","0","0","0","0","0","0","50","0"
"13","4500","0","8","0","0","91002","0","4500","0","0","0","0","0","0","0","50","0"
"14","4600","0","8","0","0","91002","0","4600","0","0","0","0","0","0","0","50","0"
"15","4700","0","8","0","0","91002","0","4700","0","0","0","0","0","0","0","50","0"
"16","4800","0","8","0","0","91002","0","4800","0","0","0","0","0","0","0","50","0"
"17","4900","0","8","0","0","91002","0","4900","0","0","0","0","0","0","0","50","0"
"18","5000","0","8","0","0","91002","0","5000","0","0","0","0","0","0","0","50","0"
"19","5100","0","8","0","0","91002","0","5100","0","0","0","0","0","0","0","50","0"
"20","5200","0","8","0","0","91002","0","5200","0","0","0","0","0","0","0","50","0"
"21","5300","0","8","0","0","91002","0","5300","0","0","0","0","0","0","0","50","0"
"22","5400","0","8","0","0","91002","0","5400","0","0","0","0","0","0","0","50","0"
"23","5500","0","8","0","0","91002","0","5500","0","0","0","0","0","0","0","50","0"
"24","5600","0","8","0","0","91002","0","5600","0","0","0","0","0","0","0","50","0"
"25","5700","0","8","0","0","91002","0","5700","0","0","0","0","0","0","0","50","0"
"26","5800","0","8","0","0","91002","0","5800","0","0","0","0","0","0","0","50","0"
"27","5900","0","8","0","0","91002","0","5900","0","0","0","0","0","0","0","50","0"
"28","6000","0","8","0","0","91002","0","6000","0","0","0","0","0","0","0","50","0"
"29","6100","0","8","0","0","91002","0","6100","0","0","0","0","0","0","0","50","0"
"30","6200","0","8","0","0","91002","0","6200","0","0","0","0","0","0","0","50","0"
"31","6300","0","8","0","0","91002","0","6300","0","0","0","0","0","0","0","50","0"
"32","6400","0","8","0","0","91002","0","6400","0","0","0","0","0","0","0","50","0"
"33","6500","0","8","0","0","91002","0","6500","0","0","0","0","0","0","0","50","0"
"34","6600","0","8","0","0","91002","0","6600","0","0","0","0","0","0","0","50","0"
"35","6700","0","8","0","0","91002","0","6700","0","0","0","0","0","0","0","50","0"
"36","6800","0","8","0","0","91002","0","6800","0","0","0","0","0","0","0","50","0"
"37","6900","0","8","0","0","91002","0","6900","0","0","0","0","0","0","0","50","0"
"38","7000","0","8","0","0","91002","0","7000","0","0","0","0","0","0","0","50","0"
"39","7100","0","8","0","0","91002","0","7100","0","0","0","0","0","0","0","50","0"
"40","7200","0","8","0","0","91002","0","7200","0","0","0","0","0","0","0","50","0"
"41","7300","0","8","0","0","91002","0","7300","0","0","0","0","0","0","0","50","0"
"42","7400","0","8","0","0","91002","0","7400","0","0","0","0","0","0","0","50","0"
"43","7500","0","8","0","0","91002","0","7500","0","0","0","0","0","0","0","50","0"
"44","7600","0","8","0","0","91002","0","7600","0","0","0","0","0","0","0","50","0"
"45","7700","0","8","0","0","91002","0","7700","0","0","0","0","0","0","0","50","0"
"46","7800","0","8","0","0","91002","0","7800","0","0","0","0","0","0","0","50","0"
"47","7900","0","8","0","0","91002","0","7900","0","0","0","0","0","0","0","50","0"
"48","8000","0","8","0","0","91002","0","8000","0","0","0","0","0","0","0","50","0"
"49","8100","0","8","0","0","91002","0","8100","0","0","0","0","0","0","0","15","0"
"50","8200","0","8","0","0","91002","0","8200","0","0","0","0","0","0","0","15","0"
"51","8300","0","8","0","0","91002","0","8300","0","0","0","0","0","0","0","15","0"
"52","8400","0","8","0","0","91002","0","8400","0","0","0","0","0","0","0","15","0"
"53","8500","0","8","0","0","91002","0","8500","0","0","0","0","0","0","0","15","0"
"54","8600","0","8","0","0","91002","0","8600","0","0","0","0","0","0","0","15","0"
"55","8700","0","8","0","0","91002","0","8700","0","0","0","0","0","0","0","15","0"
"56","8800","0","8","0","0","91002","0","8800","0","0","0","0","0","0","0","15","0"
"57","8900","0","8","0","0","91002","0","8900","0","0","0","0","0","0","0","15","0"
"58","9000","0","8","0","0","91002","0","9000","0","0","0","0","0","0","0","15","0"
"59","9100","0","8","0","0","91002","0","9100","0","0","0","0","0","0","0","15","0"
"60","9200","0","8","0","0","91002","0","9200","0","0","0","0","0","0","0","15","0"
"61","9300","0","8","0","0","91002","0","9300","0","0","0","0","0","0","0","15","0"
"62","9400","0","8","0","0","91002","0","9400","0","0","0","0","0","0","0","15","0"
"63","9500","0","8","0","0","91002","0","9500","0","0","0","0","0","0","0","15","0"
"64","9600","0","8","0","0","91002","0","9600","0","0","0","0","0","0","0","15","0"
"65","9700","0","8","0","0","91002","0","9700","0","0","0","0","0","0","0","15","0"
"66","9800","0","8","0","0","91002","0","9800","0","0","0","0","0","0","0","15","0"
"67","9900","0","8","0","0","91002","0","9900","0","0","0","0","0","0","0","15","0"
"68","10000","0","8","0","0","91002","0","10000","0","0","0","0","0","0","0","15","0"
"69","10100","0","8","0","0","91002","0","10100","0","0","0","0","0","0","0","15","0"
"70","10200","0","8","0","0","91002","0","10200","0","0","0","0","0","0","0","15","0"
"71","10300","0","8","0","0","91002","0","10300","0","0","0","0","0","0","0","15","0"
