60091305ad48c1c357fa039d40410a47e7929e4c32ca218676d76a0ffcb8cf2a,e6fb2367d8350da907b59351ed7c9177fd951b7a899825e216b5be7bcf5c4bde,d7e8fb974b27c8e18273a1251fb0bee325f28da3b571311f625b7d29c4784108,359023b27020de44ee99e42072d6cce0aa072c8617a9b743d1acda70562f09c4,f493f13ec3b4c1d0fb1dcb3a06b33d0208704b59363233f0385d5aea1e74888f,1f64d03673f98a97b14e5e2fb03325dbd27e5f5645934764012aa4657958d2e1,4be4cb512c93a426a2d12556cfa0ac5d047c77e1411b3169810b67ae4977cb3d,c8541ae3c7f0a525a77636ffc7e52d0a80d281cd0913514274a332a430e05e1c,5063508984675380184753ff384a35edefdaf278bfb65789721b128326f04cd1,e2556306f81c4f9a61f90e6e2ec2a7de6a2a6108ce73b84b75e3d2b8e65f4def,96f7f64f2529b3372513a0eaab651f1d3ab7ba6deb97a21174e1ca2dd9fee3d7
"1.35","0","110931","1","11010001","1","101","-209.3","nyx_idle_normal","110","-421"
"1.35","0","104831","1","11010002","1","101","-182.5","nyx_idle_normal","110","121.8"
"1.35","0","104631","1","11010003","1","101","-182.5","nyx_idle_normal","110","227.7"
"1.35","1","103231","1","11010004","1","101","-182.5","nyx_talk_normal","110","340.3"
"1.35","1","103431","1","11010005","1","101","-182.5","nyx_idle_normal","110","449.6"
"1.35","0","2","2","11010006","5","101","-209.3","NoItem","120","-421"
"1","","1","1","11010007","31","101","1","","0","0"
"0","","3","15","11010008","31","101","1","","-300","0"
"0","","4","15","11010009","31","101","1.5","","-300","0"
"","","bgm_M347","bgm_M347","11010010","25","101","","","",""
"","","","2","11010011","93","101","","","",""
"0.2","","nyx_101_chieru_01","2","11010012","3","101","1","","0","nyx_101_chieru_loop"
"0.2","","nyx_101_chieru_01","110931","11010013","3","101","1","","0","nyx_101_chieru_loop"
"","","ちぇる～ん♪\n最初はとにかく\nインパクト！","110931","11010014","11","101","","","10",""
"","","","0.4","11010015","93","101","","","",""
"","","0","3","11010016","32","101","","","",""
"","","1","3","11010017","32","101","","","",""
"","","","11010014","11010018","91","101","","","",""
"","","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","110931","11010019","11","101","","","10",""
"","","","1","11010020","93","101","","","",""
"0.2","","nyx_idle_joy1","103231","11010021","3","101","","","1",""
"0.2","","nyx_cmn_05","104631","11010022","3","101","","","1",""
"","","","11010019","11010023","91","101","","","",""
"0.2","","nyx_101_chieru_01","2","11010024","3","101","1","","0","nyx_101_chieru_loop"
"0.2","","nyx_101_chieru_01","110931","11010025","3","101","1","","0","nyx_101_chieru_loop"
"","","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","110931","11010026","11","101","","","7",""
"","","","0.4","11010027","93","101","","","",""
"","","0","3","11010028","32","101","","","",""
"","","1","3","11010029","32","101","","","",""
"","","","0.6","11010030","93","101","","","",""
"0.2","","nyx_talk_bitter","103431","11010031","3","101","","","1",""
"0.2","","nyx_cmn_04","104631","11010032","3","101","","","1",""
"","","","2","11010033","93","101","","","",""
"0.2","","nyx_101_chieru_02","2","11010034","3","101","1","","0","nyx_101_chieru_loop"
"0.2","","nyx_101_chieru_02","110931","11010035","3","101","1","","0","nyx_101_chieru_loop"
"","","","0.4","11010036","93","101","","","",""
"","","0","3","11010037","32","101","","","",""
"","","1","4","11010038","32","101","","","",""
"","","","11010026","11010039","91","101","","","",""
"0.2","","nyx_idle_bitter","103431","11010040","3","101","","","1",""
"0.2","","nyx_talk_sad","104831","11010041","3","101","","","1",""
"","","ね、ねぇ…\n廊下の方から\n何か聞こえない？","104831","11010042","11","101","","","10",""
"","","","0","11010043","91","101","","","",""
"","","1","110931","11010044","4","101","","","",""
"","","1","2","11010045","4","101","","","",""
"0.2","","nyx_101_chieru_02","2","11010046","3","101","1","","0","nyx_101_chieru_loop"
