245d8f766922338ee5dc7f7a96f5374e9d9e422a29d734304411a5773ef3f71a,fe603a9c02d1f83d66c16f5656a0fe2384eb7f4cf063fa983f110f6100551bab
"4101501","1004"
"4101502","1004"
"4102501","1004"
"4103501","1004"
"4104501","1004"
"4105501","1004"
"4106501","1004"
"4107501","1004"
"4108501","1004"
"4109501","1005"
"4110501","1005"
"4301511","1010"
"4301512","1010"
"4301513","1010"
"4301514","1010"
"4301515","1010"
"4302511","1010"
"4302512","1010"
"4302513","1010"
"4302514","1010"
"4302515","1010"
"4303511","1010"
"4303512","1010"
"4303513","1010"
"4303514","1010"
"4303515","1010"
"4304511","1011"
"4304512","1011"
"4304513","1011"
"4304514","1011"
"4304515","1011"
"4305511","1011"
"4305512","1011"
"4305513","1011"
"4305514","1011"
"4305515","1011"
