8bae20b30c5dc985b31c575a652bb1bee500e3ba887bfefb0d7d4a0409598d02,ed01920219282e54c9b945484e0acc01a916f22e561aefa81db1ef94b670b91c
"プリンセスコネクト！Re:Dive 1","10001"
"プリンセスコネクト！Re:Dive 2","10002"
"プリンセスコネクト！Re:Dive 3","10003"
"プリンセスコネクト！Re:Dive 4","10004"
"プリンセスコネクト！Re:Dive Season2 1","10005"
"プリンセスコネクト！Re:Dive Season2 2","10006"
"プリンセスコネクト！Re:Dive Season2 3","10007"
"プリンセスコネクト！Re:Dive Season2 全巻購入特典","10008"
"CD購入特典","10009"
"プリンセスコネクト！Re:Dive 3周年記念","20001"
"公式アートワークス Vol.3 発売記念アイテム","20002"
"プリンセスコネクト！Re:Dive 3.5周年記念","20003"
"プリンセスコネクト！Re:Dive 4周年記念","20004"
"プリンセスコネクト！Re:Dive 4.5周年記念","20005"
"プリンセスコネクト！Re:Dive 5周年記念","20006"
"プリンセスコネクト！Re:Dive 6周年記念","20007"
"プリンセスコネクト！Re:Dive 7周年記念","20008"
"ストーリーイベント","30000"
"ミニゲーム・ミニコンテンツ","30001"
"みんなのカレンダー","40001"
"ローソンコラボ記念","40002"
"TANITAコラボ記念","40003"
"2024年バレンタイン記念","40004"
"銀だこハイボール酒場コラボ記念","40005"
"煉獄のリベリオン","40006"
