412959b4b4283e84a2b0125348deaff780acfc67cc169aef28347da260919780,e53b8bc0287f3934fa3e86363d9bbb6fae05beae0561bf532dd1fd7816b7bb85,f160e85ff49203918c719276707d0277ceb5a8414fed6d70f60e4c470c4f7d89,bd5c9bf5d6c43d190d5c437acb6f7f828300a438b88c656e21462cbb7dce2a96,3b0e6066e06d76e41c958c020c4079a1d2de04d2f4f1eb403277aa85e8fff2a7
"25","13000001","1","101","1"
"26","40001","1","102","1"
"28","99012","1000","103","1"
"25","13000002","1","201","2"
"26","40002","1","202","2"
"28","99012","1000","203","2"
"25","13000009","1","701","7"
"26","40003","1","702","7"
"28","99012","1000","703","7"
"25","13000008","1","1101","11"
"26","40004","1","1102","11"
"28","99012","1000","1103","11"
"25","13000003","1","1501","15"
"26","40005","1","1502","15"
"28","99012","1000","1503","15"
