afc94e9bfbc807d9307da02c1785b52599b8a3638ad735822e92d3a0223fed8d,1b46ab22283becf1137e9de69d82794499f04f0a47c43355faf99de63652b4ad,288e81f3a9b81de364db545c2b1263465feadead1363dd25dd174f73438eeb7c,8dd3195c75eaea3447eb416ea7b159ef3c3da4e21a63896c81eac2500591bd99,810b4073975cdf00b7a978f1daf1b6b98c876fd6fa508f231e08687d72fc6a61,d09d0d8f47312481b93ffad4372515b29aaf7fc655c93208cce7967496246fc7,8c186afe9578dc7391735c01a6d9cfa8f8ab9aa1dd2afffa60ec3835878a6220
"細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.478515625","ツムギのフィギュア","1","0.3046875","10101"
"細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.490234375","ノゾミのフィギュア","1","0.365234375","10102"
"細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.478515625","チカのフィギュア","1","0.291015625","10103"
"ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625","ツムギ直筆サイン色紙","2","0.440625","10201"
"ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625","ノゾミ直筆サイン色紙","2","0.440625","10202"
"チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625","チカ直筆サイン色紙","2","0.440625","10203"
"ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625","ツムギのメモリアルピンバッジ","3","1.40625","10301"
"ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625","ノゾミのメモリアルピンバッジ","3","1.40625","10302"
"チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625","チカのメモリアルピンバッジ","3","1.40625","10303"
"サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","3","1.40625","カルミナメモリアルピンバッジ","3","1.40625","10304"
"ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。","2","0.675","ツムギのブロマイド","7","1.0875","10401"
"ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","0.675","ツムギのサマーブロマイド","7","1.0875","10402"
