44b9d29ffd5e372b645a7c9cd5a32b2f9dbb57d1af1bd4d4a88b5605e236e3b8,1fd5137c614fbe4084070c9bcfb2c2875911cfc8b7f2812891b74408454f708f,5543fd2cbaa4147c25414808f9d77b54cba24a1cf7541cf60221984fd50fb9b5,e63d8d499ceda8618dd3496fa0555990d11e3721311926e0d3b6b585c78e9245,6528b2190a5d755cf880199bf849c95109184c006b7140b2dbf26256d26d1625,f69987ed6e10b59a3066876491e4f4fdbb8f73d4585422e7a313f8f29e70b7a8,c03734a2aab043cfe7396aceceb45f9e0c3ee9f07465f652b16bcd66992fc60f,b2c0c9e7dfcc8cf286b30f122858b694770e8585b5a3e0f578068606421cd9ab,82621b318598eec3c494c42ca4e80c1c8fc45c0a47558590c6c3bec21d422d55,0c39974b4ccb02ae48c3ec506b663421899cbae35acd04bca50569dcc852206f,8b42ac3524bb9486db1c7c7a6d91841843f503765a1fada525f7e8a71e9010c9
"850","1","1","-120","1","1","ttk_idle_def","102611","5","100","1010001"
"0","1","1","1","","2","","2","31","0","1010002"
"-80","1","1","1","","1","","1","31","-120","1010003"
"","1","","","","1","","","93","","1010004"
"0","1","","","","vo_minigame_1005","","vo_minigame_1005_top_000","21","0","1010005"
"0","1","0.3","1","0.3","102611","","ttk_doya","3","ttk_idle_doya","1010006"
"8","1","0","","0","102611","","任された仕事は\nきちんとやるよ","11","","1010007"
"","1","","","","0","","","91","","1010008"
"850","2","1","-120","1","1","ttk_idle_def","102611","5","100","1020001"
"0","2","1","1","","2","","2","31","0","1020002"
"-80","2","1","1","","1","","1","31","-120","1020003"
"","2","","","","1","","","93","","1020004"
"0","2","","","","vo_minigame_1005","","vo_minigame_1005_top_001","21","0","1020005"
"0","2","0.3","1","0.3","102611","","ttk_idle_smile","3","ttk_idle_def","1020006"
"8","2","0","","0","102611","","あたしの前に\n現れたこと\n後悔させてあげる","11","","1020007"
"","2","","","","0","","","91","","1020008"
"850","3","1","-120","1","1","ttk_idle_def","102611","5","100","1030001"
"0","3","1","1","","2","","2","31","0","1030002"
"-80","3","1","1","","1","","1","31","-120","1030003"
"","3","","","","1","","","93","","1030004"
"0","3","","","","vo_minigame_1005","","vo_minigame_1005_top_002","21","0","1030005"
"0","3","0.1","1","0.3","102611","","ttk_joy","3","ttk_idle_joy","1030006"
"8","3","0","","0","102611","","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","11","","1030007"
"","3","","","","2.2","","","93","","1030008"
"1","3","0.3","","0.3","102611","","ttk_talk_sad","3","","1030009"
"","3","","","","3","","","93","","1030010"
"1","3","0.3","","0.3","102611","","ttk_idle_def","3","","1030011"
"","3","","","","0","","","91","","1030012"
"850","4","1","-120","1","1","ttk_idle_def","102611","5","100","1040001"
"0","4","1","1","","2","","2","31","0","1040002"
"-80","4","1","1","","1","","1","31","-120","1040003"
"","4","","","","1","","","93","","1040004"
"0","4","","","","vo_minigame_1005","","vo_minigame_1005_top_003","21","0","1040005"
"0","4","0.3","1","0.3","102611","","ttk_shock","3","ttk_idle_shock","1040006"
"8","4","0","","0","102611","","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","11","","1040007"
"","4","","","","5","","","93","","1040008"
"1","4","0.3","","0.3","102611","","ttk_idle_def","3","","1040009"
"","4","","","","0.7","","","93","","1040010"
"850","5","1","-120","1","1","ttk_idle_def","102611","5","100","1050001"
"0","5","1","1","","2","","2","31","0","1050002"
"-80","5","1","1","","1","","1","31","-120","1050003"
"","5","","","","1","","","93","","1050004"
"0","5","","","","vo_minigame_1005","","vo_minigame_1005_top_004","21","0","1050005"
"0","5","0.3","","0.3","102611","","ttk_surprise","3","","1050006"
"8","5","0","","0","102611","","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","11","","1050007"
"","5","","","","0.9","","","93","","1050008"
"1","5","0.3","","0.3","102611","","ttk_talk_anger","3","","1050009"
"","5","","","","0.8","","","93","","1050010"
"0","5","0.3","1","0.3","102611","","ttk_sad","3","ttk_talk_sad","1050011"
"","5","","","","5","","","93","","1050012"
"1","5","0.3","","0.3","102611","","ttk_idle_def","3","","1050013"
"","5","","","","0","","","91","","1050014"
"850","6","1","-120","1","1","ttk_idle_def","102611","5","100","1060001"
"0","6","1","1","","2","","2","31","0","1060002"
"-80","6","1","1","","1","","1","31","-120","1060003"
"","6","","","","1","","","93","","1060004"
"0","6","","","","vo_minigame_1005","","vo_minigame_1005_top_005","21","0","1060005"
"1","6","0.3","","0.3","102611","","ttk_idle_worry","3","","1060006"
"8","6","0","","0","102611","","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","11","","1060007"
"","6","","","","7","","","93","","1060008"
"0","6","0.3","1","0.3","102611","","ttk_amz","3","ttk_idle_def","1060009"
"","6","","","","0","","","91","","1060010"
