fe3511a56cd52a3446accfdf019c6596e3fc744de39710dffd51ce29e28e7947,8264144ff2ded8eeef8752f23359d1e941538ccae2260a3e8e4b880ed0cc6407,5e907ae251280e84b41d85251e58993412f2357f593a37c280caa4983bf777df
"32025","1","1"
"32046","1","2"
"32048","1","3"
"32016","1","4"
"32060","1","5"
"32078","2","5"
"32031","1","6"
"32007","1","7"
"32050","1","8"
"32033","1","9"
"32058","1","10"
"32075","2","10"
"32042","1","11"
"32021","1","12"
"32023","1","13"
"32027","1","14"
"32049","1","15"
"32011","1","16"
"32045","1","17"
"32030","1","18"
"32013","1","19"
"32040","1","20"
"32018","1","21"
"32028","1","22"
"32043","1","23"
"32017","1","24"
"32010","1","25"
"32036","1","26"
"32004","1","27"
"32020","1","28"
"32059","1","29"
"32076","2","29"
