47bef50b41f6730030bc3d15e0353d869a0cfda5ee002cf7c69493547ebed01e,68b799d960a2d33233473df227f749d42d6b7495861e9c1c8f121a476140cfa4,0da25b032efea75192c637f939517137f63e842bd8e93ce7ea607055b4f00227,e543ccbd3d546f16f8530cf4664b8f39a915a7458353b70351996b0616e5daf5,2bac6f818f64f5f55419447329d29e4a1e5d97bddcf663297a02a0058a05db3b,4bd10a13d3ec2653ddc4f6fdd60f9f6b01aaf7ad4c0cd699d56dffa2b3012c35,1b99951de80b52de68dd3c784ad4c33514b273fe7a19dc4202fbb147bc89c4b1,371a55f391b81ffd679302fbcb4f43ff9ff98069c277a6d8884cfa85f02e0814,3f8a56447b958ab3c065d0fcaae3f382e65dddc650f1de5626bd860ed3eb1b72,38d7fe604adf24c3097116e8e1b6ce9ef6d5c080c72755f07b41d1d2f50a736a,d2dff031e32344cc20e73585e9124bab64328d59a6a366fdb495a0554e5f6b5b,e582c61da76085b6fab47aa9cccca39cd9a963bc3f0c8040eafbd6149c6422f5,bff06e2796e777578c1fb4105510f9d37e657f51ade11de2afc3c60bffb8ed9e,c874e9c872cb1b7bea846a2b21a45c68b5e10330ef98c3413acd49b2eeb6bfe7
"1","20","2","5","1","1101","4","10","3","75","2","1","0","10"
"3","20","3","5","1","1102","4","10","3","75","2","1","65","10"
"4","20","5","5","1","1103","4","10","3","75","2","1","0","10"
"6","20","6","5","1","1104","4","10","3","75","2","1","65","10"
"7","20","8","5","1","1105","4","10","3","75","2","1","0","10"
"9","20","9","5","1","1106","4","10","3","75","2","1","65","10"
"10","20","11","5","1","1107","4","10","3","75","2","1","0","10"
"12","20","12","5","1","1108","4","10","3","75","2","1","65","10"
"13","20","14","5","1","1109","4","10","3","75","2","1","0","10"
"15","20","15","5","1","1110","4","10","3","75","2","1","65","10"
"1","30","2","5","1","2101","4","12","3","60","2","2","0","12"
"3","30","3","5","1","2102","4","12","3","60","2","2","40","12"
"4","30","5","5","1","2103","4","12","3","60","2","2","0","12"
"6","30","6","5","1","2104","4","12","3","60","2","2","40","12"
"7","30","8","5","1","2105","4","12","3","60","2","2","0","12"
"9","30","9","5","1","2106","4","12","3","60","2","2","40","12"
"10","30","11","5","1","2107","4","12","3","60","2","2","0","12"
"12","30","12","5","1","2108","4","12","3","60","2","2","40","12"
"13","30","14","5","1","2109","4","12","3","60","2","2","0","12"
"15","30","15","5","1","2110","4","12","3","60","2","2","40","12"
"1","25","2","5","1","3101","4","13","3","65","2","3","0","13"
"3","25","3","5","1","3102","4","13","3","65","2","3","35","13"
"4","25","5","5","1","3103","4","13","3","65","2","3","0","13"
"6","25","6","5","1","3104","4","13","3","65","2","3","35","13"
"7","25","8","5","1","3105","4","13","3","65","2","3","0","13"
"9","25","9","5","1","3106","4","13","3","65","2","3","35","13"
"10","25","11","5","1","3107","4","13","3","65","2","3","0","13"
"12","25","12","5","1","3108","4","13","3","65","2","3","35","13"
"13","25","14","5","1","3109","4","13","3","65","2","3","0","13"
