5057e66d2d03ca3cccb3ac8ff13f1edf06b5ee3619d283d92a1518c97400583c,553315d2412718fcdd7a57e11e1fab0707d5015a6619edf7038562365ebe2367,1a47557370fbf8ac3efd8cc1688a3db8f14757770afd0dc282823e27b2e91d0c,104d8503a0682151e57a9e7819cf4a39285e0fd864b6c0c8e888b065f09adbd6,9a2635a68cfec20345a3b4107af61ab30ddd03e98b592a30a9e02e63a5efadb3,6327ff74fc870cc62e8a8d9c5229162639da5e25d8ed1e77c76a4c00db0b82b5,f1f8661873b56bdbc9fd5594a870abdc52779ff7b332acc5cc05a1d7b45a29ee,1aeba6c79183d9d44d41d9a6a4a895fb16345cac598f43cafa46654be9e696c2
"111","200","5","104","4","1","2","3"
"211","2","5","14","4","1","2","3"
"311","2","5","103","4","1","2","3"
"411","2","5","102","4","1","2","3"
"511","200","5","104","4","1","2","3"
"611","250","5","1","4","1","2","3"
"711","3","5","101","4","1","2","3"
"811","3","5","100","4","1","2","3"
"911","200","5","104","4","1","2","3"
"1011","250","5","1","4","1","2","3"
"1111","250","5","3","4","1","2","3"
"1112","250","5","5","4","1","2","3"
"1211","150","5","6","4","1","2","3"
"1212","150","5","7","4","1","2","3"
"1311","200","5","104","4","1","2","3"
"1411","2","5","103","4","1","2","3"
"1511","2","5","102","4","1","2","3"
"1611","250","5","1","4","1","2","3"
"1711","200","5","104","4","1","2","3"
"1811","500","5","2","4","1","2","3"
"1812","500","5","4","4","1","2","3"
"1911","3","5","101","4","1","2","3"
"2011","3","5","100","4","1","2","3"
"2111","200","5","104","4","1","2","3"
"2211","250","5","1","4","1","2","3"
"2311","3","5","100","4","1","2","3"
"2411","3","5","101","4","1","2","3"
"2511","200","5","104","4","1","2","3"
"2611","500","5","2","4","1","2","3"
"2612","500","5","4","4","1","2","3"
"2711","150","5","6","4","1","2","3"
"2712","150","5","7","4","1","2","3"
"2811","500","5","2","4","1","2","3"
"2812","500","5","4","4","1","2","3"
"2911","200","5","104","4","1","2","3"
"3011","250","5","3","4","1","2","3"
"3012","250","5","5","4","1","2","3"
"3111","3","5","100","4","1","2","3"
"3211","3","5","101","4","1","2","3"
"3311","200","5","104","4","1","2","3"
"3411","2","5","100","4","1","2","3"
"3511","200","5","104","4","1","2","3"
"3611","1","5","103","4","1","2","3"
"3711","1","5","102","4","1","2","3"
"3811","250","5","2","4","1","2","3"
"3812","250","5","4","4","1","2","3"
"3911","1","5","102","4","1","2","3"
"4011","200","5","104","4","1","2","3"
"4111","2","5","100","4","1","2","3"
"4211","150","5","6","4","1","2","3"
"4212","150","5","7","4","1","2","3"
"4311","200","5","104","4","1","2","3"
"4411","1","5","103","4","1","2","3"
"4511","200","5","104","4","1","2","3"
"4611","2","5","101","4","1","2","3"
"4711","1","5","102","4","1","2","3"
"4811","200","5","104","4","1","2","3"
"4911","1","5","103","4","1","2","3"
"5011","200","5","104","4","1","2","3"
"5111","2","5","101","4","1","2","3"
"5211","1","5","102","4","1","2","3"
"5311","200","5","104","4","1","2","3"
"5411","150","5","6","4","1","2","3"
"5412","150","5","7","4","1","2","3"
"5511","1","5","103","4","1","2","3"
"5611","200","5","104","4","1","2","3"
"5711","2","5","100","4","1","2","3"
"5811","2","5","101","4","1","2","3"
"5911","1","5","103","4","1","2","3"
"6011","200","5","104","4","1","2","3"
"6111","1","5","102","4","1","2","3"
"6211","250","5","2","4","1","2","3"
"6212","250","5","4","4","1","2","3"
"6311","200","5","104","4","1","2","3"
"6411","1","5","103","4","1","2","3"
"6511","1","5","102","4","1","2","3"
"6611","200","5","104","4","1","2","3"
"6711","150","5","6","4","1","2","3"
"6712","150","5","7","4","1","2","3"
"6811","1","5","102","4","1","2","3"
"6911","200","5","104","4","1","2","3"
"7011","1","5","103","4","1","2","3"
"7111","2","5","101","4","1","2","3"
"7211","2","5","100","4","1","2","3"
"7311","200","5","104","4","1","2","3"
"7411","1","5","103","4","1","2","3"
"7511","1","5","102","4","1","2","3"
"7611","250","5","2","4","1","2","3"
"7612","250","5","4","4","1","2","3"
"7711","200","5","104","4","1","2","3"
"7811","2","5","101","4","1","2","3"
"7911","2","5","100","4","1","2","3"
"8011","200","5","104","4","1","2","3"
"8111","150","5","6","4","1","2","3"
"8112","150","5","7","4","1","2","3"
"8211","2","5","101","4","1","2","3"
"8311","250","5","2","4","1","2","3"
"8312","250","5","4","4","1","2","3"
"8411","1","5","103","4","1","2","3"
"8511","200","5","104","4","1","2","3"
"8611","2","5","100","4","1","2","3"
"8711","1","5","102","4","1","2","3"
"8811","1","5","103","4","1","2","3"
"8911","200","5","104","4","1","2","3"
"9011","1","5","102","4","1","2","3"
"9111","200","5","104","4","1","2","3"
"9211","250","5","2","4","1","2","3"
"9212","250","5","4","4","1","2","3"
"9311","200","5","104","4","1","2","3"
"9411","1","5","102","4","1","2","3"
"9511","1","5","103","4","1","2","3"
"9611","200","5","104","4","1","2","3"
