9cabf66bcd9de8a4b9867849fd3b6bdbb4f88efa9b02706d5cbd889ddce88ef9,ccc6f4d177edcb89d1169b3dd85e9d8191bfe2b39f7104d531b2a54ec64da7e4,2538d9d503a7827f50139f1a2b6219a81f43d570c7578e1f0b010fe65861099f,68d35669511f49aced9f91851db15d6ac6543e05e8ccc7016581778696e28244,f2d510dddc76eeeedb6276196e153a9c19177a03931949b82bbb2104cda1b315,6cc85ccfe73c9d9735ee50409665bfa41a6092deac3c3ab764f53c7dc7227afd
"10008001","10008103","1","1","10008","0"
"10008002","10008104","1","2","10008","0"
"10008003","10008105","1","3","10008","0"
"10008004","10008107","1","4","10008","0"
"10008005","10008111","1","5","10008","0"
"10008006","0","2","201","10008","0"
"10008201","10008105","201","101","10008","0"
"10008202","10008107","201","102","10008","0"
"10008203","10008111","201","103","10008","0"
"10008204","10008115","202","111","10008","0"
"10008301","0","101","105601","10008","0"
"10008302","10008103","101","100901","10008","0"
"10008303","10008104","101","101301","10008","0"
"10008304","10008105","101","105601","10008","0"
"10008305","10008107","101","101301","10008","0"
"10008306","10008111","101","100901","10008","0"
"10008307","0","102","105601","10008","0"
"10010001","0","2","201","10010","0"
"10010002","10010112","1","2","10010","0"
"10010003","10010115","1","3","10010","0"
"10010004","10010103","1","4","10010","0"
"10010005","10010105","1","5","10010","0"
"10010006","10010107","1","6","10010","0"
"10010007","10010109","1","7","10010","0"
"10010201","10010112","211","101","10010","0"
"10010202","10010115","211","0","10010","0"
"10010501","10010110","501","101461","10010","101471"
"10010502","10010110","501","101462","10010","101472"
"10010503","10010110","501","101463","10010","101473"
"10010531","1001004","3","211","10010","0"
"10012001","1001201","4","1","10012","0"
"10012002","1001202","4","2","10012","0"
"10012003","1001203","4","3","10012","0"
"10012004","1001204","4","4","10012","0"
"10012301","1001201","5","101","10012","0"
"10012302","1001202","5","101","10012","0"
"10012303","1001203","5","101","10012","0"
"10012401","0","6","501","10012","0"
"10012531","1001204","3","211","10012","0"
"10013531","1001304","3","211","10013","0"
"10015531","1001504","3","211","10015","0"
"10017001","10017102","1","1","10017","0"
"10017002","10017108","1","2","10017","0"
"10017003","10017115","1","3","10017","0"
"10017301","0","101","105801","10017","0"
"10017302","10017102","101","109901","10017","0"
"10017303","0","102","109901","10017","0"
"10017531","1001704","3","211","10017","0"
"10021001","10021112","501","101921","10021","101931"
"10021002","10021112","501","101922","10021","101932"
"10021003","10021112","501","101923","10021","101933"
"10021004","10021112","501","100011","10021","100351"
"10021005","10021112","501","100012","10021","100352"
"10021006","10021112","501","100013","10021","100353"
"10021007","10021112","501","100014","10021","100354"
"10021008","10021112","501","100015","10021","100355"
"10021009","10021112","501","100016","10021","100356"
"10021010","10021112","501","100017","10021","100357"
"10021011","10021112","501","100018","10021","100358"
"10021012","10021112","501","100019","10021","100359"
"10039531","1003904","3","211","10039","0"
"10053001","10053102","1","1","10053","0"
"10053002","10053108","1","2","10053","0"
"10053003","10053115","1","3","10053","0"
"10053301","0","101","105801","10053","0"
"10053302","10053102","101","109901","10053","0"
"10053303","0","102","109901","10053","0"
"10053531","1005304","3","211","10053","0"
"10084001","10084102","1","1","10084","0"
"10084002","10084112","1","2","10084","0"
"10084003","10084115","1","3","10084","0"
"10085001","10085102","1","1","10085","0"
"10085002","10085108","1","2","10085","0"
"10085003","10085115","1","3","10085","0"
"10112001","10112102","1","1","10112","0"
"10112002","10112112","1","2","10112","0"
"10112003","10112115","1","3","10112","0"
"10113001","10113102","1","1","10113","0"
"10113002","10113108","1","2","10113","0"
"10113003","10113115","1","3","10113","0"
"20008001","20008103","1","1","20008","0"
"20008002","20008104","1","2","20008","0"
"20008003","20008105","1","3","20008","0"
"20008004","20008107","1","4","20008","0"
"20008005","20008111","1","5","20008","0"
"20008006","0","2","201","20008","0"
"20008201","20008105","201","101","20008","0"
"20008202","20008107","201","102","20008","0"
"20008203","20008111","201","103","20008","0"
"20008204","20008115","202","111","20008","0"
"20008301","0","101","105601","20008","0"
"20008302","20008103","101","100901","20008","0"
"20008303","20008104","101","101301","20008","0"
"20008304","20008105","101","105601","20008","0"
"20008305","20008107","101","101301","20008","0"
"20008306","20008111","101","100901","20008","0"
"20008307","0","102","105601","20008","0"
"20010001","0","2","201","20010","0"
"20010002","20010110","1","1","20010","0"
"20010003","20010112","1","2","20010","0"
"20010004","20010115","1","3","20010","0"
"20010005","20010103","1","4","20010","0"
"20010006","20010105","1","5","20010","0"
"20010007","20010107","1","6","20010","0"
"20010008","20010109","1","7","20010","0"
"20010201","20010112","211","101","20010","0"
"20010202","20010115","211","0","20010","0"
"20010501","20010110","501","101461","20010","101471"
"20010502","20010110","501","101462","20010","101472"
"20010503","20010110","501","101463","20010","101473"
"20010531","2001004","3","211","20010","0"
"20012001","2001201","4","1","20012","0"
"20012002","2001202","4","2","20012","0"
"20012003","2001203","4","3","20012","0"
"20012004","2001204","4","4","20012","0"
"20012301","2001201","5","101","20012","0"
"20012302","2001202","5","101","20012","0"
"20012303","2001203","5","101","20012","0"
"20012401","0","6","501","20012","0"
