d3a80b3dd40c0dce399ea58f0d60837bfb39358be2b935d47d951687e7761b94,afc5bbf768c64f8d3f5539535946e33f959a37feb1816d8e4b92e95eeb17c4b4,83091dd67da9e0ec62460f7a0744b7bde5ca5492ab8036ac17e650e1c061b266,6ebb58771fdc63d9b5f0a063a6191eefb711c0048f8c8a634c8d277460e98c25,9515530e88544fe9aac00bcd878710224e16ca516598b2fdb7c40d99bba63bde,d379afdedb2c806baf1d2a3fa9af051711b5954d9c1b7211b8acd5d0b541df02,1bb3e5174cf12843f99c0922057f7225baebae75595a7c7ee94b15f3da5d95c4,766b63cbb51c571ba72b709607108fd559bcfb97d02cd7e1ccc49829b642cc6e,10c8201c83c0310813568165f4ffd67e31bf097f9c0210fbac81e045aec2ba1d,67c1090bdd8591b611df89f017e8ba46cca6b1aaaf1fbc92b4382404de0d3848,ea843835f030fd14b04e63a605171f2298ee612fa43824de1ef8115bd30de72c
"1","0","1","0","1000","10011","0","1","5","1","1"
"2","1","2","0","2000","10012","0","2","2","0","2"
"3","1","2","0","2000","10013","0","3","5","0","3"
"4","1","2","0","2000","10014","0","4","8","0","4"
"5","2","3","0","3000","10015","0","5","2","0","5"
"6","3","3","0","3000","10016","0","6","5","0","6"
"7","4","3","0","3000","10017","0","7","8","0","7"
"8","5","4","0","4000","10018","0","8","2","0","8"
"9","6","4","0","4000","10019","0","9","5","0","9"
"10","7","4","0","4000","10020","0","10","8","0","10"
"11","8","5","9","10000","10021","10","11","5","1","11"
"12","11","6","0","8000","10022","0","12","2","0","12"
"13","11","6","0","8000","10023","0","13","5","0","13"
"14","11","6","0","8000","10024","0","14","8","0","14"
"15","12","7","0","10000","10025","0","15","2","0","15"
"16","13","7","0","10000","10026","0","16","5","0","16"
"17","14","7","0","10000","10027","0","17","8","0","17"
"18","15","8","0","12000","10028","0","18","2","0","18"
"19","16","8","0","12000","10029","0","19","5","0","19"
"20","17","8","0","12000","10028","0","20","8","0","20"
"21","18","9","19","20000","10030","20","21","5","1","21"
"22","21","10","0","10000","10012","0","22","2","0","22"
"23","21","10","0","10000","10013","0","23","5","0","23"
"24","21","10","0","10000","10014","0","24","8","0","24"
"25","22","11","0","12000","10015","0","25","2","0","25"
"26","23","11","0","12000","10016","0","26","5","0","26"
"27","24","11","0","12000","10017","0","27","8","0","27"
"28","25","12","0","14000","10018","0","28","2","0","28"
"29","26","12","0","14000","10019","0","29","5","0","29"
"30","27","12","0","14000","10020","0","30","8","0","30"
"31","28","13","29","20000","10032","30","31","5","1","31"
"32","31","14","0","12000","10022","0","32","2","0","32"
"33","31","14","0","12000","10023","0","33","5","0","33"
"34","31","14","0","12000","10024","0","34","8","0","34"
"35","32","15","0","14000","10025","0","35","2","0","35"
"36","33","15","0","14000","10026","0","36","5","0","36"
"37","34","15","0","14000","10027","0","37","8","0","37"
"38","35","16","0","16000","10028","0","38","2","0","38"
"39","36","16","0","16000","10029","0","39","5","0","39"
"40","37","16","0","16000","10028","0","40","8","0","40"
"41","38","17","39","30000","10033","40","41","5","1","41"
