8f74382dd42d960505f36419a1b233db7efeb15191825b8d32c2849b7a716f78,409a20a7d3a6da6c7e0ab9393325455d63a4bc3090c3d6c1cd0afc6e20134db3,e6ef342780b241bebbfbe3826f9932dae1c8f9849cc4bad88666d0742c5459ed,5e15812bfb30d7b048ee5a853714f38df67d38aa29cfe727630453353a33cf9c,2f59043a707ebd46660081d0d1461283b5c084fda03f1e58f6ccd1590fe717db,344f1269ff9fd11de0d642d6bb891b0f6a784abc59b43129f7e1ef56ddfadb21,01d506a381d49eae0d3cdd5dd9486371577f9336c4ddd19651e2988a4132befd,8665b62eb75468e7c831bd9259fcfb0aa4d3a4739fdf00448521b510a233ca70
"0","21_role_tank","タンクロールの\nランダムサイン×2\n＋アルファルピ×200","192801","0","タンクを\n仲間にしたい！","11011","11011"
"0","22_role_healer","ヒーラーロールの\nランダムサイン×2\n＋アルファルピ×200","192801","0","ヒーラーを\n仲間にしたい！","11012","11012"
"0","23_role_booster","ブースターロールの\nランダムサイン×2\n＋アルファルピ×200","192801","0","ブースターを\n仲間にしたい！","11021","11021"
"0","24_role_buffer","バッファーロールの\nランダムサイン×2\n＋アルファルピ×200","192801","0","バッファーを\n仲間にしたい！","11022","11022"
"0","25_role_debuffer","デバッファーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","0","デバッファーを\n仲間にしたい！","11031","11031"
"0","26_role_jammer","ジャマーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","0","ジャマーを\n仲間にしたい！","11032","11032"
"0","27_role_attacker","アタッカーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","0","アタッカーを\n仲間にしたい！","11041","11041"
"0","28_role_breaker","ブレイカーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","0","ブレイカーを\n仲間にしたい！","11042","11042"
"0","41_matsuri_guts","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×200","100501","0","腕試しッス！","11051","11051"
"0","42_chris_cool","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×300","107101","0","強敵との戦いは心躍る！","11052","11052"
"1","71_suzume_sad","50％で★2迷宮遺物×1\n50％で★3迷宮遺物×1","102501","2000","用心して近づきましょう","11071","11071"
"1","72_ayane_handsup","50％でランダムなロールの\nセレクトサイン×1\n50％でオールセレクトサイン×1","102301","2000","ぷうきち\nフルスイ～ング☆","11072","11072"
"0","73_kurumi_wish","50％でアルファルピ×1500\n50％でアルファルピ×2000","102101","0","触っても\n大丈夫かな……？","11073","11073"
"0","82_akino_pointing","50％で★1迷宮遺物×1\n50％でランダムなロールの\nランダムサイン×2","103201","0","右に決まっていますわ！","11081","11081"
"0","81_saren_pointing","アルファルピ×1000","102801","0","左じゃないかしら？","11082","11082"
"0","41_matsuri_guts","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×300","100501","0","腕試しッス！","11091","11091"
"0","42_chris_cool","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×450","107101","0","強敵との戦いは心躍る！","11092","11092"
