747adf985b8e274f20f4fceb3eb409b8a334f9720dd76043b6cf9f0993cb3f6a,9c17f9a5a12c16e629aee38ef77b10d48ba35676d7cde822b1f0f328876e6f6b,47851471880fe9137d3865d9ac4fbfb2b77f633ed0f5a69601aa221ec437ccbb,599ed16f4949c0603e3b6a779a51f8d638f68266b702d2ca27deaddefcf86496,021cc9b6594b29d38db2e87f4a49a6fd2969df341325696ca9134ad712fa6f02,5d412987f01311c34d7c3d46c836ea18924199c6387f00aa39241e520538be5f,4179fa1258742019f4be0664c34b25286d94cf57858aefa2d855c407a6d38b7e,606630ab10aecc25b86f31814b5e36f487f14dfe78b42b1c2a653f0a03a74af7,d164e2ed3ec24dae102de4e33865aeec9e603a64c6f2715c28c095add5c09dd6,bd616a06153cdb2ea89ba4c9c567b8b02613c2efae73016f4a75b245b000fed5
"ハグ","0","バグ","0","パグ","2110001","バク","0","0","1"
"テイク","0","テクノロジー","0","手首","2110003","テクニック","0","0","1"
"じひびき","0","なだれ","0","ゆきやけ","2110005","ふぶき","0","0","1"
"黒曜石","0","磁石","0","大理石","2110006","化石","0","0","1"
"ガルフ","0","オーシャン","0","ミスト","2110007","リバー","0","0","1"
"バットマーク","0","アットマーク","0","カットマーク","2110008","ラットマーク","0","0","1"
"いつもすずしい場所","0","太陽の日があたる場所","0","建物の中の場所","2110010","太陽があたらない場所","0","0","1"
"ハッピーデート","0","アップデート","0","バレンタインデート","2110011","ダブルデート","0","0","1"
"オブリガード","0","ブリザード","0","バリケード","2110012","ブルドーザー","0","0","1"
"地球","0","太陽","0","火星","2110014","月","0","0","1"
"電話線","0","地平線","0","新幹線","2110016","放物線","0","0","1"
"赤歴史","0","黒歴史","0","青歴史","2110018","白歴史","0","0","1"
"お酢","0","しょうゆ","0","みそ","2110019","みりん","0","0","1"
"手のひら","0","背中","0","顔","2110021","お腹","0","0","1"
"ベニヤ板","0","鉄板","0","看板","2110022","ガラス板","0","0","1"
"バーコード","0","ドレスコード","0","エンコード","2110023","プレスコード","0","0","1"
"やくおとし","0","こけらおとし","0","まくおとし","2110024","だるまおとし","0","0","1"
"ライス","0","コイン","0","ライン","2110025","コイル","0","0","1"
"ナチュラル","0","アパレル","0","パラソル","2110026","パラレル","0","0","1"
"上塗り","0","透かし","0","薄塗り","2110028","ぼかし","0","0","1"
"塗り薬","0","目薬","0","胃薬","2110031","風邪薬","0","0","1"
"馬の耳","0","ぬか","0","石の上","2110032","のれん","0","0","1"
"カナブン","0","金棒","0","豆腐","2110034","なみだ","0","0","1"
"コーラ","0","水","0","サイダー","2110035","レモネード","0","0","1"
"二度","0","三度","0","四度","2110036","一度","0","0","1"
"手ぬぐい","0","たんこぶ","0","メガネ","2110037","髪の毛","0","0","1"
"極楽","0","闇","0","天国","2110038","光","0","0","1"
"ようかん","0","ぼた餅","0","あんみつ","2110039","団子","0","0","1"
"か","0","はち","0","あぶ","2110040","はえ","0","0","1"
"羊","0","馬","0","猫","2110041","猿","0","0","1"
"火","0","水","0","土","2110042","風","0","0","1"
"氷","0","冷","0","水","2110043","寒","0","0","1"
"散","0","朝","0","脇","2110044","韓","0","0","1"
"生米","0","生姜","0","生卵","2110045","生麦","0","0","1"
"先制","0","宣誓","0","占星","2110046","先生","0","0","1"
"希少","0","起床","0","気性","2110047","気象","0","0","1"
"無","0","不","0","未","2110049","非","0","0","1"
"無","0","非","0","未","2110050","不","0","0","1"
"非","0","無","0","未","2110051","不","0","0","1"
"非","0","未","0","無","2110052","不","0","0","1"
"一日千秋","0","三日坊主","0","有名無実","2110053","馬耳東風","0","0","1"
"いぬ","0","たぬき","0","きつね","2110054","ねこ","0","0","1"
"てぶくろ","0","たび","0","あしのうら","2110056","くつひも","0","0","1"
"千","0","百","0","万 ","2110058","十","0","0","1"
"八","0","十","0","七","2110060","九","0","0","1"
"アジテーション","0","ハッピーエンド","0","ハイテンション","2111001","ジャッジメント","0","0","1"
"やばいですね★","0","どるるるる～ん★","0","夢はスーパースター☆☆★","2111002","ちぇる～ん☆","0","0","1"
"最も人口が多い","0","尖った長い耳","0","二つの角を頭部に持つ","2111003","獣の耳と尻尾がある","0","0","1"
"パォン","0","カォン","0","キャォン","2111004","クォン","0","0","1"
"高価","0","成長","0","教育","2111005","輝く","0","0","1"
"鉄","0","銀","0","金","2120002","銅","0","0","1"
"ハツ","0","レバー","0","モツ","2120004","ラバー","0","0","1"
"バシャウマ","0","トラウマ","0","ストレス","2120005","タケウマ","0","0","1"
"分雨","0","時雨","0","雷雨","2120006","秒雨","0","0","1"
"銅","0","鉄","0","金","2120009","銀","0","0","1"
"大青柱","0","大黒柱","0","大白柱","2120011","大赤柱","0","0","1"
"電源","0","電報","0","電灯","2120012","電車","0","0","1"
"お酢","0","みりん","0","みそ","2120013","しょうゆ","0","0","1"
"しぶみ","0","でがらし","0","こいめ","2120014","ですぎ","0","0","1"
"じょうしゅ","0","かみて","0","じょうず","2120016","うわて","0","0","1"
"よせき","0","よせ","0","よるせき","2120017","よりせき","0","0","1"
"フライアウェイ","0","フリーウェイ","0","レールウェイ","2120018","ロングウェイ","0","0","1"
"腕押し","0","かすがい","0","念仏","2120021","釘","0","0","1"
"鼻","0","爪","0","尻","2120022","眉","0","0","1"
"念仏","0","論語","0","かすがい","2120023","小判","0","0","1"
"花瓶","0","ひょうたん","0","巾着","2120025","とっくり","0","0","1"
"牛","0","雀","0","虎","2120026","馬","0","0","1"
"一長一短","0","一朝一夕","0","一兆一億","2120027","一鳥一石","0","0","1"
"6つ","0","4つ","0","8つ","2120028","2つ","0","0","1"
"herro","0","hello","0","harro","2120029","hallo","0","0","1"
"一進一退","0","優柔不断","0","日進月歩","2120031","不言実行","0","0","1"
"日曜日","0","金曜日","0","月曜日","2120033","木曜日","0","0","1"
"木曜日","0","水曜日","0","火曜日","2120034","金曜日","0","0","1"
"ダンシングメッセージ","0","ダイイングメッセージ","0","ダイビングメッセージ","2120035","ダビングメッセージ","0","0","1"
"犬","0","馬","0","獅子","2120036","牛","0","0","1"
"クローゼット","0","トイレ","0","キッチン","2120037","川","0","0","1"
"かいまみる","0","かんがみる","0","こころみる","2120038","かんがえる","0","0","1"
"五百万","0","八百万","0","二百万","2120039","三百万","0","0","1"
"猿","0","蛇","0","猪","2120042","熊","0","0","1"
"状態","0","一死","0","すべて正しい","2120045","瀕死","0","0","1"
"追跡","0","不信","0","すべて正しい","2120046","人物","0","0","1"
"両替","0","硬化","0","すべて正しい","2120047","紙幣","0","0","1"
"しぶんごれつ","0","きゅうしいっしょう","0","さんしゃさんよう","2120048","はちめんろっぴ","0","0","1"
"しめんそか","0","せんざいいちぐう","0","いちもうだじん","2120049","ひゃっぱちひゃくちゅう","0","0","1"
"計る","0","図る","0","測る","2120050","謀る","0","0","1"
"突く","0","就く","0","付く","2120051","着く","0","0","1"
"黒","0","青","0","白","2120053","赤","0","0","1"
"七分","0","五分","0","二分","2120054","三分","0","0","1"
"カップル","0","敵同士","0","師弟","2120055","家族","0","0","1"
"シイタケ","0","タケノコ","0","アスパラ","2120056","マツタケ","0","0","1"
"仕事","0","金","0","命","2120057","女","0","0","1"
"髪の毛","0","真綿","0","糸","2120058","麻","0","0","1"
"あご","0","眉","0","うなじ","2120059","耳","0","0","1"
"犬","0","亀","0","猫","2120060","鶴","0","0","1"
"猫","0","狐","0","兎","2120061","狸","0","0","1"
"ぼくらの防衛団","0","バイバイぼっち団","0","バイトばっかり団","2121001","ばたんきゅー冒険団","0","0","1"
"ザ・バタリオン・オブ・ゲヘナ・イモータルズ","0","ジ・オーダー・オブ・ゲヘナ・イモータルズ","0","ジ・オーダー・オブ・ハデス・イモータル","2121002","ザ・バタリオン・オブ・ハデス・イモータル","0","0","1"
"聖夜女君","0","絶対妻君","0","獰猛女君","2121003","誓約女君","0","0","1"
"しっぷうのめいひ","0","しっぷうのヘカーテ","0","しっぷうのダークプリンセス","2121004","しっぷうのめいひめ","0","0","1"
"1000","0","1000000","0","100000000","2121005","10000000","0","0","1"
"小指","0","薬指","0","中指","2130004","親指","0","0","1"
"親指","0","中指","0","人差し指","2130005","薬指","0","0","1"
"薬指","0","人差し指","0","親指","2130006","中指","0","0","1"
"野菜","0","酒","0","米","2130007","肉","0","0","1"
