49b1455445af5346807fb34bc8281feb3c9c6583fe67d23cf7d2e427496c6971,e6104504d781537b7f0ac1475cdb8aee4421b52693136dba5d061d2a86c87a8b,a5628bffd06b1ce51fe3f37070e8b598b97aad9fde01be47117f7932b575250f,9653e8988fc560589b1d6e8fc04d3fd222e6a0f1e02aa2c6a9954e80980bf4aa,57e17bafe3e00a19688299e527dad5ad635f5d61983dab9bdd6c689198f5db36
"片手剣","90009","101","#D23232","red"
"両手剣","90009","102","#D23232","red"
"短剣","90009","103","#D23232","red"
"槍","90009","104","#D23232","red"
"斧","90009","105","#D23232","red"
"弓","90009","106","#D23232","red"
"拳","90009","107","#D23232","red"
"盾","90009","108","#D23232","red"
"杖","90009","109","#D23232","red"
"本","90009","110","#D23232","red"
"服","90010","201","#476FD8","blue"
"鎧","90010","202","#476FD8","blue"
"白ローブ","90010","203","#476FD8","blue"
"黒ローブ","90010","204","#476FD8","blue"
"指輪","90011","301","#E5681E","yellow"
"腕輪","90011","302","#E5681E","yellow"
"ネックレス","90011","303","#E5681E","yellow"
"宝珠","90011","304","#E5681E","yellow"
"イヤリング","90011","305","#E5681E","yellow"
