59a0de9e3373dff36015b72bbfc06c504483c1646e8c5e854765461aa81d8eca,7522e4ae4b01c523b6e449a4133cdfa9c288e39a71bb182bbc40c066851d52cb
"1","999999999"
"2","5"
"3","3"
"4","1"
"5","1"
"6","2"
"7","3"
"10","9"
"11","2"
"12","4"
"13","6"
"14","7"
"100","2"
"101","300"
"102","600"
"103","1200"
"104","2400"
"105","4800"
"106","9999"
"201","500"
"202","500"
"203","500"
"204","500"
"205","500"
"211","100"
"212","100"
"213","100"
"214","100"
"215","100"
"221","100"
"222","200"
"223","100"
"224","1000"
"225","1500"
