a944911da193099a07b77899b7bdd529e249bf78203fb7834b6e74821e0cdf44,680a36c9e757ffd1399ba7a6405c0d4b8f775b1da16ba73d3b951c3276521c0f,203cb43e1619049ead2efb07a91000b2a0d2d4cc95368a7a540c53f28440e9eb,6930305c3b772b3849205f366508df0c47405cd3842a21b9aabd801948310539,d37583f9fc012884a60d9c510196558cbc2ee882d3610105b6065392802977e8,82b72c9def92cfb9c5345cd438195b593b7e955bdf4ae528edce682ae12ba99c,a0cd1d93a06023995f4a8f18877a15ec5314340d4e38c07d3f26f59edf4b4b65,11bb32e49541e556afb946f078b23f78721a0c1b817427677f71c6e37cedba27,179b6552ed5f625fa6f52ee87384a2669974b23e3954531064289409a6a18ce1,8e670a17646be85fd22d4bece5d77ad98199c3a802cc3e1116f029265a0062a3,8788f8b322227f50ed6fff6c5e5578053d1aeeedf7b32637c3d28639a716c51b,7c74da680a13e1bec39624efa38b244e294aa3b97aec2ee999f1ff75d64ebfb6
"0","0","1","0","0","4","0","0.8","0","1009801","100980101","1"
"0","0","2","0","vo_lsv_0101","2","0","0","vo_lsv","1009801","100980102","0"
"300","1","3","0","0","1","2","0","0","1009801","100980103","0"
"0","0","4","0","0","4","0","2.3","0","1009801","100980104","1"
"280","2","5","0","0","1","2","0","0","1009801","100980105","0"
"0","0","6","0","0","4","0","3","0","1009801","100980106","1"
"0","0","7","0","vo_lsv_0102","2","0","0","vo_lsv","1009801","100980107","0"
"300","3","8","0","0","1","2.05","0","0","1009801","100980108","0"
"0","0","9","0","0","4","0","2.05","0","1009801","100980109","1"
"327","4","10","0","0","1","1.8","0","0","1009801","100980110","0"
"0","0","11","0","0","4","0","2.8","0","1009801","100980111","1"
"0","0","12","0","vo_lsv_0103","2","0","0","vo_lsv","1009801","100980112","0"
"300","5","13","0","0","1","2.3","0","0","1009801","100980113","0"
"0","0","14","0","0","4","0","2.5","0","1009801","100980114","1"
"275","6","15","0","0","1","1.9","0","0","1009801","100980115","0"
"0","0","16","0","0","4","0","2.9","0","1009801","100980116","1"
