7b755e3d62b3e8f5975d6a90000f931ab1b1bc22275ea2733a4c35a33fac9252,b084aef737a1e913c265fcbcde57759160870c2c7429c01a91ac95e874e1e6d9,f71743e78b6e98f1c2e46ae22ee0d8c2055822b18cfe2bb42d978fe9ff500130,03e8007f23c6fce29523758c4bf1600307068339c99a27844f23d81ac2304329
"201","301","107","100101"
"203","305","110","100201"
"202","301","101","100301"
"201","303","107","100401"
"202","302","108","100501"
"204","305","110","100601"
"201","302","108","100701"
"203","305","110","100801"
"204","304","109","100901"
"203","305","110","101001"
"201","301","106","101101"
"204","304","109","101201"
"204","304","109","101301"
"203","305","109","101401"
"203","305","110","101501"
"201","301","106","101601"
"201","301","107","101701"
"204","305","109","101801"
"201","301","102","102001"
"201","302","105","102101"
"204","304","109","102201"
"201","303","105","102301"
"203","305","110","102501"
"201","303","104","102601"
"201","301","105","102701"
"201","301","101","102801"
"202","302","108","102901"
"201","301","102","103001"
"201","303","102","103101"
"202","301","102","103201"
"202","303","104","103301"
"201","303","102","103401"
"204","304","109","103601"
"201","301","101","103701"
"201","301","106","103801"
"201","303","106","104001"
"203","305","110","104201"
"202","301","102","104301"
"204","304","109","104401"
"203","302","108","104501"
"201","301","103","104601"
"202","302","108","104701"
"202","301","104","104801"
"202","303","102","104901"
"204","304","109","105001"
"201","303","102","105101"
"202","302","108","105201"
"201","303","101","105301"
"201","303","107","105401"
"201","303","104","105501"
"201","302","108","105601"
"201","301","101","105701"
"202","302","102","105801"
"201","303","104","105901"
"204","304","109","106001"
"201","301","103","106101"
"201","301","106","106301"
"201","301","101","106401"
"201","301","107","106501"
"202","303","105","106601"
"204","305","109","106701"
"202","301","101","106801"
"201","301","101","106901"
"204","304","109","107001"
"202","301","101","107101"
"202","301","102","107501"
"201","303","104","107601"
"203","305","110","107701"
"204","304","109","107801"
"201","301","103","107901"
"202","301","104","108001"
"201","303","105","108101"
"201","303","107","108201"
"204","304","109","108301"
"203","305","110","108401"
"201","302","105","108501"
"201","303","105","108601"
"201","301","107","108701"
"203","305","110","108801"
"201","302","108","108901"
"201","301","105","109001"
"202","303","102","109101"
"204","304","110","109201"
"204","304","110","109301"
"204","304","110","109401"
"203","302","108","109501"
"201","301","103","109601"
"201","303","105","109701"
"203","305","110","109801"
"203","304","109","109901"
"201","301","106","110001"
"204","305","110","110101"
"204","304","109","110201"
"201","301","101","110301"
"202","301","102","110401"
"201","301","107","110501"
"203","305","110","110601"
"201","303","106","110701"
"201","301","103","110801"
"201","301","107","110901"
"203","305","110","111001"
"204","304","109","111101"
"201","303","107","111201"
"201","301","102","111301"
"204","304","109","111401"
"202","301","101","111501"
"202","302","108","111601"
"204","304","109","111701"
"202","302","102","111801"
"201","303","104","111901"
"204","304","109","112001"
"203","305","110","112101"
"203","305","109","112201"
"201","301","106","112301"
"201","301","101","112401"
"202","302","101","112501"
"204","304","109","112601"
"201","303","104","112701"
"202","303","104","112801"
"201","301","106","112901"
"201","303","104","113001"
"202","301","101","113101"
"204","304","109","113201"
"204","304","109","113301"
"204","304","109","113401"
"203","305","110","113501"
"202","301","102","113601"
"204","305","110","113701"
"204","304","109","113801"
"201","303","103","113901"
"202","301","101","114001"
"201","303","107","114101"
"201","303","101","114201"
"201","301","101","114301"
"202","301","102","114401"
"202","302","108","114501"
"202","303","102","114601"
"201","302","103","114701"
"204","304","109","115001"
"201","301","103","115501"
"203","305","110","115601"
"203","305","110","115701"
"202","301","102","115801"
"202","301","102","115901"
"203","305","110","116001"
"201","301","103","116201"
"201","301","107","116301"
"203","305","110","116401"
"202","303","105","116501"
"201","301","107","116601"
"201","303","106","116701"
"201","301","103","116801"
"202","301","104","116901"
"201","301","105","117001"
"202","303","102","117101"
"202","301","101","117201"
"203","305","110","117301"
"201","303","107","117401"
"201","303","102","117501"
"203","305","110","117601"
"201","301","107","117701"
"202","303","102","117801"
"201","301","106","117901"
"201","301","103","118001"
"204","305","109","118101"
"204","305","109","118201"
"203","305","110","118501"
"203","305","110","118601"
"204","305","110","119001"
"204","304","109","119101"
"202","303","104","119201"
"201","301","106","119301"
"201","303","107","119901"
"202","303","102","120001"
"201","301","101","120701"
"201","301","101","120801"
"204","304","109","120901"
"202","301","102","121001"
"204","304","109","121101"
"202","301","101","121201"
"201","302","105","121301"
"203","305","110","121401"
"201","301","104","121501"
"201","301","105","121601"
"204","304","109","121901"
"201","301","105","122001"
"201","301","106","122101"
"201","301","101","122201"
"204","304","109","122301"
"201","303","107","122401"
"201","301","101","122501"
"203","305","109","122601"
"204","304","109","122701"
"201","303","107","122801"
"201","301","102","122901"
"203","305","110","123001"
"203","305","110","123101"
"201","301","105","123201"
"201","301","107","123301"
"202","303","104","123501"
"201","301","101","123601"
"204","305","110","123701"
"202","301","107","123801"
"201","301","103","123901"
"204","304","109","124001"
"204","304","109","124101"
"202","302","102","124201"
"203","305","109","124501"
"203","305","109","124601"
"201","303","102","124701"
"202","301","101","124801"
"201","301","107","124901"
"201","301","103","125001"
"201","301","103","125101"
"202","301","101","125201"
"201","303","104","125301"
"201","301","106","125401"
"204","304","109","125501"
"201","303","105","125601"
"203","305","110","125701"
"201","301","105","125801"
"201","301","101","126001"
"203","305","110","126101"
"204","304","109","126201"
"203","305","110","126301"
"201","301","107","126401"
"204","304","109","126501"
"204","304","109","126601"
"202","301","102","126701"
"202","302","102","126801"
"204","305","109","126901"
"202","302","103","127001"
"201","303","102","127101"
"203","305","109","127201"
"201","301","106","127301"
"202","301","101","127501"
"201","302","108","127601"
"203","305","110","127701"
"204","304","109","127801"
"203","302","108","127901"
"201","301","103","128001"
