24ae77d640f36595dea79a27ef3b7f5a703fad62ce0bf64fa6bd60d60e6cc083,9bc210fdef45e4e7ac2986839a57b25767290bf712252bd49b7d89744d3f8a75,58de3bfe8bf851ac26c1088d082a4e168f46d0f20459d0b16f9184f161edb747,a78ae702755ab86af2e2dff4d7af5de4d92df77902194c6dafce86b395665135,037031761af38a2ce25909c0cd37c35d71a98ef51c8a2ed3d87f2e55ff46a588,310c6ebbc4a6f9a1c7b94c33ea7c218f5090452b2867817fe99400626bbf23a2,7fba8d37322b5e3948af92972add79ed0b86bd0bb12e0781cb59fb3bfb158e59,f7eaa9194a6e262efd7f1b2e9ae2acc766ab48b858ca07f7c19f96d71084eb23,1c7be40ef8f0bac86b2f329c1cf1ed04c4a0fce05ff77bf99cb9361d3d89088b,e60dff89ecb0d6d7c58eb61c993f195f5c5a0ff454d5126bd58e1093c8f2481e,37cdb85d83075cbef5d61a5a0f51e35461131e3c77b03a61bcb7543fdd373040,c5e482ad5bcb7273bdfb6eb2c59a7fa3099d39eeda8de39ec004ba6ff1c9377b,b1a166fbfc1db17c47db0a58517b1c18233c4529cbd80de4ffde5e56db9de698,c5f4f082dde543acf71fd069b9d9924102deac774b2d00edc4a8c0a209f69dae,b31d21cd619387919150a7928880f8ff017e5c687219af633839a4ac19618135,264dd50f79fe97bfd0fde93f19c01b90ea613e6f4a29c76792d54006607225dc,e47a090640bb7b16fb05ccf5395b3631a106ab66b00987d7bda898483783c66d,8873b23e84c940d387d20a0fcd5ed59a8a05f6925d1864078a91191fadbc34a3,a3eb78213bc9c394406d0a4e0fd7b819319b8c724f2770cdabcddbaee93cfd8d
"240701","2","10","1000000000","2","25014","25015","0","1000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","200","92407","1000","2"
"240702","2","300","2000000000","2","25012","25013","0","1000","25021","0","0","abyss_reward_icon_astralshard","25011","2","1000","92407","1000","2"
"240703","2","10","3000000000","2","25014","25015","0","1000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","500","92407","1000","2"
"240704","2","500","4000000000","2","25012","25013","0","1000","25021","0","0","abyss_reward_icon_astralshard","25011","2","1000","92407","1000","2"
"240705","2","10","5000000000","2","25014","25015","0","1000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","1000","92407","1000","2"
"240706","2","1000","6000000000","2","25012","25013","0","1000","25021","0","0","abyss_reward_icon_astralshard","25011","2","1000","92407","1000","2"
"240707","2","10","7000000000","2","25014","25015","0","3000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","1000","92407","3000","2"
"240708","2","1000","8000000000","2","25012","25013","0","3000","25021","0","0","abyss_reward_icon_astralshard","25011","2","3000","92407","3000","2"
"240709","2","10","9000000000","2","25014","25015","0","3000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","1000","92407","3000","2"
"240710","2","10","10000000000","2","25011","25012","0","3000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","1000","92407","3000","2"
"240711","2","10","12000000000","2","25013","25015","0","3000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","1000","92407","3000","2"
"240712","2","1000","16000000000","2","25012","25014","0","3000","25021","0","0","abyss_reward_icon_astralshard","25011","2","3000","92407","3000","2"
"240713","2","1000","20000000000","2","25014","25015","0","3000","25021","0","0","abyss_reward_icon_astralshard","25013","2","3000","92407","3000","2"
"240714","2","1000","25000000000","2","25012","25013","0","3000","25021","0","0","abyss_reward_icon_astralshard","25011","2","3000","92407","3000","2"
"240715","0","10","30000000000","0","0","0","0","0","90005","0","0","abyss_reward_icon_hiseki","0","2","0","92407","0","0"
"240716","0","20","35000000000","0","0","0","0","0","90005","0","0","abyss_reward_icon_hiseki","0","2","0","92407","0","0"
"240717","0","30","40000000000","0","0","0","0","0","90005","0","0","abyss_reward_icon_hiseki","0","2","0","92407","0","0"
"240718","0","50","50000000000","0","0","0","0","0","90005","0","0","abyss_reward_icon_hiseki","0","2","0","92407","0","0"
"240801","2","10","1000000000","2","25014","25015","0","1000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","200","92408","1000","2"
"240802","2","300","2000000000","2","25012","25013","0","1000","25021","0","0","abyss_reward_icon_astralshard","25011","2","1000","92408","1000","2"
"240803","2","10","3000000000","2","25014","25015","0","1000","25102","0","0","abyss_reward_icon_masterpieces_piece","25021","2","500","92408","1000","2"
