059668743e96d9a2f2f8bf3bd5e88a676efaf09e342856c31d7a6b053aee6ea2,68a99d9ce1afbe3b560902e8c185994fe0ce24902fd13a9db1b44cc64c5f3e1c,5a4d9917ea4a61432c512f9ac4bee284117530f7d0cda0ff3941f989f39737e1,cef7088bf15bf71cc956a1e8870bf4f1a9cfe31f3db19d9708d7c0d1509b85de,1685d509c9cd1f38485355efb2ae79558aba6d07f7bd3974f22c95ef3b4feb40,5fe5e1904171406b682c3c8b2af19747324720a8925476b1f7b2cbbd3160db27,df2010c64289431291e151969e34fe849a653e172dfb0c20668851cd5c67dedd,c5dcd35858ffbecbf158a38085d2008e44aeb352a62201ed7bb0a3c040725fa2,36534ff7bf65dc799465344bc9611563cd50cc9431e10d02e73f53c7ebe54c9d,f8c631707981bdc7969c6c541dcbd509819611fc44c58be5390137ca83661f38,f4676972697edffa67bd75482128101516858d84e5783a9308c2c65ce32dbd8b
"1","0","0","empty","5","10101","1","0","1","1101010001","53"
"101000","0","0","empty","5","10101","2","0","1","1101010002","56"
"101000","0","0","empty","5","10101","3","0","1","1101010003","70"
"101000","0","","","31","10101","0","1","0","1101010004","0"
"101001","0","","","31","10101","1","1","0","1101010005","0"
"101002","0","","","31","10101","2","1","0","1101010006","0"
"101003","0","","","31","10101","3","1","0","1101010007","0"
"101004","0","","","31","10101","4","1","0","1101010008","0"
"1","0","","","31","10101","10","1","0","1101010009","0"
"3","0","","","31","10101","30","1","0","1101010010","0"
"0","","","","91","10101","0","","","1101010011",""
"0","","","","32","10101","1","","","1101010012",""
"10","","","","32","10101","1","","","1101010013",""
"2","","","","3","10101","getDish_1_in","","0","1101010014","0"
"0.2","","","","93","10101","0","","","1101010015",""
"1","","","","3","10101","getDish","","0","1101010016","0"
"2","","","","3","10101","getDish_1_B","","0","1101010017","0"
"3","","","","3","10101","getDish_1_F","","0","1101010018","0"
"1","","","","32","10101","1","","","1101010019",""
"3","","","","32","10101","1","","","1101010020",""
"7.2","","","","93","10101","0","","","1101010021",""
"1101010023","","","","101","10101","1","","","1101010022",""
"2","","","","35","10101","1","","","1101010023",""
"2","","","","32","10101","1","","","1101010024",""
"4","","","","35","10101","1","","","1101010025",""
"4","","","","32","10101","1","","","1101010026",""
"3","","","","32","10101","0","","","1101010027",""
"2.3","","","","93","10101","0","","","1101010028",""
"30","","","","35","10101","1","","","1101010029",""
"30","","","","32","10101","1","","","1101010030",""
"0.2","","","","93","10101","0","","","1101010031",""
"1","1","0","","6","10101","1","0","0","1101010032","1"
"2","1","0","","6","10101","1","0","0","1101010033","1"
