1ea0898f27a1c2098b46efadeb0e6b28c22730d0227a85895da7c4628f60fabb,7a5b72b030e95e4e9c93ce91c81fabd785306cbe6f95be8abae946995488c792,0d2f06b6ea92c964d0de35146f43657757d2349e9626772993259dd4dcf62b1e,0ada530559af36b189ae042976ef2c446bdb7582e02b24f5ac24e0cc5f2e2511,af397544d07be0ff22b59aaf5db563f8fe75908404265aa8941b87efa37c995e,b8d11ca59209a419787600b96370177bdccef7a64ac55464c50c5dcca6d244b5,1ee400b12d4be457d42bafd731076336050189ce9e5d36acfff55b1d43b663d9,ecc5525eb2e7e5e2ad51688965fcff3bfc2b983194ac2ee9adcce99e95d436c0,eb94dbdd4c485d08638990f74c916cd4e48e6cb2a5aa6b8db7b2284a65d7f819,f18af858cbedc3ec998656a7ec21c6ee6fad38aca58a38cad3317e9bd786e899,d22f644f52e84d051f177512137ad0fb9d09b94ff93c9d8aa28e1bdee75ff6d2,dc28878ca853eff2682ddd08efa80201b3a00999ffc621c8c2de762957c69e0e,6f98f85b90807a2e3bad616377a632c3a7c5bec4b6ca6227a991a640d881de1e,3234304c59ab9d72134afe5524805c3998ec2f333eea11ca6fc92fb97943e084,855cffcf3ee7368ea721c2e3ebdfa4fb01bd0ea7c3fad03216a60c53b654b579,c2c7beb05d265622fe4baf35b329b171a367d1aa75109be6aeca285831e9e049,96d91d1e1193784d47cdfb56a2a36d682e76bc7cc8b736234d094ece0387b41d,372efdc89089be27e1cf559af2dad4a2c2d928ef664c4dcc4ec5a2997bae97f4,d88b66587293a5d2f7d56a70b6afbd05a9149e45beda709f789cf605424a2e1b,75d1e01a6943899b90361d1fa636da7b21606a9eaa1b1254ea502714ede514a0,6abaeb807c5d9491093604ff650dfddcf26cfceec1b0f1b4f6d5073cf7839365,8e5748f6466d31060c9e6b02595c56db720b7226f156f1214cfd7f75d959cc75,4bc0893a94ce30d74ecaf1c2f61ae3d098ca21c13b19a208f1c968cb9db5cfb3,5ba6fce1447baeba8de1f241bc648b3eec8edce21a2d0fac627d4c3b9f96e58f,919514e8072eb797320dcac851d70ad5a886012d6320c0a9225d98af7d23608f,666595602096c429f5da1f028299513314b5340af3799ff9eef88abcd6fd3316,d0e3fc69900c923865f7c6c6a67be547fed29038573dfeb2550c102c357f697f,7d8dcbf4ad47ae390a31c6db1450a5205b16196a97c4eaea3d8ed6d509ad2b76,e702aad95b7ada1cf9a5cc814ff06bbdadd218a893df48803e55661312e510ae,e472584938511f6c87933dd947bc29c8f05d11a122a27bfeb256963f34e58632,2deb1f8155e3cb21a3b882b6d1ff91be5ac8eb7c1a6a6bbdce45bfb30a0b6ee9,7a207e26bbb9faf0d951ca4d159ead41f47d4119f67496100424a393786136e3,01bc6a7e35afa7137e47a06228d718cace3b1a635064a86b707d60b041860a54,85a8330559c686d229edbf8287747f669effcd0046aa875e2def5e45473c61db,f73b2a2a85c116c974acf49561f0d92d077ddd28c44e305d6049adcb5bdd71e9,856b53af04210c664466cce98ab2b7a123da48227d7cec92c98f6387d495f94b,25d698a0cd974a41f242ac385950788286ed4b10ce416287d4696954fe67d077,17973333e06b0256cecf234f491775c6a63604a5261592aa636fd1a9ab8ba4fd,11460fb1575fbe3cc78e7c3a9a5f037d564a205c5de33cd9987f4a6185efa59d,61121adbe07228df2ba12b48604373fbe9d4c7b875899861ddf6e28e4c2bab89,fd85bafa5e74ba6840d96b59b627572c81cd1581afbf9058c7ea6d163080bf49,0bb946f3a094520890c8e316feaceebe20d98e5d4f9c9ed39326706d265ffdd8,91aadd313de880cceb1b55534b6a62b6b394e68a1df3727eb937cd8820930c44,101631aa58fc532995515e6cf8d45b162064f1cf00530db16c30066e7e03da6d
"ゴブリングレート","0","0","0","0","0","0","1","1","0","12000","0","800","0","50","0","300000039","53000000","0","0","5000","0","0","100","0","0","0","0","0","0","40","0","800","0","0","0","410010101","0","0","5000","0","0","305700","0"
"ライライ","0","0","0","0","0","0","1","1","0","0","0","1000","0","50","0","300000039","81000000","0","0","5000","11000","0","125","0","0","0","0","0","0","40","0","800","0","0","0","410010201","0","0","5000","0","0","304600","0"
"グレーターゴーレム","0","0","0","0","0","0","1","1","0","40500","15000","0","0","60","0","300000039","87000000","0","0","15000","0","0","150","0","0","0","0","0","0","150","0","0","0","0","0","410010301","0","0","15000","0","0","301205","0"
"レインスピリット","0","0","0","0","0","0","1","1","0","0","15000","1050","0","60","0","300000039","92000000","0","0","15000","60000","0","175","0","0","0","0","0","0","130","0","1050","0","0","0","410010401","0","0","15000","0","0","316103","0"
"マダムエレクトラ","0","0","0","0","0","0","1","1","0","0","30000","1500","0","60","0","300000039","193000000","0","0","30000","60000","0","200","0","0","0","0","0","0","70","0","2000","0","0","0","410010501","0","0","30000","0","0","312502","0"
"ティタノタートル","0","0","1","50000","50000","100","1","1","0","0","50000","0","0","60","0","300000039","217000000","50000","0","30000","0","0","225","0","0","0","0","0","0","70","0","0","0","0","0","410010601","100","0","50000","0","100","304102","0"
"ティタノタートルA","0","0","0","0","0","0","1","1","0","7000","0","5000","0","60","0","300000039","2100000","0","0","0","1000","0","225","0","0","0","0","0","0","0","0","5000","0","0","0","410010602","0","0","0","0","0","304102","0"
"ティタノタートルB","0","0","0","0","0","0","1","1","0","0","0","1200","0","60","0","300000039","10000000","0","0","0","0","0","225","0","0","0","0","0","0","0","0","1200","0","0","0","410010603","0","0","0","0","0","304102","0"
"ティタノタートルC","0","0","0","0","0","0","1","1","0","0","0","600","0","60","0","300000039","11000000","0","0","0","0","0","225","0","0","0","0","0","0","0","0","600","0","0","0","410010604","0","0","0","0","0","304102","0"
"マッドベア","0","0","0","0","0","0","1","1","0","46000","30000","2000","0","60","0","300000039","250000000","0","0","30000","0","0","250","0","0","0","0","0","0","40","0","1000","0","0","0","410010701","0","0","30000","0","0","301102","0"
"ムーバ","0","0","0","0","0","0","1","1","0","78000","50000","2200","0","60","0","300000039","236000000","0","0","50000","36000","0","300","0","0","0","0","0","0","130","0","1600","0","0","0","410010801","0","0","50000","0","0","304000","0"
"ネプテリオン","0","0","1","0","300","300","1","1","0","0","50000","0","0","60","0","300000039","335000000","0","0","50000","0","0","350","0","0","0","0","0","0","90","0","0","0","0","0","410010901","0","0","50000","0","300","305803","0"
"ネプテリオンA","0","0","0","0","0","0","1","1","0","1000","0","10000","0","60","0","300000039","4800000","0","0","0","80000","0","350","0","0","0","0","0","0","0","0","10000","0","0","0","410010902","0","0","0","0","0","305803","0"
"ネプテリオンB","0","0","0","0","0","0","1","1","0","0","0","2200","0","60","0","300000039","5600000","0","0","0","0","0","350","0","0","0","0","0","0","0","0","2200","0","0","0","410010903","0","0","0","0","0","305803","0"
"ネプテリオンC","0","0","0","0","0","0","1","1","0","0","0","1200","0","60","0","300000039","7200000","0","0","0","0","0","350","0","0","0","0","0","0","0","0","1200","0","0","0","410010904","0","0","0","0","0","305803","0"
"アクアリオス","0","0","50000","0","300","50000","1","1","0","0","50000","0","0","60","0","300000039","322000000","0","0","50000","0","0","450","0","0","0","0","0","0","30","0","0","0","0","0","410011001","0","0","50000","0","300","302904","0"
"アクアリオス本体","0","0","0","0","0","0","1","1","0","72000","0","6000","0","60","0","300000039","4800000","0","0","0","36000","0","450","0","0","0","0","0","0","0","0","6000","0","0","0","410011002","0","0","0","0","0","302904","0"
