e1ab4040fee7f13bd9aad292b0fbaf5c87c4df806ab070413539ba3b856d82f3,2d7b1e7cba8c9cabb22055ac1774508d3edc09835a4f42c4b498c901fad26eb3,e5095990aa1f281a48551904393000428549d4eb75851d8defc69201240ad324
"31012","31038","20001"
"31020","31004","20002"
"31010","31017","20003"
"31076","31028","20004"
"31080","31032","20005"
"31047","31034","20006"
"31082","31022","20007"
"31009","31051","20008"
"31085","31029","20009"
"31089","31002","20010"
"31090","31011","20011"
"31043","31008","20012"
"31093","31018","20013"
"31053","31045","20014"
"31101","31050","20015"
"31105","31014","20016"
"31056","31040","20017"
"31112","31036","20018"
"31037","31005","20019"
"31116","31044","20020"
"31121","31021","20021"
"31123","31049","20022"
"31107","31046","20023"
"31028","31033","20024"
"31130","31065","20025"
"31132","31027","20026"
"31135","31023","20027"
"31016","31013","20028"
"31141","31054","20029"
"31014","31037","20030"
"31146","31048","20031"
"31147","31060","20032"
"31156","31003","20033"
"31156","31003","20034"
"31158","31010","20035"
"31032","31031","20036"
"31065","31015","20037"
"31168","31040","20038"
"31018","31050","20039"
"31174","31109","20040"
"31096","31051","20041"
"31178","31047","20042"
"31053","31055","20043"
"31192","31006","20044"
"31208","31044","20045"
"31059","31060","20046"
"31212","31058","20047"
"31128","31026","20048"
"31065","31046","20049"
"31014","31031","20050"
"31221","31034","20051"
"31224","31002","20052"
"31228","31036","20053"
"31010","31023","20054"
