aba67bbdada51d23a9f65b1c2daf5b96867eb855d5fa8c9f7bcdf6da5f28321f,99cb648941bdd6540de193d9e0e118ece976d7042280d8b07d38b576ca5e8974,a12fd13c9ea9acc5fafbd1f22f8f09e12cf27fccdf117836c9f57ee6937f4008,1c7762deeb57a0e9f666b30af02d1dad68d0433212ba74ee08a0b78576c866ad,af03237e4efd3fd4e7fbe1f2aab364608b9cc599e64aafe46b3c89b95636b2a4
"1","30","200","8500","1"
"2","30","5","1500","1"
"3","60","220","8500","2"
"4","60","5","1500","2"
"5","60","200","8500","3"
"6","15","200","1500","3"
"7","60","200","8500","4"
"8","10","200","1500","4"
"9","40","150","8500","5"
"10","40","5","1500","5"
"11","60","150","8500","6"
"12","10","200","1500","6"
"13","40","150","8500","7"
"14","40","5","1500","7"
"15","50","150","8500","8"
"16","15","200","1500","8"
"17","45","150","8500","9"
"18","10","200","1500","9"
"19","40","145","8500","10"
"20","10","5","1500","10"
"21","40","300","8500","11"
"22","10","5","1500","11"
"23","65","200","8500","12"
"24","10","200","1500","12"
"25","40","150","8500","13"
"26","10","5","1500","13"
"27","40","100","8500","14"
"28","10","5","1500","14"
"29","50","200","8500","15"
"30","10","5","1500","15"
"31","60","250","8500","16"
"32","30","200","1500","16"
"33","45","120","8500","17"
"34","90","300","1500","17"
"35","90","120","8500","18"
"36","30","200","1500","18"
"37","50","190","8500","19"
"38","60","350","1500","19"
"39","90","95","8500","20"
"40","90","95","1500","20"
"41","20","200","8500","21"
"42","5","5","1500","21"
"43","30","450","8500","22"
"44","5","5","1500","22"
"45","20","200","8500","23"
"46","5","5","1500","23"
"47","30","130","8500","1001"
"48","5","5","1500","1001"
"49","30","140","8500","1002"
"50","5","5","1500","1002"
"51","40","150","8500","1003"
"52","5","5","1500","1003"
"53","45","155","8500","1004"
"54","5","200","1500","1004"
"55","60","155","8500","1005"
"56","10","200","1500","1005"
"57","60","150","8500","1006"
"58","15","200","1500","1006"
"59","60","150","8500","1007"
"60","15","200","1500","1007"
"61","50","160","8500","1008"
"62","15","200","1500","1008"
"63","70","140","8500","1009"
"64","30","200","1500","1009"
"65","35","180","8500","1010"
"66","120","200","1500","1010"
"67","65","140","8500","1011"
"68","30","200","1500","1011"
"69","35","200","8500","1012"
"70","5","5","1500","1012"
