1ec181cda565278ed50f08db34d952847ee08c7cd69af6a8c8873a90c9e3b9e3,e9749a24c3ddf009cca3d8325eac7c5e8de5f5c893d1571a82667060eaa9ef5c,3c3929f3c17ed1887aafba4c68a65df81fb12dc35061a65f453ad8b4583f227c,31e632731ece2b7102ad7176f4e7718bad6ff70429b16999890ece3f1b7e4506,45d5bda5d8e90249d83ce9e6b51d3f86b4407439571630e977fec58fd806f5f8,80e0917c2218fef00d689839bfd0a6c5ad0003fbf6bd9c5d661b942863fe3858,b5297c87afa6688b851cc61900ef3da1219760bef3394c2a6a7c79a9916011c9,796a4b6405766612223a291b062720cbf563b7346de25cf892d41121b4682f3b,5ca35758d2ee9a76ac9b91596de6b6e8d32580253666ce084006fe360a15d0ed
"100101","6","2","1","2","3","3","2","1"
"100201","5","1","3","1","2","3","1","2"
"100301","7","3","1","1","3","2","2","3"
"100401","13","2","1","2","3","2","2","3"
"100501","18","2","2","2","1","3","3","2"
"100601","25","2","1","1","2","3","3","2"
"100701","26","3","3","2","2","3","1","2"
"100801","40","3","3","2","1","2","1","3"
"100901","34","3","1","1","3","2","3","2"
"101001","8","1","3","1","2","3","1","2"
"101101","56","2","2","3","2","3","1","2"
"101201","43","2","1","3","3","1","2","2"
"101301","33","2","1","1","1","3","3","3"
"101401","11","1","3","1","1","2","2","2"
"101501","42","1","3","1","2","2","1","3"
"101601","46","2","2","3","1","3","1","3"
"101701","10","2","1","3","1","3","2","2"
"101801","45","1","3","1","1","2","2","3"
"102001","12","1","2","2","3","3","2","1"
"102101","30","1","1","1","2","3","2","3"
"102201","24","1","1","3","2","1","2","3"
"102301","31","2","1","2","3","3","3","1"
"102501","29","1","3","3","1","2","1","2"
"102601","51","1","3","2","2","3","1","1"
"102701","36","3","2","2","3","1","1","3"
"102801","28","1","2","2","1","2","1","3"
"102901","52","1","2","2","2","3","1","2"
"103001","39","2","2","1","1","3","2","3"
"103101","27","3","3","2","3","2","1","1"
"103201","19","2","3","2","3","1","1","2"
"103301","48","2","2","1","3","3","2","1"
"103401","20","1","2","2","2","1","3","2"
"103601","14","3","3","2","1","1","3","2"
"103701","17","3","1","2","1","2","3","3"
"103801","49","3","3","1","2","2","3","1"
"104001","44","1","2","3","2","1","3","1"
"104201","53","3","3","2","1","2","2","2"
"104301","9","3","1","3","3","2","1","2"
"104401","23","3","3","1","3","2","2","1"
"104501","38","1","2","1","2","2","3","2"
"104601","21","2","3","3","2","2","1","1"
"104701","15","3","1","3","1","2","3","2"
"104801","22","3","1","3","2","1","2","3"
"104901","55","1","2","2","3","2","1","2"
"105001","47","1","2","3","1","3","2","2"
"105101","35","3","3","3","1","1","2","1"
"105201","50","2","2","2","2","3","1","2"
"105301","37","3","1","2","3","2","1","3"
"105401","54","2","2","3","2","3","1","1"
"105501","41","1","2","1","3","2","3","1"
"105601","32","3","1","3","2","3","1","2"
"105701","67","1","1","2","2","3","2","2"
"105801","1","2","2","2","2","3","1","2"
"105901","2","1","3","1","2","2","2","2"
"106001","3","3","2","3","1","2","3","1"
"106101","58","2","1","2","3","3","2","2"
"106301","68","1","1","2","3","3","2","1"
"106401","4","1","1","2","2","3","3","2"
"106501","61","3","1","2","1","3","3","2"
"106601","62","2","3","2","1","3","3","1"
"106701","60","3","2","1","1","2","2","2"
"106801","57","1","1","2","1","1","3","2"
"107001","59","3","3","1","2","1","2","1"
"107101","16","3","1","2","2","1","2","3"
"109201","70","1","2","1","2","2","2","2"
"109301","72","2","2","3","2","3","1","2"
"109401","71","3","1","3","1","2","2","3"
"110801","64","1","1","3","2","2","2","2"
"110901","65","2","2","2","1","2","1","3"
"111001","63","3","3","1","1","3","2","1"
"111401","69","2","2","3","2","2","3","1"
"118001","66","2","3","3","1","1","2","2"
