08d4c0218e947d717d1da3aeb813e415e294eaf3be56713e07391f89647b87f9,3421041e96f8753fbdcc0e8c67e42812cc6cdea2ea6f3acfaf608fc1429c8217,7da228db62d3e06148f5d51e24c1d56ad6238dd4bdcafce80551b4b64966bd73,0829a4379ca402895e24616ec0957df3e28cc0a2f2a71e967d7cfaeea9252dbd,04baea37e3d434f3ad4a7447a9d67e2a7451bf3a8317ce0db97ef2e9f2b41ea9,a83c6d73cce0489b4982799137b791482e6def07750def27e36fad84c5c5fb75,4cc1173b203df3988b78fd81f4e5fb830af51f3fc7138d60bbd04afb95c60ed1,e8cea818fb5093896fef434f42ed4027784d7ab5adbf5fb3bbe9aa325899438b,660866dfb0dccb9448a4f7386bf4b4b7d16be9282010ffac94d39de0ef21bbd6,30537b65e6719dde7657a0ab7fa574701e05fd6a621c87a9d9010c6f9c9b8ee0,87bd438d6f1c59b13f0a26f6646c8fcfafa8c74e26b9f1247d811a1882311644
"empty","53","1","0","5","0","0","10101","1","1","1101010001"
"empty","56","1","0","5","0","0","10101","2","101000","1101010002"
"empty","70","1","0","5","0","0","10101","3","101000","1101010003"
"","0","0","0","31","1","","10101","0","101000","1101010004"
"","0","0","0","31","1","","10101","1","101001","1101010005"
"","0","0","0","31","1","","10101","2","101002","1101010006"
"","0","0","0","31","1","","10101","3","101003","1101010007"
"","0","0","0","31","1","","10101","4","101004","1101010008"
"","0","0","0","31","1","","10101","10","1","1101010009"
"","0","0","0","31","1","","10101","30","3","1101010010"
"","","","","91","","","10101","0","0","1101010011"
"","","","","32","","","10101","1","0","1101010012"
"","","","","32","","","10101","1","10","1101010013"
"","0","0","","3","","","10101","getDish_1_in","2","1101010014"
"","","","","93","","","10101","0","0.2","1101010015"
"","0","0","","3","","","10101","getDish","1","1101010016"
"","0","0","","3","","","10101","getDish_1_B","2","1101010017"
"","0","0","","3","","","10101","getDish_1_F","3","1101010018"
"","","","","32","","","10101","1","1","1101010019"
"","","","","32","","","10101","1","3","1101010020"
"","","","","93","","","10101","0","7.2","1101010021"
"","","","","101","","","10101","1","1101010023","1101010022"
"","","","","35","","","10101","1","2","1101010023"
"","","","","32","","","10101","1","2","1101010024"
"","","","","35","","","10101","1","4","1101010025"
"","","","","32","","","10101","1","4","1101010026"
"","","","","32","","","10101","0","3","1101010027"
"","","","","93","","","10101","0","2.3","1101010028"
"","","","","35","","","10101","1","30","1101010029"
"","","","","32","","","10101","1","30","1101010030"
"","","","","93","","","10101","0","0.2","1101010031"
