644d6b1722416cea4f6ee17451dcc0590adfc6f8c47b32803c3c0ae3a516afe3,993a0374d335075408b5d44e06911bbb449f888853439642761ed66da0018fc6,ae22db89abf9b723afba99c5402071bdb663027f7e1dee15503e9aed97036027,fb4f8397a80cedf4d655fc29c7c18dbefa215425ac47e7732ee6206208689cfa,6bdd37682fa0e32fe86255335b971303a01ccf1e52b4aaa8994711dbeed9ffc2,cb2f801c3925c9b60c1706ef29b7bd9e291eba6938cb575afc140282cbdd2877,734b8e2ed8c0c4b988ccd11ffb863f8154fae4dda56757b2f9613b79e037648c
"71004025","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","BOSS討伐で解放！\n残り{0}体","107601","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","10004","1"
"71005025","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","BOSS討伐で解放！\n残り{0}体","108001","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","10005","2"
"71007031","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","108201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10007","3"
"71009031","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","108501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10009","4"
"71010031","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","108901","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10010","5"
"71011031","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","109001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10011","6"
"71013031","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","109301","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10013","7"
"71017031","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","109801","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10017","8"
"71019031","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","110101","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10019","9"
"72004021","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","107601","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20004","10"
