bb0e587c94c7bf4e331826a1c99608cc539720fe71f005f7b13dee6e6d4c7b27,9e2d9284ce4a22dfac31288009c2b7d71217e5645968ce518868b0f1067bbf01,e24952af329404b541976d77e13cf330bada3ddf33e71798f5a208f3b019d5ef,37a38c5ffa3d8a3e0794c50378f3f71649ee8fc1789bf7f5bc15f6ca7e220394,153de535c39ab63c5d2cb2f21ddf5639bfc091ec03fded1cfe0fec200a97940d,c8faeb8d8483b423597f88bd7a8adb5100c19439e76cccc96e8b5053f4df6c38,fa12636efbe06cc489bef962d3b9418b1d61bd5fcd1816d28962b8940d5eb9ca
"1","1","0","1","0","1","1"
"2","4","0","2","0","1","1"
"3","5","0","1","12","1","1"
"4","2","0","2","0","1","1"
"5","8","0","1","0","2","1"
"1","1","0","1","0","1","2"
"2","1","0","2","0","1","2"
"3","6","0","1","0","1","2"
"4","1","0","2","0","1","2"
"5","1","0","3","0","1","2"
"6","3","0","1","11","3","2"
"7","1","0","2","0","1","2"
"8","3","0","1","0","1","2"
"9","1","0","1","0","2","2"
"1","1","0","1","0","1","3"
"2","10","0","2","0","1","3"
"3","11","0","1","0","1","3"
"4","5","0","2","0","1","3"
"5","6","0","3","0","1","3"
"6","3","0","3","0","1","3"
"7","3","0","4","9","2","3"
"8","7","0","4","0","1","3"
"9","1","0","4","0","1","3"
"10","9","0","1","8","3","3"
"11","4","0","2","0","1","3"
"12","1","0","1","0","1","3"
"13","3","0","4","0","1","3"
"14","3","0","3","11","2","3"
"1","4","0","1","10","1","4"
"2","12","0","1","12","1","4"
"3","1","0","2","10","1","4"
"4","11","0","1","4","1","4"
"5","1","0","2","0","1","4"
"6","4","0","1","13","1","4"
"7","2","0","2","6","1","4"
"8","8","0","1","0","1","4"
"9","8","0","2","10","1","4"
"1","1","0","1","10","1","5"
"2","11","0","2","5","1","5"
"3","1","0","1","7","1","5"
"4","5","0","2","12","1","5"
"5","1","0","1","11","1","5"
"6","3","0","2","4","1","5"
"7","5","0","2","12","1","5"
"8","2","0","1","6","1","5"
"9","11","0","2","4","1","5"
"10","8","0","1","8","1","5"
"11","4","0","1","10","1","5"
"12","5","0","2","10","1","5"
"1","8","0","1","7","1","6"
"2","4","0","2","10","1","6"
"3","1","0","1","11","1","6"
"4","8","0","2","8","1","6"
"5","11","0","1","6","1","6"
"6","2","0","1","7","2","6"
"7","5","0","1","4","1","6"
"8","4","0","2","10","1","6"
"9","10","0","1","13","2","6"
"1","8","0","1","7","1","7"
"2","12","0","2","10","1","7"
"3","4","0","2","12","1","7"
"4","11","0","1","7","1","7"
"5","1","0","1","10","1","7"
"6","5","0","2","12","1","7"
"7","5","0","2","11","1","7"
"8","8","0","2","10","1","7"
"9","2","0","1","8","1","7"
"10","8","0","1","7","1","7"
"11","4","0","2","9","1","7"
"1","1","0","1","10","2","8"
"2","12","0","2","10","1","8"
"3","12","0","1","5","1","8"
"4","5","0","1","12","1","8"
"5","1","0","2","10","1","8"
"6","5","0","1","12","1","8"
"7","5","0","1","12","1","8"
"8","1","0","2","10","1","8"
"9","8","0","2","9","1","8"
"10","4","0","1","9","2","8"
"1","4","0","1","8","1","9"
"2","5","0","1","10","1","9"
"3","4","0","2","7","1","9"
"4","6","0","2","8","1","9"
"5","1","0","1","10","1","9"
"6","11","0","1","11","1","9"
"7","1","0","1","6","1","9"
"8","5","0","2","8","1","9"
"9","8","0","2","7","1","9"
"10","4","0","1","6","1","9"
"1","11","0","2","10","1","10"
"2","1","0","1","7","1","10"
"3","8","0","1","8","2","10"
"4","5","0","2","9","1","10"
"5","10","0","1","8","1","10"
"6","1","0","1","7","2","10"
"7","2","0","1","6","2","10"
"8","11","0","1","10","1","10"
"9","8","0","2","10","1","10"
"1","9","0","1","8","1","11"
"2","5","0","2","0","1","11"
"3","6","0","2","12","1","11"
"4","1","0","1","5","1","11"
"5","5","0","2","10","1","11"
"6","6","0","2","12","1","11"
"7","1","0","1","4","1","11"
"8","11","0","1","0","1","11"
"9","6","0","1","0","1","11"
"10","1","0","2","10","1","11"
"11","6","0","1","11","1","11"
"12","1","0","2","12","1","11"
"13","5","0","2","6","1","11"
"14","10","0","1","7","1","11"
"15","4","0","2","7","1","11"
"1","11","0","2","4","1","12"
"2","1","0","1","5","1","12"
"3","6","0","2","10","1","12"
"4","5","0","2","10","1","12"
"5","11","0","1","0","1","12"
"6","6","0","2","0","1","12"
"7","12","0","2","17","1","12"
"8","5","0","1","1","1","12"
"9","1","0","1","2","1","12"
"10","6","0","2","10","1","12"
"11","4","0","2","10","1","12"
"12","1","0","1","0","1","12"
"13","5","0","1","13","1","12"
"14","11","0","2","8","1","12"
"15","8","0","1","10","1","12"
"1","11","0","1","10","1","13"
"2","11","0","3","8","1","13"
"3","6","0","2","0","1","13"
"4","11","0","1","10","1","13"
"5","11","0","2","7","1","13"
"6","2","0","3","6","1","13"
"7","1","1500","3","0","1","13"
"8","11","0","1","5","3","13"
"9","5","0","3","10","1","13"
"10","1","0","2","4","1","13"
"11","1","0","1","4","1","13"
"12","6","0","3","6","1","13"
"13","4","0","1","6","1","13"
"14","9","0","1","10","3","13"
"15","8","0","3","10","1","13"
"16","4","0","1","6","1","13"
"17","1","0","3","0","1","13"
"18","8","0","2","8","1","13"
"1","11","0","1","0","1","14"
"2","2","0","1","13","2","14"
"3","11","0","3","10","1","14"
"4","1","0","1","10","1","14"
"5","4","0","1","10","2","14"
"6","11","0","2","0","1","14"
"7","1","0","2","0","1","14"
"8","1","0","1","10","1","14"
"9","12","0","3","12","1","14"
"10","12","0","3","12","1","14"
"11","5","0","3","0","1","14"
"12","5","0","1","12","1","14"
"13","10","0","1","6","2","14"
"14","11","0","1","10","1","14"
"15","10","0","1","6","3","14"
"16","11","0","1","10","1","14"
"17","2","0","1","6","3","14"
"18","10","0","1","6","2","14"
"19","11","0","1","4","1","14"
"20","8","0","2","10","1","14"
"21","8","0","1","4","3","14"
"1","12","0","2","10","1","15"
"2","12","0","1","12","1","15"
"3","11","0","3","12","1","15"
"4","11","0","1","6","1","15"
"5","12","0","2","12","1","15"
"6","5","0","2","0","1","15"
"7","11","0","1","12","1","15"
"8","1","0","1","0","1","15"
"9","5","0","1","0","1","15"
