4d859f26d51b3ff65a826d72679cd6a51ec089ac2a59a4fed9831aa1ac3c0f8b,889d945074a40730dc36f8c404d3b34cba2243253e7bbf32f1d4731d9cf30e87,a83c00fbcb434444d6e72e0c712917b9df3dd044bb6c55235a70cb0573452698,403852355aa158109e857c75a86d1403bffb56541ecc5884a26f11f4ebd2ecd9,d1429b3494fc8cd2834d931593c7c9ca7b133013d157f91d50f594ca19e0c72d
"30","8500","1","200","1"
"30","1500","2","5","1"
"60","8500","3","220","2"
"60","1500","4","5","2"
"60","8500","5","200","3"
"15","1500","6","200","3"
"60","8500","7","200","4"
"10","1500","8","200","4"
"40","8500","9","150","5"
"40","1500","10","5","5"
"60","8500","11","150","6"
"10","1500","12","200","6"
"40","8500","13","150","7"
"40","1500","14","5","7"
"50","8500","15","150","8"
"15","1500","16","200","8"
"45","8500","17","150","9"
"10","1500","18","200","9"
"40","8500","19","145","10"
"10","1500","20","5","10"
"40","8500","21","300","11"
"10","1500","22","5","11"
"65","8500","23","200","12"
"10","1500","24","200","12"
"40","8500","25","150","13"
"10","1500","26","5","13"
"40","8500","27","100","14"
"10","1500","28","5","14"
"50","8500","29","200","15"
"10","1500","30","5","15"
"60","8500","31","250","16"
"30","1500","32","200","16"
"45","8500","33","120","17"
"90","1500","34","300","17"
"90","8500","35","120","18"
"30","1500","36","200","18"
"50","8500","37","190","19"
"60","1500","38","350","19"
"90","8500","39","95","20"
"90","1500","40","95","20"
"20","8500","41","200","21"
"5","1500","42","5","21"
"30","8500","43","450","22"
"5","1500","44","5","22"
"20","8500","45","200","23"
"5","1500","46","5","23"
"30","8500","47","130","1001"
"5","1500","48","5","1001"
"30","8500","49","140","1002"
"5","1500","50","5","1002"
"40","8500","51","150","1003"
"5","1500","52","5","1003"
"45","8500","53","155","1004"
"5","1500","54","200","1004"
"60","8500","55","155","1005"
"10","1500","56","200","1005"
"60","8500","57","150","1006"
"15","1500","58","200","1006"
"60","8500","59","150","1007"
"15","1500","60","200","1007"
"50","8500","61","160","1008"
"15","1500","62","200","1008"
"70","8500","63","140","1009"
"30","1500","64","200","1009"
"35","8500","65","180","1010"
"120","1500","66","200","1010"
"65","8500","67","140","1011"
"30","1500","68","200","1011"
"35","8500","69","200","1012"
"5","1500","70","5","1012"
"70","8500","71","150","1013"
"15","1500","72","200","1013"
"60","8500","73","150","1014"
"15","1500","74","200","1014"
"60","8500","75","150","1015"
"15","1500","76","200","1015"
"60","8500","77","150","1016"
"15","1500","78","200","1016"
"60","8500","79","150","1017"
"15","1500","80","200","1017"
"50","8500","81","120","1018"
"60","1500","82","200","1018"
"67","8500","83","102","1019"
"60","1500","84","200","1019"
"35","8500","85","120","1020"
"60","1500","86","250","1020"
"30","7000","87","200","10001"
"30","3000","88","5","10001"
"60","7000","89","220","10002"
"60","3000","90","5","10002"
"60","7000","91","200","10003"
"15","3000","92","200","10003"
"60","7000","93","200","10004"
"10","3000","94","200","10004"
"40","7000","95","150","10005"
"40","3000","96","5","10005"
"60","7000","97","150","10006"
"10","3000","98","200","10006"
"40","7000","99","150","10007"
"40","3000","100","5","10007"
"50","7000","101","150","10008"
"15","3000","102","200","10008"
"45","7000","103","150","10009"
"10","3000","104","200","10009"
"40","7000","105","145","10010"
"10","3000","106","5","10010"
"40","7000","107","300","10011"
"10","3000","108","5","10011"
"65","7000","109","200","10012"
"10","3000","110","200","10012"
"40","7000","111","150","10013"
"10","3000","112","5","10013"
"40","7000","113","100","10014"
"10","3000","114","5","10014"
"50","7000","115","200","10015"
"10","3000","116","5","10015"
"60","7000","117","250","10016"
"30","3000","118","200","10016"
"45","7000","119","120","10017"
"90","3000","120","300","10017"
"90","7000","121","120","10018"
"30","3000","122","200","10018"
"50","7000","123","190","10019"
"60","3000","124","350","10019"
"90","7000","125","95","10020"
"90","3000","126","95","10020"
"60","7000","127","200","10021"
"60","3000","128","200","10021"
"60","7000","129","200","10022"
"60","3000","130","200","10022"
"60","7000","131","200","10023"
"60","3000","132","200","10023"
"30","7000","133","130","11001"
"5","3000","134","5","11001"
"30","7000","135","140","11002"
"5","3000","136","5","11002"
"40","7000","137","150","11003"
"5","3000","138","5","11003"
"45","7000","139","155","11004"
"5","3000","140","200","11004"
"60","7000","141","155","11005"
"10","3000","142","200","11005"
"60","7000","143","150","11006"
"15","3000","144","200","11006"
"60","7000","145","150","11007"
"15","3000","146","200","11007"
"50","7000","147","160","11008"
"15","3000","148","200","11008"
"70","7000","149","140","11009"
"30","3000","150","200","11009"
"35","7000","151","180","11010"
"120","3000","152","200","11010"
"65","7000","153","140","11011"
"30","3000","154","200","11011"
"35","7000","155","200","11012"
"5","3000","156","5","11012"
"70","7000","157","150","11013"
"15","3000","158","200","11013"
"60","7000","159","150","11014"
"15","3000","160","200","11014"
"60","7000","161","150","11015"
"15","3000","162","200","11015"
"60","7000","163","150","11016"
"15","3000","164","200","11016"
"60","7000","165","150","11017"
"15","3000","166","200","11017"
"50","7000","167","120","11018"
"60","3000","168","200","11018"
"67","7000","169","102","11019"
"60","3000","170","200","11019"
"35","7000","171","120","11020"
"60","3000","172","250","11020"
"30","5000","173","200","20001"
"30","5000","174","5","20001"
"60","5000","175","220","20002"
"60","5000","176","5","20002"
"60","5000","177","200","20003"
"15","5000","178","200","20003"
"60","5000","179","200","20004"
"10","5000","180","200","20004"
"40","5000","181","150","20005"
"40","5000","182","5","20005"
"60","5000","183","150","20006"
"10","5000","184","200","20006"
"40","5000","185","150","20007"
"40","5000","186","5","20007"
"50","5000","187","150","20008"
"15","5000","188","200","20008"
"45","5000","189","150","20009"
"10","5000","190","200","20009"
"40","5000","191","145","20010"
"10","5000","192","5","20010"
"40","5000","193","300","20011"
"10","5000","194","5","20011"
"65","5000","195","200","20012"
"10","5000","196","200","20012"
"40","5000","197","150","20013"
"10","5000","198","5","20013"
"40","5000","199","100","20014"
"10","5000","200","5","20014"
"50","5000","201","200","20015"
"10","5000","202","5","20015"
"60","5000","203","250","20016"
"30","5000","204","200","20016"
"45","5000","205","120","20017"
"90","5000","206","300","20017"
"90","5000","207","120","20018"
"30","5000","208","200","20018"
"50","5000","209","190","20019"
"60","5000","210","350","20019"
"90","5000","211","95","20020"
"90","5000","212","95","20020"
"60","5000","213","200","20021"
"60","5000","214","200","20021"
"60","5000","215","200","20022"
"60","5000","216","200","20022"
"60","5000","217","200","20023"
"60","5000","218","200","20023"
"30","5000","219","130","21001"
"5","5000","220","5","21001"
"30","5000","221","140","21002"
"5","5000","222","5","21002"
"40","5000","223","150","21003"
"5","5000","224","5","21003"
"45","5000","225","155","21004"
"5","5000","226","200","21004"
"60","5000","227","155","21005"
"10","5000","228","200","21005"
"60","5000","229","150","21006"
"15","5000","230","200","21006"
"60","5000","231","150","21007"
"15","5000","232","200","21007"
"50","5000","233","160","21008"
"15","5000","234","200","21008"
"70","5000","235","140","21009"
"30","5000","236","200","21009"
"35","5000","237","180","21010"
"120","5000","238","200","21010"
"65","5000","239","140","21011"
"30","5000","240","200","21011"
"35","5000","241","200","21012"
"5","5000","242","5","21012"
"70","5000","243","150","21013"
"15","5000","244","200","21013"
"60","5000","245","150","21014"
"15","5000","246","200","21014"
"60","5000","247","150","21015"
"15","5000","248","200","21015"
"60","5000","249","150","21016"
"15","5000","250","200","21016"
"60","5000","251","150","21017"
"15","5000","252","200","21017"
"50","5000","253","120","21018"
"60","5000","254","200","21018"
"67","5000","255","102","21019"
"60","5000","256","200","21019"
"35","5000","257","120","21020"
"60","5000","258","250","21020"
