a4c89f871be0730ee1480cedb024b51c540b434bad309d85482271ac8ae56b48,589a501c0e0716d297f9fb49b984ecb368eda66a1c2838736df93fc19b006e5d,edb1d4b5db226f75003b8d513d53f5fc670463681c983d47cfaa826eb668af27,8262ba311d3c8fdf02d5197eb4834dcafb6fbd8fc35916e902ffb2fe4e8a182c,6efa5b4c5b5deaa825dd5c55240e3c8b7d156a3a9404374f7e56a1508f2dab46,9efb529ba6e25334aa5367c19356d6663f0cdba84bb06e2d1b5d4be84fff2572,541ee131a1d16b8e916bd8d90c3632f7fa599a97838459ac3fd178c7f48643e0,a4249210d6fec2ea73bdf701130f57be649020b34913abfdabf45f125691b588,1ff6719c098c23347a8937b7fdd85eaafa13bc3d5ddf6dc9f95fa757fc0a9f4e,57dfac86e7ca7aaca32e7a0161d90d783aa3762ab5f266282382f2b8e375066a,ace29fff7824523d8a2ef2ab407ecae1a7de0a5eb907cfcccf368848ce22920e
"105811","travel_topdrama_r_2000_idle_smile","20011","1","-68","1","42","1","101","0.8","1200110001"
"106011","travel_topdrama_r_2000_idle_sad_shy","20011","0","-68","1","-42","1","102","0.8","1200110002"
"0","mana","20011","0","-75","5","0","0","110","1","1200110003"
"","","20011","","","91","","0","","","1200110004"
"0","","20011","","","93","","10","","","1200110005"
"","","20011","","","101","","1200110005","","","1200110006"
"none","","20011","","","3","","0","0","0","1200110007"
"","","20011","","","91","","0","","","1200110008"
"103","","20012","","","13","","105811","","","1200120001"
"104","","20012","","","13","","106011","","","1200120002"
"travel_topdrama_r_2000_talk_smile_in","","20012","","1","3","travel_topdrama_r_2000_talk_smile_loop","105811","0","0.2","1200120003"
"vo_travel_talk_20001_00","","20012","","","21","0","vo_travel_talk","0","","1200120004"
"キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","0","20012","0","1","11","1","105811","10","0","1200120005"
"","","20012","","","91","","0","","","1200120006"
"travel_topdrama_r_2000_idle_smile","","20012","","","3","","105811","1","0.2","1200120007"
"travel_topdrama_r_2000_talk_anger_shy","","20012","","1","3","","106011","1","0.2","1200120008"
"vo_travel_talk_20001_01","","20012","","","21","0","vo_travel_talk","0","","1200120009"
"あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","0","20012","0","1","11","1","106011","10","0","1200120010"
"","","20012","","","91","","0","","","1200120011"
"travel_topdrama_r_2000_idle_sad_shy","","20012","","","3","","106011","1","0.2","1200120012"
"travel_topdrama_r_2000_talk_smile_in","","20012","","1","3","travel_topdrama_r_2000_talk_smile_loop","105811","0","0.2","1200120013"
"vo_travel_talk_20001_02","","20012","","","21","0","vo_travel_talk","0","","1200120014"
"まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","0","20012","0","1","11","1","105811","10","0","1200120015"
"","","20012","","","91","","0","","","1200120016"
"travel_topdrama_r_2000_idle_smile","","20012","","","3","","105811","1","0.2","1200120017"
"","","20012","","","112","","","","","1200120018"
"","","20012","","","91","","0","","","1200120019"
"100211","travel_topdrama_r_2000_idle_normal","20021","1","-68","1","42","1","101","0.8","1200210001"
"100111","travel_topdrama_r_2002_sitting_loop","20021","0","-68","1","-42","1","102","0.8","1200210002"
"3","travel_topdrama_r_2002_sitting_loop","20021","0","-68","5","-42","3","100","0.8","1200210003"
"0","mana","20021","0","-75","5","0","0","110","1","1200210004"
"","","20021","","","91","","0","","","1200210005"
"0","","20021","","","93","","10","","","1200210006"
"","","20021","","","101","","1200210006","","","1200210007"
"none","","20021","","","3","","0","0","0","1200210008"
"","","20021","","","91","","0","","","1200210009"
"103","","20022","","","13","","100211","","","1200220001"
"104","","20022","","","13","","100111","","","1200220002"
"travel_topdrama_r_2000_talk_normal","","20022","","1","3","","100211","1","0.2","1200220003"
"vo_travel_talk_20002_00","","20022","","","21","0","vo_travel_talk","0","","1200220004"
"うん、これでいいと思う。\n傷はきれいに塞がったけど、\nまだどこか痛んだりするかな？","0","20022","0","1","11","1","100211","10","0","1200220005"
"","","20022","","","91","","0","","","1200220006"
"travel_topdrama_r_2000_idle_normal","","20022","","","3","","100211","1","0.2","1200220007"
"vo_travel_talk_20002_01","","20022","","","21","0","vo_travel_talk","0","","1200220008"
"もう大丈夫だよ、ありがとう！\nやっぱりこういう長旅の時には、\nユイちゃんの魔法が頼りになるね♪","0","20022","0","1","11","1","100111","10","0","1200220009"
"","","20022","","","91","","0","","","1200220010"
"travel_topdrama_r_2000_talk_wish_in_joy","","20022","","1","3","travel_topdrama_r_2000_talk_wish_loop_joy","100211","0","0.2","1200220011"
