4e90e3e669ff288b0f23019ed16f35fb7325343a7c8d856b7cd7ef809e817807,3fbd0f9b22f923ceaeb8be56fe44992e8c545b96f6019ad475ad2566e8ca8d69,0864bb89fe90bddd42d877b6b232d21b879f172b36cb34749603b13cd1925575,5c9d7f828f43175a9226be50b4171d3cbb5bcf68a513eb38fb037490f24a213e,ae8ce998e2da0b3b170a22e1ffcb1734270f805b1240a01b43cb77b285e99ab7,8b56959fedbe320e5d3746c6b9bf8a30cc7103f2f8355ef5d16b18fb45304041,c18764ad3624dfac3da1c3421ef50a5c124637ec463eaa3efb7e2bc89d33062d,8169b19ffe25420bbad82336540536c56b666fc74a06e7cb2a8dd2a0ddd803b7,0ec65fd03e8b1945e7c6e8a076692b9287f7d35938f5e5fe3563ac49c88e6453,176ace23210cef76d792914d05cb5b4e400d4a9cdf991820f7a1b667d1e50f50,9118d03d191c7dcd89d22ff834c6ceddc77b6a9cb39442121232245b881b8e31,ec63cdedda5eb28551394add8733b15e0a833842c84a1b08f395b0dda0c17491,a327945f1ed4b6f52e6e953a01ee7e1a55447320fd0faedb539f1ac563b31347,f5ff38d66c0ddfddf028e5fbbb4e47678f156ae0e548d9f44cfd55a340c9c663,48ce455562859896745d92ecf5b0a8204ab1106c02462061f830e046fe9b6b02,5d8d948582b24f201e334bfba97f483558c67e68e6a31be03d53b7a947e00296
"0","0","プリンを15種類食べよう","0","0","0","0","0","1","1","0","20000","0","12","15","94002"
"0","0","プリンを30種類食べよう","0","0","0","0","0","1","2","0","30000","0","12","30","94002"
"0","0","プリンを40種類食べよう","0","0","0","0","0","1","3","0","50","0","8","40","91002"
"0","0","プリンを50種類食べよう","0","0","0","0","0","1","4","0","50000","0","12","50","94002"
"0","0","プリンを55種類食べよう","0","0","0","0","0","1","5","0","50","0","8","55","91002"
"0","0","プリンを60種類食べよう","0","0","0","0","0","1","6","0","100000","0","12","60","94002"
"0","0","プリンを全66種類食べよう","0","8","0","0","91002","1","7","0","1","100","15","66","11001164"
"0","0","プリンノートを25％コンプリートしよう","0","0","0","0","0","2","8","0","50000","0","12","25","94002"
"0","0","プリンノートを50％コンプリートしよう","0","0","0","0","0","2","9","0","50","0","8","50","91002"
"0","0","プリンノートを75％コンプリートしよう","0","0","0","0","0","2","10","0","100000","0","12","75","94002"
"0","8","プリンノートを100％コンプリートしよう","0","15","91002","0","11001165","2","11","100","1","1","16","100","9000100"
