2c5e5a6a91f316fac2296dcb70e218a25d12e12d127e677dd2f79b161f4c1c80,3e729f1103cfd279767309807eac6f86a2c2b72c906d5f09fcb7dd7bc0a90db6,6ef943637e1a86434476f35ed142b0104b2b6d194d3b578faf5d523ac891dc08,20551537ea90c2c50a1d14cf2324aa9412303ee2a748eac194a5716d32c1be22,0473e6f2ab40723df1b19399ec1eeb7bd4392f7613925f28b6daeef4b0036cc1
"1","300","135","1","1"
"1","-100","425","1","2"
"2","125","-100","1","3"
"2","-415","375","1","4"
"3","-50","25","1","5"
"3","-300","-25","1","6"
"4","-335","-195","1","7"
"4","-415","105","1","8"
"5","-160","135","1","9"
"6","-40","345","1","10"
"7","90","-230","1","11"
"8","-420","230","1","12"
"9","250","30","1","13"
"10","-245","280","1","14"
"11","-110","-150","1","15"
