71e8068be46a36f946347a6df4743b0bc3a26501ec1ec36c5f326256815ca888,4e1033b7025cc02f1133b4bf41e57f06d89d14ff8257d59ae293f812fbc4288a,38436c9617061744e40efb888a034c0415cc74641e8a71fb1d03e66d1ab1ec35,e52505c8a8178d7b8478ecdba371137933563edf44ba0f698d50ec88db1592a9,9b567a9e64f949415586083bb2f2d9593629640176e4ee5e617223d1db0a3c59,3ea2863d86558749b617f20e52f28eb25a19fbb60053f24c7aff971e649dbe78,d075cf02cb15cf7b15347836d0c15a739cbef6b61daeeea880cafd3710065433,4cd940c32bd8a388391b95a97861fa585141a381048945c130a35445eb78b815,178a0b5aed3804bf744812b360d614043eafa9baad4c868b46beb980ecdb0cc0,21e9a5affd8e3f2f70acc6cfa3f5ee59ac2c5b773caaee147078ae6bdbed91ad,d6baf0b206e78d0dafd61efa02f41d959d2aee0def321954ab776d523e05eecf,544d6e257fd0d5df8e45b88bf09c2add101bef9f8d7c808e9727907b571de293,d2a17e4a5fb82da4175c9849b9b321926c7bf112ceab1ff43dd39a90de805600,a3417e2494a458440ef39b782163af65032e0a473c19f56505be9903dae124fe,afd4e4d075f1e13caa2bcbc61bf0073b26e88aef943aefcbfd0976bc8cb6a102
"1","92407020","0","8","924072001","92407010","924070100","前哨クエスト","924073001","96","6","90","92407","25","0"
"2","92407030","92407010","8","924072002","92407020","924070200","前哨クエスト","924073002","96","6","90","92407","25","0"
"3","0","92407020","8","924072003","92407030","924070300","前哨クエスト","924073003","96","6","90","92407","25","0"
"1","92408020","0","25","924082001","92408010","924080100","前哨クエスト","924083001","540","25","90","92408","25","0"
"2","92408030","92408010","25","924082002","92408020","924080200","前哨クエスト","924083002","540","25","90","92408","25","0"
"3","0","92408020","25","924082003","92408030","924080300","前哨クエスト","924083003","540","25","90","92408","25","0"
"1","92409020","0","25","924092001","92409010","924090100","前哨クエスト","924093001","540","25","90","92409","25","0"
"2","92409030","92409010","25","924092002","92409020","924090200","前哨クエスト","924093002","540","25","90","92409","25","0"
"3","0","92409020","25","924092003","92409030","924090300","前哨クエスト","924093003","540","25","90","92409","25","0"
"1","92410020","0","25","924102001","92410010","924100100","前哨クエスト","924103001","540","25","90","92410","25","0"
"2","92410030","92410010","25","924102002","92410020","924100200","前哨クエスト","924103002","540","25","90","92410","25","0"
"3","0","92410020","25","924102003","92410030","924100300","前哨クエスト","924103003","540","25","90","92410","25","0"
"1","92411020","0","25","924112001","92411010","924110100","前哨クエスト","924113001","540","25","90","92411","25","0"
"2","92411030","92411010","25","924112002","92411020","924110200","前哨クエスト","924113002","540","25","90","92411","25","0"
"3","0","92411020","25","924112003","92411030","924110300","前哨クエスト","924113003","540","25","90","92411","25","0"
"1","92412020","0","25","924122001","92412010","924120100","前哨クエスト","924123001","540","25","90","92412","25","0"
"2","92412030","92412010","25","924122002","92412020","924120200","前哨クエスト","924123002","540","25","90","92412","25","0"
"3","0","92412020","25","924122003","92412030","924120300","前哨クエスト","924123003","540","25","90","92412","25","0"
"1","92414020","0","25","924142001","92414010","924140100","前哨クエスト","924143001","540","25","90","92414","25","0"
"2","92414030","92414010","25","924142002","92414020","924140200","前哨クエスト","924143002","540","25","90","92414","25","0"
"3","0","92414020","25","924142003","92414030","924140300","前哨クエスト","924143003","540","25","90","92414","25","0"
"1","92501020","0","25","925012001","92501010","925010100","前哨クエスト","925013001","540","25","90","92413","25","0"
"2","92501030","92501010","25","925012002","92501020","925010200","前哨クエスト","925013002","540","25","90","92413","25","0"
"3","0","92501020","25","925012003","92501030","925010300","前哨クエスト","925013003","540","25","90","92413","25","0"
