57b15fffcd57a02a852a3b734b8a07933950d65985d6b55328082f71291ce792,40629a09cab514014f713f2883e8bddfb1250be9e1ecaf70fdd0ca8426807c18,8491b1ef27175800a11a87cafb3e89f5ed5ec3cf923d495c484324a5f601f375,bc3f935827c42f0b4defd9007bb8db6be84c44e66e4cc31c7b07b9277b5754ff,e6192542f806b18dfccb179eb600fde82448afdc140d0a6da308534096e702bb,eb0c59564a76a25ec85327394caa27f44dde30a342eb69cecc8007d16effde87,256e0a69cbc3a9083ed9db9fe5c3de3ddff9abbfdd289cbb17821571bddc0451,96af8d42c7faa3afcf75ea447b06c07a1d6bf687a72026bc3f4940cf42ba268e,cc35bf8ec8a904357efc38a58abd7b9503940fede44a68d13c25024dd45c53ad,519861ad2fed571ef1721fced45168572c2993c0a29a80843202eafde48a781b,6402d3ccaa95c38d0f882318e576d003ca1d52de8653fb5e5db3c30e1de659c0,411fe0051f5f5c8f19c7a2d7104d19b42bab555f5eb4c95e93cea7185828ae15
"1010001","0","0","1","1","0","1","0","4","3","0","0"
"1010002","0","vo_minigame_1005","0","2","0","1","0","2","0","vo_minigame_1005_nikki01_000","0"
"1010003","0","0","0","3","202","1","1","1","0","0","1.418"
"1010004","0","0","1.858","4","0","1","0","4","1","0","0"
"1010005","0","0","0","5","316","1","2","1","0","0","2.536"
"1010006","0","0","3.484","6","0","1","0","4","1","0","0"
"1010007","0","vo_minigame_1005","0","7","0","1","0","2","0","vo_minigame_1005_nikki01_001","0"
"1010008","0","0","0","8","121","1","3","1","0","0","1.131"
"1010009","0","0","1.407","9","0","1","0","4","1","0","0"
"1010010","121","0","0","10","276","1","3","1","0","0","1.043"
"1010011","0","0","1.719","11","0","1","0","4","1","0","0"
"1010012","276","0","0","12","389","1","3","1","0","0","0.69"
"1010013","0","0","0.69","13","0","1","0","4","1","0","0"
"1010014","0","0","0","14","224","1","4","1","0","0","1.694"
"1010015","0","0","2.204","15","0","1","0","4","1","0","0"
"1010016","224","0","0","16","384","1","4","1","0","0","1.298"
"1010017","0","0","1.298","17","0","1","0","4","1","0","0"
"1010018","0","0","0","18","131","1","5","1","0","0","1.118"
"1010019","0","0","1.199","19","0","1","0","4","1","0","0"
"1010020","131","0","0","20","244","1","5","1","0","0","0.958"
"1010021","0","0","1.269","21","0","1","0","4","1","0","0"
"1010022","244","0","0","22","394","1","5","1","0","0","1.373"
"1010023","0","0","1.373","23","0","1","0","4","1","0","0"
"1010024","0","0","0","24","25","1","6","1","0","0","0.193"
"1010025","0","0","0.552","25","0","1","0","4","1","0","0"
"1010026","25","0","0","26","368","1","6","1","0","0","2.64"
"1010027","0","0","3.195","27","0","1","0","4","1","0","0"
"1010028","0","0","0","28","65","1","7","1","0","0","0.599"
"1010029","0","0","0.929","29","0","1","0","4","1","0","0"
"1010030","65","0","0","30","252","1","7","1","0","0","1.302"
"1010031","0","0","2.395","31","0","1","0","4","1","0","0"
"1010032","0","vo_minigame_1005","0","32","0","1","0","2","0","vo_minigame_1005_nikki01_002","0"
"1010033","0","0","0","33","271","1","8","1","0","0","2.09"
"1010034","0","0","2.512","34","0","1","0","4","1","0","0"
"1010035","271","0","0","35","400","1","8","1","0","0","0.868"
"1010036","0","0","0.907","36","0","1","0","4","1","0","0"
"1010037","0","0","0","37","315","1","9","1","0","0","2.214"
"1010038","0","0","2.562","38","0","1","0","4","1","0","0"
"1010039","0","0","0","39","242","1","10","1","0","0","1.65"
"1010040","0","0","2.654","40","0","1","0","4","1","0","0"
"1010041","0","vo_minigame_1005","0","41","0","1","0","2","0","vo_minigame_1005_nikki01_003","0"
"1010042","242","0","0","42","345","1","10","1","0","0","0.685"
"1010043","0","0","1.036","43","0","1","0","4","1","0","0"
