7f88c3829dd6c35cae8f34228ebe72905c267f6c18d89865364d8dd0b892035c,21f0cf58c012ab5fb9479444480492d193f6a120d12ad44e8df3ef8e46c1bacf,fd4299d19e8e57f3a5300587081afeb40e2e6005adb8f811be9f5ccd32adc950
"106101","通常時","装備中"
"106701","通常時","特殊スキル"
"106801","通常時","権能解放中"
"106901","通常時","特殊スキル"
"115801","通常時","変身中"
"116401","通常時","特殊スキル"
"118201","通常時","特殊スキル"
"118501","通常時","特殊スキル"
"118601","通常時","特殊スキル"
"120801","通常時","初回発動時"
"122001","通常時","特殊スキル"
"122301","通常時","共闘中"
"122701","通常時","特殊スキル"
"123001","通常時","特殊スキル"
"125001","通常時","共闘中"
"125801","通常時","特殊スキル"
"126001","通常時","特殊スキル"
"126101","通常時","特殊スキル"
"126201","通常時","特殊スキル"
"126401","通常時","【フルチャージ】中"
"126501","通常時","特殊スキル"
"129001","通常時","特殊スキル"
"129301","通常時","特殊スキル"
"129401","通常時","特殊スキル"
"129601","通常時","特殊スキル"
"129701","通常時","特殊スキル"
"130001","通常時","特殊スキル"
"131201","通常時","特殊スキル"
"131801","通常時","特殊スキル"
"132001","通常時","特殊スキル"
"132101","通常時","鬼化中"
"181201","通常時","特殊スキル"
