d8fb2051d08133cbbdfec4070eaf7c37ac55acf7dc4c37abe8d3087f38eec53b,03b357057d3db48a7a1a58f05ad7022f4a53569caa88696f56e198fd6e189aca,6fd04e17da80c53572c8b813c9ec336007d2b54c7c06b32448b5ac83d0dbb688,1332da28617bc18a70c8e125afb5765accfc1874d0f90742b0860d03b2e72173,d89705cd5803a11c056f688736a47864953a574f3b5044bb83de1a2fa37c8d0c,b22d4a42ce2b00bff3ac0e07a4c672ae26dc6eadc4d218a153f51491890d0907,bce7950cbe6a3d12da86b354b6330ad69d058dc48dccfde7f5ebe3dd816b8729
"3","2","105","1","105","105","1"
"3","2","120","1","120","105","2"
"3","2","120","1","100","100","3"
"3","2","120","1","120","105","4"
"3","2","120","1","105","105","5"
"3","2","105","1","100","100","6"
"3","2","105","1","100","120","7"
"3","2","105","1","100","100","8"
"3","2","120","1","120","105","9"
"3","2","105","1","100","120","10"
"3","2","100","1","105","100","11"
"3","2","120","1","120","105","12"
"3","2","105","1","105","105","13"
"3","2","105","1","120","105","14"
"3","2","120","1","120","120","15"
"3","2","100","1","100","100","16"
"3","2","120","1","105","120","17"
"3","2","105","1","120","120","18"
"3","2","100","1","105","105","19"
"3","2","105","1","105","100","20"
"3","2","100","1","105","100","21"
"3","2","120","1","120","120","22"
"3","2","100","1","100","105","23"
"3","2","120","1","120","120","24"
"3","2","120","1","105","105","25"
"3","2","100","1","100","100","26"
"3","2","100","1","100","100","27"
"3","2","100","1","100","100","28"
"3","2","120","1","120","120","29"
"3","2","105","1","120","105","30"
