1cc4c11471121f3eba5b06610a21c6ef930e502bc6a6fd1840c3a028b45d2c66,dba58a5cdbddfc8c94005bbd8f6afa3fd4c1ecbea045f4d8756b9ab14e4428df,b8dd738ce840dec7b1aad427f6960add001739e9df57279283dd13ece8ed23e9,99174af1860ac5e98d4ec71514a5d5dac66b516e20b9353bff723d0b7ee95036,4ba07d4d8f09348d9fcd105628a2a07711df7aefe259e4517966e0744d0ab572
"261","1008003","-1","1008003","1008203"
"261","1018003","-1","1018003","1018203"
"261","1018011","-1","1018011","1018211"
"261","1018012","-1","1018012","1018212"
"301","1026011","-1","1026011","1026211"
"261","1038002","-1","1038002","1038202"
"261","1038003","-1","1038003","1038203"
"261","1038012","-1","1038012","1038212"
"301","1045002","-1","1045002","1045202"
"301","1045012","-1","1045012","1045212"
"261","1046003","-1","1046003","1046203"
"301","1056002","-1","1056002","1056202"
"301","1056012","-1","1056012","1056212"
"261","1067003","-1","1067003","1067203"
"301","1071001","-1","1071001","1071201"
"301","1071011","-1","1071011","1071211"
"261","1071012","-1","1071012","1071212"
"261","1082002","-1","1082002","1082202"
"261","1082012","-1","1082012","1082212"
"261","1083012","-1","1083012","1083212"
"261","1084003","-1","1084003","1084203"
"261","1084013","-1","1084013","1084213"
"261","1085012","-1","1085012","1085212"
"301","1089002","-1","1089002","1089202"
"301","1089012","-1","1089012","1089212"
"261","1091002","-1","1091002","1091202"
"261","1091012","-1","1091012","1091212"
"261","1103002","-1","1103002","1103202"
"261","1103012","-1","1103012","1103212"
"261","1106002","-1","1106002","1106202"
"261","1106012","-1","1106012","1106212"
"261","1110002","-1","1110002","1110202"
"261","1110012","-1","1110012","1110212"
"261","1114002","-1","1114002","1114202"
"261","1114012","-1","1114012","1114212"
"301","1119002","-1","1119002","1119202"
"261","1122001","-1","1122001","1122201"
"261","1122002","-1","1122002","1122202"
"261","1122012","-1","1122012","1122212"
"261","1129002","-1","1129002","1129202"
"261","1129012","-1","1129012","1129212"
"261","1134002","-1","1134002","1134202"
"261","1134012","-1","1134012","1134212"
"261","1137012","-1","1137012","1137212"
"261","1138001","-1","1138001","1138201"
"301","1139003","-1","1139003","1139203"
"301","1139013","-1","1139013","1139213"
"261","1141012","-1","1141012","1141212"
"261","1146002","-1","1146002","1146202"
"261","1146012","-1","1146012","1146212"
"261","1150002","-1","1150002","1150202"
"261","1150012","-1","1150012","1150212"
"261","1155003","-1","1155003","1155203"
"261","1156003","-1","1156003","1156203"
"261","1158003","-1","1158003","1158203"
"261","1158101","-1","1158101","1158201"
"261","1158111","-1","1158111","1158211"
"261","1164003","-1","1164003","1164203"
"261","1166003","-1","1166003","1166203"
"261","1168003","-1","1168003","1168203"
"261","1170003","-1","1170003","1170203"
"261","1170013","-1","1170013","1170213"
"261","1172003","-1","1172003","1172203"
"261","1176003","-1","1176003","1176203"
"261","1179003","-1","1179003","1179203"
"261","1190003","-1","1190003","1190203"
"261","1209003","-1","1209003","1209203"
"261","1211001","-1","1211001","1211201"
"261","1211002","-1","1211002","1211202"
"261","1211012","-1","1211012","1211212"
"261","1213002","-1","1213002","1213202"
"261","1215003","-1","1215003","1215203"
"261","1802002","-1","1802002","1802202"
"261","1802012","-1","1802012","1802212"
"261","1807002","-1","1807002","1807202"
"261","1807012","-1","1807012","1807212"
