681e6d4f870b0ec392e4d1ce5cd03720d05585e680b8a6294432b269985f5fb7,a1187e99b56698ba864905edb29e8ea639f87db24421a03dd877cdd26b8202ca,caba4c5aa0a3d989b3647b2b85c73b802b2435e706c714be0848ffa386c6664c,47959d462d1cb4c0b26dccc5efab9002b4f8cc59601b829ee89f9853e5770554,c9698598302a5b486d41ee95a4e1386b827eeb52e3ac896dbd46298fc7f2005a,4fa1ba804bb9eab894508f0a20a1b513c1ff3ecece13cab1a98423bf38ee334f,3cb7dc769faec96bbdfa29e4315bddb8c46bf3f64ec427641a0e71a82c574a0c,63fb96da6615c11b2f3657923dcbba6736cc7e228484ce01e1fc3c15d134a046,fd9aa37a8e295465e4c6819a454157af2145986111832edc31340d176c08feca,f54027eb577895c6c3c6559ba7bed699366e0a945516105904db0a47789103ac,4f98ecc23685989064b6e38f74966cc90434195a074cea08cbbd969cc020c96e
"10","0","0","2","530100","スタートダッシュログインキャンペーン","2023/02/16 4:59:59","2016/09/01 15:00:00","0","0","20000"
"10","0","0","2","530100","スタートダッシュログインキャンペーン","2099/01/01 23:59:00","2023/02/16 5:00:00","0","0","20001"
"15","0","0","3","0","ログインボーナス","2099/01/01 23:59:00","2016/04/01 15:00:00","0","0","30000"
"1","0","0","4","0","CM放映記念ログインボーナス第1弾","2017/01/01 23:59:00","2016/09/01 15:00:00","0","0","40000"
"10","0","1","4","500160","Half Anniversary ログインキャンペーン","2018/09/01 4:59:59","2018/08/15 5:00:00","0","0","40001"
"10","0","2","4","40003","グラブルコラボログインボーナス","2018/12/22 4:59:59","2018/12/09 5:00:00","0","0","40003"
"10","0","3","4","40004","マナリアフレンズ放送応援ログインキャンペーン","2019/01/31 4:59:59","2019/01/20 5:00:00","0","0","40004"
"10","0","2","4","40005","Shadowverseコラボログインボーナス","2019/04/25 4:59:59","2019/03/28 5:00:00","0","0","40005"
"10","0","3","4","40006","アニメ放送記念 スタンプログインキャンペーン","2020/04/16 4:59:59","2020/04/06 5:00:00","0","0","40006"
"10","0","2","4","40007","復刻Re:ゼロコラボ開催記念 スタンプログインキャンペーン","2020/11/22 4:59:59","2020/11/10 5:00:00","0","0","40007"
"10","0","3","4","40008","ドラガリアロスト 応援ログインキャンペーン","2020/12/14 4:59:59","2020/12/01 5:00:00","0","0","40008"
"10","0","2","4","40009","復刻デレステコラボ開催記念 スタンプログインキャンペーン","2021/03/25 4:59:59","2021/03/08 5:00:00","0","0","40009"
"10","0","3","4","40010","アニメ放送記念 スタンプログインキャンペーン","2022/04/07 4:59:59","2022/01/11 5:00:00","0","0","40010"
"6","0","3","4","531200","メインストーリー第3部開始記念ログインキャンペーン","2023/02/19 4:59:59","2023/02/13 5:00:00","0","0","40011"
"8","0","3","4","40012","TANITAコラボログインキャンペーン","2023/10/30 4:59:59","2023/09/27 5:00:00","0","0","40012"
