43b0394b56ecd49518bebcefb5f272790e8ad1bc723bc7182a346527cc512473,a2b07fa76b0846f065e510aca1d7ca4f823f86882f0a153a73b376fe883181ea,41e469267e2fc43e775c6bb498d98dadee12deb44da71f6c2c23f998dee31b19
"180701","20114","118301"
"180701","20115","118301"
"180701","20116","118401"
"180701","20117","118401"
"180701","20118","118401"
"180801","20123","120501"
"180801","20124","120401"
"180801","20125","120601"
"180801","20126","120401"
"180801","20127","120501"
"180801","20128","120601"
"180801","30157","120601"
"180901","20129","121801"
"180901","20130","121801"
"180901","20131","121701"
"180901","20132","121801"
"180901","20133","121701"
"180901","20134","121701"
"180901","20135","121701"
"181001","20148","124301"
"181001","20149","124301"
"181001","20150","124401"
"181001","20151","124401"
"181101","20167","128101"
"181101","20168","128101"
"181101","20169","128101"
"181101","20170","128101"
"181101","20171","128201"
"181101","20172","128201"
"181101","20175","128101"
