5b5a29ddce90bd523482ccc6af09801996d83eefeb5e856921423bc5c9868a9e,d9909254f627741bf7646f84bd1bb1cb49347460b332e2a2130e47ade8ef47e0,445d15fc7d8ea359fab9a8fc480a49bd46dac146eb94e2d98b86f41c982dab29,bc0dbc83d17bc0db1a534a28d78f754a09ecd8af9cfc12682f0a2a8fd2b5f00a,681c362055bd3fe76088262e671bc31c1f28156d742c6806dd8269bc6a3d3896,f2edf88e3df6676f1dc5e6decde48594239760569b37ba650fd6957cf3a336aa,3df98c9e1cc9e82a935482b4c7ffb9a985c0a983cb375a145c30def609d1bfa8,79171a4f8d9fad335cd38c510ea31a85f6b5352e27a6b6fc05d29ecd5d16ee51,e346ff03a439a0effb1e4a701e95eb08c06a6db98d780a19c6d1512a77b6eb9f,3fd4948515370add0bd252cedc055b8a389beb8f0e6b85fe82f81bed66407c3a,0f7f8c102b063ad307de1e450e122bd2e81e3220fc1fcfd85070e4d01c39b7dc,aa703029fffdd03aed290cc9c0f167cc461ab26f04333419d28a9cae04b960c4
"1","0","4","101","11041","2","1","0","0","104","0","0"
"2","0","2","201","10141","3","2","0","0","14","0","1"
"3","0","2","301","11031","2","3","0","0","103","0","2"
"4","0","1","401","11021","1","4","0","0","102","0","3"
"5","0","4","501","11041","2","5","0","0","104","0","4"
"6","0","1","601","10011","3","6","0","0","1","0","5"
"7","0","3","701","11011","4","7","0","0","101","0","6"
"8","0","1","801","11001","3","8","0","0","100","0","7"
"9","0","4","901","11041","2","9","0","0","104","0","8"
"10","0","2","1001","10011","3","10","0","0","1","0","9"
"11","0","1","1101","10511","4","11","0","0","51","0","10"
"12","0","2","1201","10521","3","12","0","0","52","0","11"
"13","0","4","1301","11041","2","13","0","0","104","0","12"
"14","0","1","1401","11031","1","14","0","0","103","0","13"
"15","0","1","1501","11021","2","15","0","0","102","0","14"
"16","0","1","1601","10011","3","16","0","0","1","0","15"
"17","0","4","1701","11041","2","17","0","0","104","0","16"
"18","0","2","1801","10501","3","18","0","0","50","0","17"
"19","0","3","1901","11011","4","19","0","0","101","0","18"
"20","0","2","2001","11001","3","20","0","0","100","0","19"
"21","0","4","2101","11041","2","21","0","0","104","0","20"
"22","0","3","2201","10011","1","22","0","0","1","0","21"
"23","0","2","2301","11001","3","23","0","0","100","0","22"
"24","0","2","2401","11011","2","24","0","0","101","0","23"
"25","0","4","2501","11041","3","25","0","0","104","0","24"
"26","0","3","2601","10501","4","26","0","0","50","0","25"
"27","0","3","2701","10521","3","27","0","0","52","0","26"
"28","0","1","2801","10501","1","28","0","0","50","0","27"
"29","0","4","2901","11041","2","29","0","0","104","0","28"
"30","0","3","3001","10511","1","30","0","0","51","0","29"
"31","0","2","3101","11001","2","31","0","0","100","0","30"
"32","0","1","3201","11011","3","32","0","0","101","0","31"
"33","0","4","3301","11041","4","33","0","0","104","0","32"
"34","0","3","3401","11001","3","34","0","0","100","0","33"
"35","0","4","3501","11041","2","35","0","0","104","0","34"
"36","0","2","3601","11031","3","36","0","0","103","0","35"
"37","0","1","3701","11021","2","37","0","0","102","0","36"
"38","0","2","3801","10501","1","38","0","0","50","0","37"
"39","0","3","3901","11021","3","39","0","0","102","0","38"
"40","0","4","4001","11041","4","40","0","0","104","0","39"
"41","0","1","4101","11001","3","41","0","0","100","0","40"
"42","0","3","4201","10521","2","42","0","0","52","0","41"
"43","0","4","4301","11041","1","43","0","0","104","0","42"
"44","0","1","4401","11031","2","44","0","0","103","0","43"
"45","0","4","4501","11041","1","45","0","0","104","0","44"
"46","0","3","4601","11011","3","46","0","0","101","0","45"
"47","0","1","4701","11021","4","47","0","0","102","0","46"
"48","0","4","4801","11041","2","48","0","0","104","0","47"
"49","0","2","4901","11031","3","49","0","0","103","0","48"
"50","0","4","5001","11041","2","50","0","0","104","0","49"
"51","0","2","5101","11011","1","51","0","0","101","0","50"
"52","0","3","5201","11021","2","52","0","0","102","0","51"
"53","0","4","5301","11041","3","53","0","0","104","0","52"
"54","0","1","5401","10521","4","54","0","0","52","0","53"
"55","0","3","5501","11031","3","55","0","0","103","0","54"
"56","0","4","5601","11041","4","56","0","0","104","0","55"
"57","0","1","5701","11001","2","57","0","0","100","0","56"
"58","0","3","5801","11011","3","58","0","0","101","0","57"
"59","0","2","5901","11031","4","59","0","0","103","0","58"
"60","0","4","6001","11041","3","60","0","0","104","0","59"
"61","0","1","6101","11021","1","61","0","0","102","0","60"
"62","0","3","6201","10501","2","62","0","0","50","0","61"
"63","0","4","6301","11041","1","63","0","0","104","0","62"
"64","0","2","6401","11031","2","64","0","0","103","0","63"
"65","0","1","6501","11021","3","65","0","0","102","0","64"
"66","0","4","6601","11041","2","66","0","0","104","0","65"
