4a3d8f40b6f0acf3c768862570fedfc98156f7d0b113a1d2faa346d0259801df,f02fdf334a258d835cf9a00f32e01aa65fb4870f3cf1f567612da02ae8244b78,514a3277221821d41582069bf67072bda81846117343c06369a832b6415aefb1,985b325b339ea1c5e369aeb6386a0a9a9ee9de5b01985434de8362d432a4191c,aad3a8261b3f9388551bcac31dfab69f14abf9ab354c11311788a5969699c454,4601005419b3dd2fa2a698dc17e4adc8648de86264df231d075d92ec04cb316f,3560bf711b2a4d0186757216136387ef0e2f8fd2835811324f6f5091e9dfee5e,868568a523fcb007eba6d44689d7e1c76fb3357575408f28c8185a5f1c7e7fae,d3d825a4973fbc7f9eae4ee21d7c0cb7cbd64b37841eed86959529642fe0ec9a
"90001","0","10","12000","90043","30000","1","10000","1"
"90002","0","20","24000","90047","30000","2","10000","2"
"90002","0","20","24000","90047","30000","3","10000","3"
"90002","0","20","24000","90047","30000","4","10000","4"
"90002","0","20","24000","90047","30000","5","10000","5"
"90002","0","20","24000","90047","30000","6","10000","6"
"90002","0","20","24000","90047","30000","7","10000","7"
"90002","0","20","24000","90047","30000","8","10000","8"
"90002","0","20","24000","90047","30000","9","10000","9"
"90002","0","20","24000","90047","30000","10","10000","10"
"90003","90011","40","48000","90051","30000","11","10000","11"
"90003","90011","40","48000","90051","30000","12","10000","12"
"90003","90011","40","48000","90051","30000","13","10000","13"
"90003","90011","40","48000","90051","30000","14","10000","14"
"90003","90011","40","48000","90051","30000","15","10000","15"
"90003","90011","40","48000","90051","30000","16","10000","16"
"90003","90011","40","48000","90051","30000","17","10000","17"
"90003","90011","40","48000","90051","30000","18","10000","18"
"90003","90011","40","48000","90051","30000","19","10000","19"
"90003","90011","40","48000","90051","30000","20","10000","20"
"90004","90015","60","72000","90055","30000","21","10000","21"
"90004","90015","60","72000","90055","30000","22","10000","22"
"90004","90015","60","72000","90055","30000","23","10000","23"
"90004","90015","60","72000","90055","30000","24","10000","24"
"90004","90015","60","72000","90055","30000","25","10000","25"
"90004","90015","60","72000","90055","30000","26","10000","26"
"90004","90015","60","72000","90055","30000","27","10000","27"
"90004","90015","60","72000","90055","30000","28","10000","28"
"90004","90015","60","72000","90055","30000","29","10000","29"
"90004","90015","60","72000","90055","30000","30","10000","30"
"90005","90015","80","96000","90059","30000","31","10000","31"
"90005","90015","80","96000","90059","30000","32","10000","32"
"90005","90015","80","96000","90059","30000","33","10000","33"
"90005","90015","80","96000","90059","30000","34","10000","34"
"90005","90015","80","96000","90059","30000","35","10000","35"
"90005","90015","80","96000","90059","30000","36","10000","36"
"90005","90015","80","96000","90059","30000","37","10000","37"
"90005","90015","80","96000","90059","30000","38","10000","38"
"90005","90015","80","96000","90059","30000","39","10000","39"
"90005","90015","80","96000","90059","30000","40","10000","40"
"90005","90017","120","144000","90063","30000","41","10000","41"
"90005","90017","120","144000","90063","30000","42","10000","42"
"90005","90017","120","144000","90063","30000","43","10000","43"
"90005","90017","120","144000","90063","30000","44","10000","44"
"90005","90017","120","144000","90063","30000","45","10000","45"
"90005","90017","120","144000","90063","30000","46","10000","46"
"90005","90017","120","144000","90063","30000","47","10000","47"
"90005","90017","120","144000","90063","30000","48","10000","48"
"90005","90017","120","144000","90063","30000","49","10000","49"
"90005","90017","120","144000","90063","30000","50","10000","50"
"90006","90019","150","180000","90067","30000","51","10000","51"
"90006","90019","150","180000","90067","30000","52","10000","52"
"90006","90019","150","180000","90067","30000","53","10000","53"
"90006","90019","150","180000","90067","30000","54","10000","54"
"90006","90019","150","180000","90067","30000","55","10000","55"
"90006","90019","150","180000","90067","30000","56","10000","56"
"90006","90019","150","180000","90067","30000","57","10000","57"
"90006","90019","150","180000","90067","30000","58","10000","58"
"90006","90019","150","180000","90067","30000","59","10000","59"
"90006","90019","150","180000","90067","30000","60","10000","60"
"90007","90021","180","216000","90071","30000","61","10000","61"
"90007","90021","180","216000","90071","30000","62","10000","62"
"90007","90021","180","216000","90071","30000","63","10000","63"
"90007","90021","180","216000","90071","30000","64","10000","64"
"90007","90021","180","216000","90071","30000","65","10000","65"
"90007","90021","180","216000","90071","30000","66","10000","66"
"90007","90021","180","216000","90071","30000","67","10000","67"
"90007","90021","180","216000","90071","30000","68","10000","68"
"90007","90021","180","216000","90071","30000","69","10000","69"
"90007","90021","180","216000","90071","30000","70","10000","70"
