43acf65861174c47b0b7ed0e8480bfbb8c5a8d5867740c3b766eb071ba560ff7,9f85d06825b83a07e19c7553fdfba485285d3f6534adb9e4283041112b34c5a1,87205fb2b36d42335b700c05d1715843495727db366f31739e60ef33d275c56e,5888fece17776a73ddb3ec655126ca1272df20d6fb9e68f03790d76484b74a0f,e1d9be8fe2b33fdd8f71c48155ee575331040e572c659b960966446049f7edbc,65e6b6d84c029fb5e9de1e777d189f023db34e5615c66ee9d0c17784cf83ba00
"1","0","10","1","150","150"
"2","0","10","1","250","400"
"3","0","10","1","400","800"
"1","0","20","2","150","150"
"2","0","20","2","250","400"
"3","0","20","2","400","800"
"4","1","20","2","500","1300"
"1","0","30","3","800","800"
"2","0","30","3","1000","1800"
"3","0","30","3","1200","3000"
"4","1","30","3","1400","4400"
"5","2","30","3","1600","6000"
"1","0","40","4","800","800"
"2","0","40","4","1000","1800"
"3","0","40","4","1200","3000"
"4","1","40","4","1400","4400"
"5","2","40","4","1600","6000"
"0","0","0","5","0","0"
