56d272d10d46c516738fa63921a10d6c8d76bf8360b55f404d1a7e2c610d6082,acd2294691ed4ac1698b613caa1b33c2b875167a353bbd5155fa31ce0918a6e2,83413ac27a76f9a15d51e779e5fed20a614ed69da0a8b0082213069e96b21b66,e1eede69921b3db6334aee9af2bb27ead4bfa47fb2a18140d999d52c01c1ec62,6d7f04f126ed81b55c8febad763b048e83e111e090513ad2e3cf8717c6f828c3,eba9af63a1b0b2054749a59e629c7b8954e35b5b8d6645642ebdec953445bfc3,e1e79092717e301fe66503cef270e9fc82fe0632cf3425aba04f2b4f77beca9f
"1","2500","累計スコアを2500pt 獲得しよう","5126700","12","94002","50000"
"1","5000","累計スコアを5000pt 獲得しよう","0","12","94002","50000"
"1","7500","累計スコアを7500pt 獲得しよう","0","12","94002","50000"
"1","10000","累計スコアを10000pt 獲得しよう","5126701","7","2839","1"
"1","12500","累計スコアを12500pt 獲得しよう","0","12","94002","80000"
"1","15000","累計スコアを15000pt 獲得しよう","0","12","94002","80000"
"1","17500","累計スコアを17500pt 獲得しよう","0","12","94002","80000"
"1","20000","累計スコアを20000pt 獲得しよう","5126702","8","91002","25"
"1","22500","累計スコアを22500pt 獲得しよう","0","12","94002","100000"
"1","25000","累計スコアを25000pt 獲得しよう","0","12","94002","100000"
"1","27500","累計スコアを27500pt 獲得しよう","0","8","91002","100"
"1","30000","累計スコアを30000pt 獲得しよう","5126703","15","11001262","1"
"2","2500","累計スコアを2500pt 獲得しよう","5126710","12","94002","50000"
"2","5000","累計スコアを5000pt 獲得しよう","0","12","94002","50000"
"2","7500","累計スコアを7500pt 獲得しよう","0","12","94002","50000"
"2","10000","累計スコアを10000pt 獲得しよう","5126711","7","2840","1"
"2","12500","累計スコアを12500pt 獲得しよう","0","12","94002","80000"
"2","15000","累計スコアを15000pt 獲得しよう","0","12","94002","80000"
"2","17500","累計スコアを17500pt 獲得しよう","0","12","94002","80000"
"2","20000","累計スコアを20000pt 獲得しよう","5126712","8","91002","25"
"2","22500","累計スコアを22500pt 獲得しよう","0","12","94002","100000"
"2","25000","累計スコアを25000pt 獲得しよう","0","12","94002","100000"
"2","27500","累計スコアを27500pt 獲得しよう","0","8","91002","100"
"2","30000","累計スコアを30000pt 獲得しよう","5126713","15","11001263","1"
