a1d2eb90251e00676a5ea5efcee6caf8c6e4754117e9921276de9e830bcf116a,cba744319eb73610c257c161f1df806ea0b75904b7568a27863047b8def04b0a,75d246b3c7e149a62ab5eb22daf2515943a93d68a5c241219e3c48db3d41e8af,79c90248218c56d6ffd9dd09ebfbca83863bd9d1c9bf9969ea49cd0f0bf47cf1,9fd11e473818e2d5525a8b5700b34dbe9ec19fcfb465c8e71abce8bfc57652fb,c22a46940a31b4319549562a074fff487bdf2d042bc4ab361d19e5dbd4dc7093,91ac49f064d5811c054e316238b094f88426f6c7ad0fb995e7fa26245f1d40dc,9c69aebf400bbf639aef6da25075dc3305535b345afe66650c10192dee5384a0,cc230eaae2279b123bf06530f626ccfa8dfffffd13132ae2ba9f4960cc513d1f,d73da042859f630119632a35bd9fcbe31460ed32bbd19ffb0db832db3af8526c,869bc282ad79d5265fd3a3c856d0d3b5e5b01a9403b1cd58af061af3814b9c6e,a3044efe13cd6f1aa466f08779c3d1ff3784f4075fa9087db7d53edd2e976ce5,bf69aaa103cc467deb719b2aee24c4350d88369b583813ef481c59e2a73d1d8f,abec765a68c66db243c8e823aca851662d234ce7c4caa0d99938b462cbe84e15,e98f65d004bf82bc951cf09db0666a89538ff0a6e30ea6e5162306d15b916d81,6de1ece84ef8ef6ba025ca9beb83a421737f83f9e895569e473800610a32166c,0c704de479185604f260c1f7be2581ef7047f99b5366de1154a457fd388d5930,25025d6207ea5c3d15973f5fbca9a5d3b387ce1621610490e32bc15aec7ece12
"1","50","0","0","8","0","10","0","0","0","91002","0","0","0","0","0","0","1"
"2","10","0","0","8","0","100","0","0","0","91002","0","0","0","0","0","0","11"
"3","5","0","0","8","0","200","0","0","0","91002","0","0","0","0","0","0","101"
"4","3","0","0","8","0","500","0","0","0","91002","0","0","0","0","0","0","201"
"5","2","0","0","8","0","1000","0","0","0","91002","0","0","0","0","0","0","501"
"6","2","0","0","8","0","2000","0","0","0","91002","0","0","0","0","0","0","1001"
"7","1","0","0","8","0","3999","0","0","0","91002","0","0","0","0","0","0","2001"
"8","50","0","0","8","0","4000","0","0","0","91002","0","0","0","0","0","0","4000"
"9","50","0","0","8","0","4100","0","0","0","91002","0","0","0","0","0","0","4100"
"10","50","0","0","8","0","4200","0","0","0","91002","0","0","0","0","0","0","4200"
"11","50","0","0","8","0","4300","0","0","0","91002","0","0","0","0","0","0","4300"
"12","50","0","0","8","0","4400","0","0","0","91002","0","0","0","0","0","0","4400"
"13","50","0","0","8","0","4500","0","0","0","91002","0","0","0","0","0","0","4500"
"14","50","0","0","8","0","4600","0","0","0","91002","0","0","0","0","0","0","4600"
"15","50","0","0","8","0","4700","0","0","0","91002","0","0","0","0","0","0","4700"
"16","50","0","0","8","0","4800","0","0","0","91002","0","0","0","0","0","0","4800"
"17","50","0","0","8","0","4900","0","0","0","91002","0","0","0","0","0","0","4900"
"18","50","0","0","8","0","5000","0","0","0","91002","0","0","0","0","0","0","5000"
