455dae33b517788bcf09b51f11990c3e987883885e20d941ee3d1409982c8bb2,89b8ffcfc1391f6b790b543e25a8d5ab51863058afe21c76a93057256a189e4b,b17f6c227007d0d2ecb4f840b458437b7e9639f2788dbdc193039d92f34c3833,e53c308610a715ddbb12d57144215295b2974b135f2e81eb88c6c913c07d6237,39bcd9286e0188f8b9af5285188668f3e383f795bf90bd65015a5f3468545f17
"28","27001","2020/03/02 4:59:59","27001","2020/02/15 15:00:00"
"33","27002","2021/03/05 11:59:59","27001","2021/02/15 23:00:00"
"42","27003","2021/09/05 11:59:59","27001","2021/08/15 15:00:00"
"43","27004","2022/01/21 11:59:59","27001","2021/12/31 12:00:00"
"44","27005","2022/03/05 14:59:59","27005","2022/02/15 15:00:00"
"55","27006","2022/09/05 11:59:59","27001","2022/08/15 15:00:00"
"81","27007","2023/01/21 11:59:59","27001","2022/12/31 12:00:00"
"82","27008","2023/03/05 14:59:59","27005","2023/02/15 15:00:00"
"85","27009","2023/05/25 14:59:59","27009","2023/04/30 12:00:00"
"113","27010","2023/09/04 14:59:59","27001","2023/08/15 15:00:00"
"115","27012","2024/01/21 11:59:59","27012","2023/12/31 12:00:00"
"118","27013","2024/03/05 14:59:59","27005","2024/02/15 00:00:00"
"119","27014","2024/05/30 23:59:59","27012","2024/04/30 12:00:00"
"127","27015","2024/09/10 23:59:59","27012","2024/08/15 15:00:00"
"138","27016","2024/12/31 11:59:59","27012","2024/12/20 5:30:00"
"140","27017","2025/01/24 23:59:59","27012","2024/12/31 12:00:00"
"153","27018","2025/03/05 23:59:59","27018","2025/02/15 15:00:00"
"154","27019","2025/03/05 23:59:59","27012","2025/02/15 15:00:00"
"169","27020","2025/05/30 23:59:59","27012","2025/04/30 12:00:00"
"191","27023","2025/09/10 23:59:59","27012","2025/08/15 15:00:00"
"223","27024","2025/12/31 11:59:59","27012","2025/12/20 12:00:00"
"226","27025","2026/01/24 23:59:59","27012","2025/12/31 12:00:00"
