445188301cbd9ff93d2a36f926be8459d533af4aa9f258e28318ca4c50f280e1,7cc9334043e61446582fb7602766e77b3bffc791d47f6026f29c259bd829d1ec,e7a0fd34158844a175a6d3b9e595ed0dc76da8bbfbfe12e6ab46f342e3e18ee6,32317e474c6e5c0b99fe12ce2520e93fda18cff1f91e3f3edead76f25f88a331,b6c5bdb8fc2e5437409e9337f2d6c1de1b4a42ca198b4cd160689a7ce3b94697,930d6e763fd00b01e22ac54379ebb8df77b29dbece5ab07b9f3bd11e85f89184,e6c5bceae322a80f3128ad72e530af68c41dedfb7e090cddfb083915cf52122c,4c9ea53884f79de53f6f8aea9487e70e23b8e4fb4860110b4e8f6f1d9fd6e0e4,380cfe1db22563b57f006bd72e47670e9dd22052f44cfc3f65574c17f3a00c46,22a12d0a151dafdc9bd69b8d3b69a52b4be874538a07b569129a43ebfdfc5c94,f0efb0d1bce60829f4906e3576a6d82b53ddf367874fb5f8b0a16d3939687b67
"1","taq_karin_idle","-194","1001","72","1","1","1.65","100","118511","1"
"21","","","1002","0","vo_minigame_1009","1","","0","vo_minigame_1009_top_001",""
"11","0","0","1003","0","118511","1","0","8","賞品も用意して\nいますので頑張って\nくださいね♪","0"
"3","","","1004","","118511","1","0.2","1","taq_karin_talk_normal",""
"91","","","1005","","1003","1","","","",""
"3","","","1006","","118511","1","0.2","1","taq_karin_idle",""
"1","taq_karin_idle","-194","2001","72","1","2","1.65","100","118511","1"
"21","","","2002","0","vo_minigame_1009","2","","0","vo_minigame_1009_top_002",""
"11","0","0","2003","0","118511","2","0","8","みなさんの知識が\n試されますよ","0"
"3","","","2004","","118511","2","0.2","1","taq_karin_talk_thinking",""
"91","","","2005","","2003","2","","","",""
"3","","","2006","","118511","2","0.2","1","taq_karin_idle",""
"1","taq_karin_idle","-194","3001","72","1","3","1.65","100","118511","1"
"21","","","3002","0","vo_minigame_1009","3","","0","vo_minigame_1009_top_003",""
"11","0","0","3003","0","118511","3","0","8","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","0"
"3","","","3004","","118511","3","0.2","1","taq_karin_talk_surprise",""
"91","","","3005","","3003","3","","","",""
"3","","","3006","","118511","3","0.2","1","taq_karin_idle",""
"1","taq_karin_idle","-194","4001","72","1","4","1.65","100","118511","1"
"21","","","4002","0","vo_minigame_1009","4","","0","vo_minigame_1009_top_004",""
"11","0","0","4003","0","118511","4","0","8","わからないときは\n勘に頼ってみても\nいいと思います","0"
"3","","","4004","","118511","4","0.2","1","taq_karin_talk_normal2",""
"91","","","4005","","4003","4","","","",""
"3","","","4006","","118511","4","0.2","1","taq_karin_idle",""
"1","taq_karin_idle","-194","5001","72","1","5","1.65","100","118511","1"
"21","","","5002","0","vo_minigame_1009","5","","0","vo_minigame_1009_top_005",""
"11","0","0","5003","0","118511","5","0","7","仲よく協力して\n全問正解を\n目指してくださいね♪","0"
"3","","","5004","","118511","5","0.2","1","taq_karin_talk_joy3",""
"91","","","5005","","5003","5","","","",""
"3","","","5006","","118511","5","0.2","1","taq_karin_idle",""
