f079a41ccff98272be078825595b4d165935670fd6a546de6680cbe080f7153f,b68a77ac7b307a4afc873a6b2a297db6dcba22888eafb4fdb1899991d84eb4a0,90e98bb5c4369b8892e4db6b11c1bf3d0e446c5eabe0a20e1f1f06463654732d,eeece3550a1cc10708f7f35c2c5a6632cd765cb5898d031f50d0a28d9bf78fd4,b8c736d727b496996a568698498afaa79944fef8d47003ebeb1e90f124740e1e,2fbe26933333547debdf4dda086fa8ccb3b5aa9ac727bf768f857f729981ab80,195923efa7dd673b8ffa84360c2490ee5e3f82830d7c797d2501fcd1d24f4867
"ツムギのフィギュア","1","3","0.478515625","10101","0.3046875","細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。"
"ノゾミのフィギュア","1","3","0.490234375","10102","0.365234375","細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。"
"チカのフィギュア","1","3","0.478515625","10103","0.291015625","細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。"
"ツムギ直筆サイン色紙","2","3","0.440625","10201","0.440625","ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。"
"ノゾミ直筆サイン色紙","2","3","0.440625","10202","0.440625","ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。"
"チカ直筆サイン色紙","2","3","0.440625","10203","0.440625","チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。"
"ツムギのメモリアルピンバッジ","3","3","1.40625","10301","1.40625","ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！"
"ノゾミのメモリアルピンバッジ","3","3","1.40625","10302","1.40625","ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！"
"チカのメモリアルピンバッジ","3","3","1.40625","10303","1.40625","チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！"
"カルミナメモリアルピンバッジ","3","3","1.40625","10304","1.40625","サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！"
"ツムギのブロマイド","7","2","0.675","10401","1.0875","ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。"
"ツムギのサマーブロマイド","7","2","0.675","10402","1.0875","ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。"
"ツムギのハロウィンブロマイド","7","2","0.675","10403","1.0875","ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！"
"ノゾミのブロマイド","7","2","0.675","10404","1.0875","ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。"
"ノゾミのサマーブロマイド","7","2","0.675","10405","1.0875","ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。"
"ノゾミのクリスマスブロマイド","7","2","0.675","10406","1.0875","ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。"
"チカのブロマイド","7","2","0.675","10407","1.0875","チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。"
"チカのサマーブロマイド","7","2","0.675","10408","1.0875","チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。"
"チカのクリスマスブロマイド","7","2","0.675","10409","1.0875","チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。"
"ツムギのリストバンド","8","3","1.0125","10501","0.665625","ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！"
"ノゾミのリストバンド","8","3","1.0125","10502","0.665625","ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！"
"チカのリストバンド","8","3","1.0125","10503","0.665625","チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！"
"ツムギのポスター","10","3","0.470703125","10601","0.365234375","ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！"
"ノゾミのポスター","10","3","0.470703125","10602","0.365234375","ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！"
"チカのポスター","11","3","0.470703125","10603","0.365234375","チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！"
"カルミナのポスター","11","3","0.470703125","10604","0.365234375","メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！"
"会場限定会員カード","8","3","0.53125","10701","0.953125","イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。"
"ツムギのマフラータオル","12","2","0.4609375","10801","0.443359375","ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。"
"ノゾミのマフラータオル","12","2","0.4609375","10802","0.443359375","ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。"
"チカのマフラータオル","13","2","0.4609375","10803","0.443359375","チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。"
"カルミナのマフラータオル","13","2","0.4609375","10804","0.443359375","カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。"
"ツムギの応援うちわ","9","1","0.459375","10901","0.33046875","ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！"
"ノゾミの応援うちわ","9","1","0.459375","10902","0.33046875","ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！"
"チカの応援うちわ","9","1","0.459375","10903","0.33046875","チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！"
"カルミナの応援うちわ","9","1","0.459375","10904","0.33046875","カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。"
"ツムギのステッカー","5","1","0.8671875","11001","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！"
"ノゾミのステッカー","5","1","0.8671875","11002","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！"
"チカのステッカー","5","1","0.8671875","11003","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！"
"ツムギの缶バッジ","5","1","0.975","11101","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。"
"ノゾミの缶バッジ","5","1","0.975","11102","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。"
"チカの缶バッジ","5","1","0.975","11103","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。"
"カルミナライブのペンライト","9","2","0.49609375","11201","0.39453125","ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。"
"ツムギのマグカップ","8","2","0.671875","11301","0.65625","ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。"
"ノゾミのマグカップ","8","2","0.671875","11302","0.65625","ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。"
"チカのマグカップ","8","2","0.671875","11303","0.65625","チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。"
"ツムギのペナント","4","1","0.6328125","11401","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。"
"ノゾミのペナント","4","1","0.640625","11402","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。"
"チカのペナント","4","1","0.6328125","11403","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。"
"ツムギのピンバッジ","3","1","1.21875","11501","1.21875","ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。"
"ツムギのサマーピンバッジ","3","1","1.21875","11502","1.21875","サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。"
"ノゾミのピンバッジ","3","1","1.21875","11503","1.21875","ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。"
"ノゾミのサマーピンバッジ","3","1","1.21875","11504","1.21875","サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。"
"チカのピンバッジ","3","1","1.21875","11505","1.21875","ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。"
"チカのサマーピンバッジ","3","1","1.21875","11506","1.21875","サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。"
"ツムギのボトルキャップ","6","1","0.75","11601","0.625","ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。"
"ツムギのサマーボトルキャップ","6","1","0.75","11602","0.625","サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。"
"ノゾミのボトルキャップ","6","1","0.75","11603","0.625","ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。"
"ノゾミのサマーボトルキャップ","6","1","0.75","11604","0.625","サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。"
"チカのボトルキャップ","6","1","0.75","11605","0.625","チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。"
"チカのサマーボトルキャップ","6","1","0.75","11606","0.625","サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。"
"ツムギのミニタペストリー","4","1","0.8828125","11701","0.890625","ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。"
"ノゾミのミニタペストリー","4","1","0.8828125","11702","0.890625","ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。"
"チカのミニタペストリー","4","1","0.8828125","11703","0.890625","チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。"
