fffa98ed902b932509d2a637a890de06c31bd55a6a3edfed97a1a71ce17cfe9c,1e1af670d9f875fc9a7c9132a11081d3bdfec41d30284a6101e92b665c39e303,5b393a478cc75451b0afbe8e157c387d8a754c174be8d381478353820af8ec81,fda32ed5b63c4c3c541898f3c62b45c8aab8ccd35914a60b03a93b77fcea548b,073f45e9e75aaf0e9f503406a035184b3663283216e06c1fb3e965c007beafa5,b41c776f894aa43498049507108593053c69b736af1a8769a3d40e7fdce24cdf,09d0920e43c1d1c847d776d06a1fdbb4b53c750f1bdf7697fbcdccaf7b5cc985,4558375e905d32cfaefc24bb6d0bf3d896b98e7604197a355f9f6725c98e4b6d,d14819d3fb0599393b54dc3581437e7e68947e62b9ab91e9ebc6e100fc5bec75,d3b97fe91cd52e799aa451c17a7169f022cd4a946d99ddd4b418ea6e11f3888b,aaecacc6cfce421df26608d6afd6cba0ebe83a9d8057f914f20d57080e389ff0,12981033936516649f6efd72ed4d2d2733f153226b3ede45774a0d0e11f3c584,b8b6601280a01f0c4c7b0f5900da27af04614dcc9eb872806a3598e6d1d61d67,c6cc44df418638a7318aad979ae4b9d6b70476e82dbdfe067a811855a679f3fa,05ce32e00ab5a3a246e66b94e4895ccffa0706ac9d06dcf733daa8e721fafad2
"フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。","フリーマーケット会場","青空の下で謁見","5118061","10118","2834","8","7","20063115","40","2","ペコリーヌとの出会い","1","0","91002"
"ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。","フリーマーケット会場","未来の騎空団\nマスコット？","5118062","10118","2835","8","7","20063115","40","2","マホとの出会い","1","0","91002"
"ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。","ランドソル市街地","お嬢さまからの\n緊急依頼","5118063","10118","2837","8","7","20063115","40","2","アキノとの出会い","1","0","91002"
"ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。","フリーマーケット会場","黄金色の悩みごと","5118064","10118","4108402","8","18","20063115","40","2","ジュンとの出会い","1","0","91002"
"フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？","フリーマーケット会場","白熱！　格闘大会！","5118065","10118","4107402","8","18","20063115","40","2","カオリとの出会い","1","0","91002"
"太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。","オーエド町","祭り太鼓はオーエドの華","5118066","10118","9000227","8","16","20063115","40","2","ニノンとの出会い","1","1","91002"
"ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？","フリーマーケット会場","人気者は遅れて\nやってくる","5118067","10118","2101181","8","19","20063115","40","3","スズナとの出会い","1","0","91002"
"ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？","ランドソル市街地","巫女・ミーツ・魔法少女","5118068","10118","4109402","8","18","20063115","40","3","ナナカとの出会い","1","0","91002"
"ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……","フリーマーケット会場","ネズ耳は二度なくなる","5118069","10118","4305402","8","18","20063115","40","3","キャル＆コッコロとの出会い","1","0","91002"
"街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。","ランドソル市街地","この出会いにカンパイ！","5118070","10118","4101402","8","18","20063115","40","3","ユカリとの出会い","1","0","91002"
"ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……","ランドソル市街地","陰陽アンサンブル","5118071","10118","4106402","8","18","20063115","40","3","アオイとの出会い","1","0","91002"
"ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。","フリーマーケット会場","運試し十番勝負！","5118072","10118","2836","8","7","20063115","40","3","シノブとの出会い","1","1","91002"
"0","0","彼女たちの新たな日常","5118600","10118","0","0","0","20063115","0","1","オープニング","0","0","0"
