9b2b80b21312f3d6bedb7504ca60bd004180d3bdd44bb18623227d8d36cb60b3,86902ee79599724b6c1eb0cbe1fb82edee921365739b72d727f79c35958a9766,606daa0657ddfc05d8979886b58d656a089515a84f82d6f3340d3dc5cf777690,a3a4390089e78162d9301b9177e205a776c822c8bddd2f15192c5421e4629c51,94b08f2cffad04bfa73b2e36ec6c5cf6d8417313331ab2fd875684f59c331b8c,a611689e1870b819f5699a68e252f5692b0311583c98d853adcf30d2aa850419,27c76b075937515f87199457e2c6bf3afdb380953e04e75fc93b2ba2d35d710f,a4f7aa85f938bc4c929c94ba4c2cda1b373127a53c2f8cc21ccfea08067bb749,8503aa54ff895d2bb80c9b51c77576274fe7277c3a35cb1ad7ace47efc65a84e
"0","21","0","0","1101001","600","0","1101002","0"
"0","22","0","0","1101002","2400","600","1101003","0"
"0","20","0","0","1101003","1","-1500","1","50"
"0","21","0","0","1101011","900","0","1101012","0"
"0","22","0","0","1101012","2100","700","1101013","0"
"0","20","0","0","1101013","1","-1500","1","200"
"0","21","0","0","1101021","400","0","1101022","0"
"0","22","0","0","1101022","2000","500","1101023","0"
"0","20","0","0","1101023","1","-1500","1","350"
"0","21","0","0","1101031","1000","0","1101032","0"
"0","22","0","0","1101032","1800","900","1101033","0"
"0","20","0","0","1101033","1","-1500","1","500"
"0","21","0","0","1101041","500","0","1101042","0"
"0","22","0","0","1101042","1600","800","1101043","0"
"0","20","0","0","1101043","1","-1500","1","750"
"0","1","0","2","1101101","1","2","25","2"
"0","20","0","0","1102001","1","-2000","1","-100"
"0","1","0","2","1102101","1","2","20","10"
"0","10","0","2","1102102","2","0","200000","0"
"0","21","0","0","1103001","500","0","1103002","0"
"0","3","0","2","1103002","0","0","1000","0"
"0","2","0","2","1202001","3","3000","-15","0"
"0","2","0","1","1204001","3","30000","15","0"
"0","2","0","1","1205001","3","30000","10","0"
"0","2","0","1","1206001","3","30000","10","0"
"0","2","0","1","1207001","3","30000","10","0"
"0","2","0","1","1208001","2","3000","15","0"
"0","2","0","1","1209001","1","3000","25","0"
"0","2","0","1","1210001","2","3000","10","0"
"0","21","0","0","1210002","3000","0","1210003","0"
"0","2","0","1","1210003","1","30000","15","0"
"0","2","0","1","1211001","2","3000","-10","0"
"0","21","0","0","1211002","3000","0","1211003","0"
"0","2","0","2","1211003","1","30000","-15","0"
"0","2","0","2","1213001","1","30000","-10","0"
"0","2","0","2","1213002","2","30000","-10","0"
"0","2","0","2","1214001","3","1500","-25","0"
"0","2","0","2","1216001","3","3000","-20","0"
"0","2","0","1","1218001","3","30000","20","0"
"0","2","0","1","1219001","3","30000","15","0"
"0","2","0","1","1220001","3","30000","15","0"
"0","2","0","1","1221001","3","30000","15","0"
"0","2","0","1","1222001","2","3000","20","0"
"0","2","0","1","1223001","1","3000","30","0"
"0","2","0","1","1224001","2","3000","15","0"
"0","21","0","0","1224002","3000","0","1224003","0"
"0","2","0","1","1224003","1","30000","20","0"
"0","2","0","1","1225001","2","3000","-10","0"
"0","21","0","0","1225002","3000","0","1225003","0"
"0","2","0","2","1225003","1","30000","-20","0"
"0","2","0","2","1227001","1","30000","-15","0"
"0","2","0","2","1227002","2","30000","-15","0"
"0","2","0","2","1228001","3","1500","-35","0"
"0","2","0","1","1229001","3","30000","20","0"
"0","2","0","1","1230001","2","3000","20","0"
"0","21","0","0","1230002","3000","0","1230003","0"
"0","2","0","1","1230003","1","30000","50","0"
"0","2","0","2","1232001","3","3000","-25","0"
"0","2","0","1","1234001","3","30000","25","0"
"0","2","0","1","1235001","3","30000","20","0"
"0","2","0","1","1236001","3","30000","20","0"
