d848dce8e4116b0f229afaf5bb6c46c19f4c800ff0b744b42395e66392ec69f9,111a10a6bb44049f7d82533abd9f4e6927f90ddb7572045c6ca0f6b408ebf1cf,349bb65f5df908953e84ccd3923486939882b96f2ef9a697c357e25f10f09a56,ba319b7ed27e44359b8b3b2bc07312d5f2bde4b6f0612fba5c50e313ff13cd16
"91002","100","8","1000"
"23003","500","2","2000"
"25011","5000","2","3000"
"25012","5000","2","4000"
"25013","5000","2","5000"
"25014","5000","2","6000"
"25015","5000","2","7000"
"25021","2500","2","8000"
"91002","100","8","9000"
"21953","1","2","10000"
"90005","50","2","12000"
"23003","500","2","14000"
"25011","5000","2","16000"
"25012","5000","2","18000"
"25013","5000","2","20000"
"25014","5000","2","23000"
"25015","5000","2","26000"
"25021","2500","2","29000"
"91002","100","8","32000"
"41000","1","2","35000"
"90005","50","2","39000"
"23003","500","2","43000"
"25011","5000","2","47000"
"25012","5000","2","51000"
"25013","5000","2","55000"
"25014","5000","2","60000"
"25015","5000","2","65000"
"25021","2500","2","70000"
"91002","100","8","75000"
"26203","1","2","80000"
"90005","50","2","90000"
"23003","500","2","100000"
"25011","5000","2","150000"
"25012","5000","2","200000"
"25013","5000","2","250000"
"25014","5000","2","300000"
"25015","5000","2","350000"
"25021","2500","2","400000"
"91002","100","8","450000"
"21953","1","2","500000"
"90005","50","2","550000"
"23003","500","2","600000"
"25011","5000","2","650000"
"25012","5000","2","700000"
"25013","5000","2","750000"
"25014","5000","2","800000"
"25015","5000","2","850000"
"25021","2500","2","900000"
"91002","100","8","950000"
"25101","1","2","1000000"
"90005","50","2","1050000"
"23003","500","2","1100000"
"25011","5000","2","1150000"
"25012","5000","2","1200000"
"25013","5000","2","1250000"
"25014","5000","2","1300000"
"25015","5000","2","1350000"
"25021","2500","2","1400000"
"91002","100","8","1450000"
"26203","1","2","1500000"
"90005","50","2","1550000"
"23003","500","2","1600000"
"25011","5000","2","1650000"
"25012","5000","2","1700000"
"25013","5000","2","1750000"
"25014","5000","2","1800000"
"25015","5000","2","1850000"
"25021","2500","2","1900000"
"91002","100","8","1950000"
"41000","1","2","2000000"
"90005","50","2","2050000"
"23003","500","2","2100000"
"25011","5000","2","2150000"
"25012","5000","2","2200000"
"25013","5000","2","2250000"
"25014","5000","2","2300000"
"25015","5000","2","2350000"
"25021","2500","2","2400000"
"91002","100","8","2450000"
"26203","1","2","2500000"
"90005","50","2","2550000"
"23003","500","2","2600000"
"25011","10000","2","2650000"
"25012","10000","2","2700000"
"25013","10000","2","2750000"
"25014","10000","2","2800000"
"25015","10000","2","2850000"
"25021","5000","2","2900000"
"91002","100","8","2950000"
"21953","1","2","3000000"
"90005","50","2","3050000"
"23003","500","2","3100000"
"25011","10000","2","3150000"
"25012","10000","2","3200000"
"25013","10000","2","3250000"
"25014","10000","2","3300000"
"25015","10000","2","3350000"
"25021","5000","2","3400000"
"91002","100","8","3450000"
"26203","1","2","3500000"
"90005","50","2","3550000"
"23003","500","2","3600000"
"25011","10000","2","3650000"
"25012","10000","2","3700000"
"25013","10000","2","3750000"
"25014","10000","2","3800000"
"25015","10000","2","3850000"
"25021","5000","2","3900000"
"91002","100","8","3950000"
"41000","1","2","4000000"
"90005","50","2","4050000"
"23003","500","2","4100000"
"25011","10000","2","4150000"
"25012","10000","2","4200000"
"25013","10000","2","4250000"
"25014","10000","2","4300000"
"25015","10000","2","4350000"
"25021","5000","2","4400000"
"91002","100","8","4450000"
"26203","1","2","4500000"
"90005","50","2","4550000"
"23003","500","2","4600000"
"25011","10000","2","4650000"
"25012","10000","2","4700000"
"25013","10000","2","4750000"
"25014","10000","2","4800000"
"25015","10000","2","4850000"
"25021","5000","2","4900000"
"91002","100","8","4950000"
"25101","1","2","5000000"
"90005","50","2","5100000"
"23003","500","2","5200000"
"25011","10000","2","5300000"
"25012","10000","2","5400000"
"25013","10000","2","5500000"
"25014","10000","2","5600000"
"25015","10000","2","5700000"
"25021","5000","2","5800000"
"26202","100000","2","5900000"
"41000","1","2","6000000"
"90005","50","2","6100000"
"23003","500","2","6200000"
"25011","10000","2","6300000"
"25012","10000","2","6400000"
"25013","10000","2","6500000"
"25014","10000","2","6600000"
"25015","10000","2","6700000"
"25021","5000","2","6800000"
"140001","20","11","6900000"
"26203","1","2","7000000"
"90005","50","2","7100000"
"23003","500","2","7200000"
"25011","10000","2","7300000"
"25012","10000","2","7400000"
"25013","10000","2","7500000"
"25014","10000","2","7600000"
"25015","10000","2","7700000"
"25021","5000","2","7800000"
"26202","100000","2","7900000"
"21953","1","2","8000000"
"90005","50","2","8100000"
"23003","500","2","8200000"
"25011","10000","2","8300000"
"25012","10000","2","8400000"
"25013","10000","2","8500000"
