ce3f9bd362184ff1c59e7507ab6760413ebacad18c92169ce068d2471b2cc7ff,4fb79fad765aef97cbffabdf14a7d88fde0747bbc8539d8df39aeff625bf65a0,d7599c3db71a98843c05f7860f1979a3013f78c98b77ee39ab33d74fc5c9dbb9,d03dacda7cdf9c5e0d1018ef27db26eefaa0c9a41c5019c4cbef854eb13ace14,069d441ae6ca4852a1e247f3b3e324def6f631eecd05df86a1e8d29f115138ee,703eb065c32f75e84da31d5d0cc6a59a24548e301cc892a2816e8b11ba706bed,33b9ec848e0d2c3e3ac0967a0bdb3e0324ab6fa947af09d6e9727afdbe1b2c32,8b21710895aeb42da96bf9f5f75449d58f5208916cc7893b3edde86c8b94e645,314c63c9c0d813abadccae986427680143fc1497abe10010c0d182f9560f51d3,7987adbada9da76d51487f6a689a5e02ec9459c72aa48e3fa0d9a44aa666b863,1394159d2cd5d74b314a7b64a367f8e22a66e9221b86e99a56cb36c121d5c3cd
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","1","10","10000101","1回バトルしよう","0","10000101"
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","5","10","10000102","5回バトルしよう","0","10000102"
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","10","10","10000103","10回バトルしよう","0","10000103"
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","15","10","10000104","15回バトルしよう","0","10000104"
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","20","10","10000105","20回バトルしよう","0","10000105"
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","25","10","10000106","25回バトルしよう","0","10000106"
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","30","10","10000107","30回バトルしよう","0","10000107"
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","35","10","10000108","35回バトルしよう","0","10000108"
"1000","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7000","40","10","10000109","40回バトルしよう","0","10000109"
"1005","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","3000000","50","10050501","ミソラに累積300万ダメージ与えよう","1005","10050501"
"1005","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","9000000","50","10050502","ミソラに累積900万ダメージ与えよう","1005","10050502"
"1005","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","15000000","50","10050503","ミソラに累積1500万ダメージ与えよう","1005","10050503"
"1005","1000000","2021/08/24 11:59:59","2021/08/17 12:00:00","7002","1","51","10050511","ミソラに1度のバトルで100万ダメージ与えよう","1005","10050511"
"1005","3000000","2021/08/24 11:59:59","2021/08/17 12:00:00","7002","1","51","10050512","ミソラに1度のバトルで300万ダメージ与えよう","1005","10050512"
"1006","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","5000000","60","10060601","ランファに累積500万ダメージ与えよう","1006","10060601"
"1006","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","15000000","60","10060602","ランファに累積1500万ダメージ与えよう","1006","10060602"
"1006","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","24000000","60","10060603","ランファに累積2400万ダメージ与えよう","1006","10060603"
"1006","2000000","2021/08/24 11:59:59","2021/08/17 12:00:00","7002","1","61","10060611","ランファに1度のバトルで200万ダメージ与えよう","1006","10060611"
"1006","5000000","2021/08/24 11:59:59","2021/08/17 12:00:00","7002","1","61","10060612","ランファに1度のバトルで500万ダメージ与えよう","1006","10060612"
"1007","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","3000000","70","10070701","アゾールドに累積300万ダメージ与えよう","1007","10070701"
"1007","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","9000000","70","10070702","アゾールドに累積900万ダメージ与えよう","1007","10070702"
"1007","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","15000000","70","10070703","アゾールドに累積1500万ダメージ与えよう","1007","10070703"
"1007","1000000","2021/08/24 11:59:59","2021/08/17 12:00:00","7002","1","71","10070711","アゾールドに1度のバトルで100万ダメージ与えよう","1007","10070711"
"1007","3000000","2021/08/24 11:59:59","2021/08/17 12:00:00","7002","1","71","10070712","アゾールドに1度のバトルで300万ダメージ与えよう","1007","10070712"
"1008","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","5000000","80","10080801","カリザに累積500万ダメージ与えよう","1008","10080801"
"1008","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","15000000","80","10080802","カリザに累積1500万ダメージ与えよう","1008","10080802"
"1008","0","2021/08/24 11:59:59","2021/08/17 12:00:00","7001","24000000","80","10080803","カリザに累積2400万ダメージ与えよう","1008","10080803"
"1008","2000000","2021/08/24 11:59:59","2021/08/17 12:00:00","7002","1","81","10080811","カリザに1度のバトルで200万ダメージ与えよう","1008","10080811"
"1008","5000000","2021/08/24 11:59:59","2021/08/17 12:00:00","7002","1","81","10080812","カリザに1度のバトルで500万ダメージ与えよう","1008","10080812"
