8162052902996260c4aeaeab18e913d921466b73d041490c98546c61009e60ad,213daa8c5a182180790f1a171967bf4bc9bdb79f98705ab96ed2b9c634492761,65f34f8e699ffd138fdc5d3c6290c1e26e0e05be605aa1a0d862692fd5f01468,b66194ef5840bac47b01ecd9848a6e8e04c278e5d708cc57efeaa384ca74414a,f1cea66a8f93ce262d130c15cd8be2cf1ef18c0c87d8c23e95276a91300d8448,b62d28ccc14e9741984f199f219aa2d8a5bf56cd4c3edc358c89b36853aa2eea,d18dde75f679502303fcc7b80aecf429e66a96e6051fe911ae305b15c4e5033c,73fa011bd23693c678cfe99b6c2d47da38061d195bde5e0d1379fc50a96b0839,8ecf6f93851b852206865e816c1c313d4f0648751883712e182660d2c5258c6e,40c9233617cc23df530f5242d2b56a6193bf0a4d6889badf5d01dd9c85183c23,445d704319b25a95ae4a7181432942eb2b7f7d560f90330591be9c182d663f45
"1","0","1","1","1013","難易度1以上で1回クリアしよう","3","2","1","1","1"
"2","0","1","1","1013","難易度2以上で1回クリアしよう","5","2","2","2","2"
"3","0","1","1","1013","難易度3以上で1回クリアしよう","5","2","3","3","3"
"4","0","1","1","1013","難易度4以上で1回クリアしよう","5","2","4","4","4"
"5","0","1","1","1013","難易度5で1回クリアしよう","5","2","5","5","5"
"6","0","1","10","1013","迷宮遺物を累計10個集めよう","0","3","6","0","6"
"7","0","1","50","1013","迷宮遺物を累計50個集めよう","0","3","7","0","7"
"8","0","1","100","1013","迷宮遺物を累計100個集めよう","0","3","8","0","8"
"9","0","1","10","1013","キャラを累計で10人勧誘しよう","0","4","9","0","9"
"10","0","1","50","1013","キャラを累計で50人勧誘しよう","0","4","10","0","10"
"11","0","1","100","1013","キャラを累計で100人勧誘しよう","0","4","11","0","11"
"12","0","1","150","1013","キャラを累計で150人勧誘しよう","0","4","12","0","12"
"13","0","1","1","1013","アルファ強化でノードを1個解放しよう","0","5","13","0","13"
"14","0","1","5","1013","アルファ強化でノードを5個解放しよう","0","5","14","0","14"
"15","0","1","10","1013","アルファ強化でノードを10個解放しよう","0","5","15","0","15"
"16","0","1","15","1013","アルファ強化でノードを15個解放しよう","0","5","16","0","16"
"17","0","1","20","1013","アルファ強化でノードを20個解放しよう","0","5","17","0","17"
"18","0","1","25","1013","アルファ強化でノードを25個解放しよう","0","5","18","0","18"
"19","0","1","30","1013","アルファ強化でノードを30個解放しよう","0","5","19","0","19"
"20","0","1","40","1013","アルファ強化でノードを40個解放しよう","0","5","20","0","20"
"21","0","1","3","1013","難易度2以上で3回クリアしよう（スキップを除く）","5","2","21","2","21"
"22","0","1","5","1013","難易度2以上で5回クリアしよう（スキップを除く）","5","2","22","2","22"
"23","0","1","10","1013","難易度2以上で10回クリアしよう（スキップを除く）","5","2","23","2","23"
"24","0","1","12","1013","難易度2以上で12回クリアしよう（スキップを除く）","5","2","24","2","24"
"25","0","1","14","1013","難易度2以上で14回クリアしよう（スキップを除く）","5","2","25","2","25"
"26","0","1","16","1013","難易度2以上で16回クリアしよう（スキップを除く）","5","2","26","2","26"
"27","0","1","18","1013","難易度2以上で18回クリアしよう（スキップを除く）","5","2","27","2","27"
"28","0","1","20","1013","難易度2以上で20回クリアしよう（スキップを除く）","5","2","28","2","28"
"29","0","1","1","1013","キャラを20人以上勧誘した状態でクリアしよう","20","6","29","0","29"
"30","0","1","1","1013","キャラを25人以上勧誘した状態でクリアしよう","25","6","30","0","30"
"31","0","1","1","1013","キャラを30人以上勧誘した状態でクリアしよう","30","6","31","0","31"
"32","0","1","1","1013","迷宮遺物を15個以上所持した状態でクリアしよう","15","8","32","0","32"
"33","0","1","1","1013","迷宮遺物を20個以上所持した状態でクリアしよう","20","8","33","0","33"
"34","0","1","1","1013","迷宮遺物を25個以上所持した状態でクリアしよう","25","8","34","0","34"
"35","1","2","1","1014","【美食殿】難易度3以上で1回クリアしよう","5","2","35","3","35"
"36","1","2","1","1014","【美食殿】難易度4以上で1回クリアしよう","5","2","36","4","36"
"37","1","2","1","1014","【美食殿】難易度5で1回クリアしよう","5","2","37","5","37"
"38","2","2","1","1014","【トゥインクルウィッシュ】難易度3以上で1回クリアしよう","5","2","38","3","38"
"39","2","2","1","1014","【トゥインクルウィッシュ】難易度4以上で1回クリアしよう","5","2","39","4","39"
"40","2","2","1","1014","【トゥインクルウィッシュ】難易度5で1回クリアしよう","5","2","40","5","40"
"41","3","2","1","1014","【サレンディア救護院】難易度3以上で1回クリアしよう","5","2","41","3","41"
"42","3","2","1","1014","【サレンディア救護院】難易度4以上で1回クリアしよう","5","2","42","4","42"
"43","3","2","1","1014","【サレンディア救護院】難易度5で1回クリアしよう","5","2","43","5","43"
"44","4","2","1","1014","【王宮騎士団（NIGHTMARE）】難易度3以上で1回クリアしよう","5","2","44","3","44"
"45","4","2","1","1014","【王宮騎士団（NIGHTMARE）】難易度4以上で1回クリアしよう","5","2","45","4","45"
"46","4","2","1","1014","【王宮騎士団（NIGHTMARE）】難易度5で1回クリアしよう","5","2","46","5","46"
"47","5","2","1","1014","【ラビリンス】難易度3以上で1回クリアしよう","5","2","47","3","47"
"48","5","2","1","1014","【ラビリンス】難易度4以上で1回クリアしよう","5","2","48","4","48"
"49","5","2","1","1014","【ラビリンス】難易度5で1回クリアしよう","5","2","49","5","49"
