d585003b17cded3d8c7150053364aa08468c55b3fb442bd7a50fedbaef089c72,db265045f50174eba220d91a8a472d44617b26fdda6fae6bf8be788e1cf3eb96,1bdfe9c543771c41efe20fa1c92b04d3973a4c03aec6507df12d829b78d026ef,f480dd639d526ace27cb8a02a3d40932a254e838e14ecbaf0ad41a4390d5e5bf,aea843956513a6ffe55e46ba43340e2b03f3c48c0c8ec16cdcc33808d05ec680,23461c3e59953ed663264bb8f5ed56d783b456e5c9bd48e62c84cfe89c0a37c6,e6c35e75da7a1c53b63b0dd3fc1eae6ce7cf0cd4d2ccdeebbe1798b09e6305af,a2e49a392b50753b4a28e094512208632bfeb7f1b01949168d67bf715247dff6
"111","1","2","3","4","5","104","200"
"211","1","2","3","4","5","14","2"
"311","1","2","3","4","5","103","2"
"411","1","2","3","4","5","102","2"
"511","1","2","3","4","5","104","200"
"611","1","2","3","4","5","1","250"
"711","1","2","3","4","5","101","3"
"811","1","2","3","4","5","100","3"
"911","1","2","3","4","5","104","200"
"1011","1","2","3","4","5","1","250"
"1111","1","2","3","4","5","3","250"
"1112","1","2","3","4","5","5","250"
"1211","1","2","3","4","5","6","150"
"1212","1","2","3","4","5","7","150"
"1311","1","2","3","4","5","104","200"
"1411","1","2","3","4","5","103","2"
"1511","1","2","3","4","5","102","2"
"1611","1","2","3","4","5","1","250"
"1711","1","2","3","4","5","104","200"
"1811","1","2","3","4","5","2","500"
"1812","1","2","3","4","5","4","500"
"1911","1","2","3","4","5","101","3"
"2011","1","2","3","4","5","100","3"
"2111","1","2","3","4","5","104","200"
"2211","1","2","3","4","5","1","250"
"2311","1","2","3","4","5","100","3"
"2411","1","2","3","4","5","101","3"
"2511","1","2","3","4","5","104","200"
"2611","1","2","3","4","5","2","500"
"2612","1","2","3","4","5","4","500"
"2711","1","2","3","4","5","6","150"
"2712","1","2","3","4","5","7","150"
"2811","1","2","3","4","5","2","500"
"2812","1","2","3","4","5","4","500"
"2911","1","2","3","4","5","104","200"
"3011","1","2","3","4","5","3","250"
"3012","1","2","3","4","5","5","250"
"3111","1","2","3","4","5","100","3"
"3211","1","2","3","4","5","101","3"
"3311","1","2","3","4","5","104","200"
