a7940c9113ddb13088bb03ec318b5557b54b8dfb8fe8201cfd58647c368f207e,a4b6f78277c93bd02064a9a5f98eaf837b4d64adaf1758fb95038afc68bf2cda,f93f0348463da70753a78924d9138e33c18c73c73d3ae1029afa4a98ed5018ab,a66b91b92967795c240c651b515f82b551d42a48bf9717e1489d4e3eceac6140,b19e7efe39f698997e0d775a230c170b4dcfd5967531d12c0ef12974ff915f31
"1008203","-1","1008003","261","1008003"
"1026211","-1","1026011","301","1026011"
"1038202","-1","1038002","261","1038002"
"1038203","-1","1038003","261","1038003"
"1038212","-1","1038012","261","1038012"
"1045202","-1","1045002","301","1045002"
"1045212","-1","1045012","301","1045012"
"1046203","-1","1046003","261","1046003"
"1056202","-1","1056002","301","1056002"
"1056212","-1","1056012","301","1056012"
"1067203","-1","1067003","261","1067003"
"1071201","-1","1071001","301","1071001"
"1071211","-1","1071011","301","1071011"
"1071212","-1","1071012","261","1071012"
"1082202","-1","1082002","261","1082002"
"1082212","-1","1082012","261","1082012"
"1085212","-1","1085012","261","1085012"
"1089202","-1","1089002","301","1089002"
"1089212","-1","1089012","301","1089012"
"1091202","-1","1091002","261","1091002"
"1091212","-1","1091012","261","1091012"
"1103202","-1","1103002","261","1103002"
"1103212","-1","1103012","261","1103012"
"1106202","-1","1106002","261","1106002"
"1106212","-1","1106012","261","1106012"
"1110202","-1","1110002","261","1110002"
"1110212","-1","1110012","261","1110012"
"1114202","-1","1114002","261","1114002"
"1114212","-1","1114012","261","1114012"
"1119202","-1","1119002","301","1119002"
"1122201","-1","1122001","261","1122001"
"1122202","-1","1122002","261","1122002"
"1122212","-1","1122012","261","1122012"
"1129202","-1","1129002","261","1129002"
"1129212","-1","1129012","261","1129012"
"1134202","-1","1134002","261","1134002"
"1134212","-1","1134012","261","1134012"
"1137212","-1","1137012","261","1137012"
"1138201","-1","1138001","261","1138001"
"1139203","-1","1139003","301","1139003"
"1139213","-1","1139013","301","1139013"
"1141212","-1","1141012","261","1141012"
"1146202","-1","1146002","261","1146002"
"1146212","-1","1146012","261","1146012"
"1150202","-1","1150002","261","1150002"
"1150212","-1","1150012","261","1150012"
"1155203","-1","1155003","261","1155003"
"1155213","-1","1155013","261","1155013"
"1156203","-1","1156003","261","1156003"
"1156213","-1","1156013","261","1156013"
"1158203","-1","1158003","261","1158003"
"1158201","-1","1158101","261","1158101"
"1158211","-1","1158111","261","1158111"
"1164203","-1","1164003","261","1164003"
"1166203","-1","1166003","261","1166003"
"1168203","-1","1168003","261","1168003"
"1170203","-1","1170003","261","1170003"
"1170213","-1","1170013","261","1170013"
"1172203","-1","1172003","261","1172003"
"1176203","-1","1176003","261","1176003"
"1179203","-1","1179003","261","1179003"
"1190203","-1","1190003","261","1190003"
"1209203","-1","1209003","261","1209003"
"1211201","-1","1211001","261","1211001"
"1211202","-1","1211002","261","1211002"
"1211212","-1","1211012","261","1211012"
"1213202","-1","1213002","261","1213002"
"1215203","-1","1215003","261","1215003"
"1802202","-1","1802002","261","1802002"
"1802212","-1","1802012","261","1802012"
"1807202","-1","1807002","261","1807002"
"1807212","-1","1807012","261","1807012"
