37d1c781aad28ac76ecd7572c0078dbc5b9602b9179091d966a7a4cec76e4754,7de2abe44820dc81c91bcb0cf551a5cb383da10caec1af81cfa02fead3aa5ccf,7c215eca80a57fa55e9df2527955787acfa4fcfbe23ff668f67c6564336bd604,09cf18b5ad297934e98735770de405af2b55f69057cfa9536792b11bd5e6de86,426ffede45e50178b0eacec88724746aac3398cb25f1a005036bc0e3310383c3,1c84f058c8fa3fc0e533e313fe03b20132bf54f4ad6517b03946db6185d2cb90,eb0e6a06a366badd2fb6e652ab8b5950db151b4fedbd30eaa73d7ee217032acc,5f160f637a58459d249cc35f6cb44dd3d4ae9bdbc79987f78cba343ee5b3ca34,f8ba0a51e6a9d29cb8d0b30a709df451050327d1f156db28dc657de1d984b9ea,70eeca24347f18ae11dce0ddd45118d07da898fcf6b218e4bbafac8f3d9b4f14,466483bc25731ddf1e26787dbf7ac92e393a48054c3075691fbdb0c666a29ee2
"","111","23","se_travel_start_1pt","","","0","se_travel","","","101110001"
"1","111","31","10010","0","","0","10010","","1","101110002"
"1","111","31","10011","0","","0","10011","","1","101110003"
"1","111","31","10020","0","","0","10020","","0","101110004"
"-150","111","1","1001001","-150","0","62","2","<weapon>_idle","0.68","101110005"
"-75","111","1","1001002","-250","0","61","2","<weapon>_idle","0.68","101110006"
"-180","111","1","1001003","-350","0","63","2","<weapon>_idle","0.68","101110007"
"-75","111","1","1001004","-450","0","61","2","<weapon>_idle","0.68","101110008"
"-150","111","1","1001005","-550","0","62","2","<weapon>_idle","0.68","101110009"
"0.68","111","31","1001001","-150","0","-150","10012","","1","101110010"
"0.68","111","31","1001002","-75","0","-250","10012","","1","101110011"
"0.68","111","31","1001003","-180","0","-350","10012","","1","101110012"
"0.68","111","31","1001004","-75","0","-450","10012","","1","101110013"
"0.68","111","31","1001005","-150","0","-550","10012","","1","101110014"
"1","111","31","10030","0","","0","10030","","0","101110015"
"1","111","31","10031","0","","0","10031","","0","101110016"
"","111","91","0","","","","","","","101110017"
"","111","32","1","","","","10030","","","101110018"
"","111","91","0","","","","0","","","101110019"
"0","111","3","<weapon>_run","","","1","1001001","","0","101110020"
"0","111","3","<weapon>_run","","","1","1001002","","0","101110021"
"0","111","3","<weapon>_run","","","1","1001003","","0","101110022"
"0","111","3","<weapon>_run","","","1","1001004","","0","101110023"
"0","111","3","<weapon>_run","","","1","1001005","","0","101110024"
"0","111","2","800","3","","-150","1001001","","","101110025"
"0","111","2","700","3","","-75","1001002","","","101110026"
"0","111","2","600","3","","-180","1001003","","","101110027"
"0","111","2","500","3","","-75","1001004","","","101110028"
"0","111","2","400","3","","-150","1001005","","","101110029"
"0","111","33","800","3","","-150","1001001","","","101110030"
"0","111","33","700","3","","-75","1001002","","","101110031"
"0","111","33","600","3","","-180","1001003","","","101110032"
"0","111","33","500","3","","-75","1001004","","","101110033"
"0","111","33","400","3","","-150","1001005","","","101110034"
"","111","32","1","","","","10020","","","101110035"
"","111","93","0","","","","2.5","","","101110036"
"","111","32","1","","","","10031","","","101110037"
"","111","93","0","","","","0.4","","","101110038"
"","111","91","0","","","","0","","","101110039"
"","211","23","se_travel_start_2pt","","","0","se_travel","","","102110001"
"1","211","31","10010","0","","0","10010","","1","102110002"
"1","211","31","10011","0","","0","10011","","1","102110003"
"1","211","31","10020","0","","0","10020","","0","102110004"
"-90","211","1","1001001","-100","0","62","2","<weapon>_idle","0.68","102110005"
"-15","211","1","1001002","-170","0","61","2","<weapon>_idle","0.68","102110006"
"-105","211","1","1001003","-240","0","63","2","<weapon>_idle","0.68","102110007"
"-15","211","1","1001004","-310","0","61","2","<weapon>_idle","0.68","102110008"
"-90","211","1","1001005","-380","0","62","2","<weapon>_idle","0.68","102110009"
"0.68","211","31","1001001","-90","0","-100","10012","","1","102110010"
"0.68","211","31","1001002","-15","0","-170","10012","","1","102110011"
"0.68","211","31","1001003","-105","0","-240","10012","","1","102110012"
"0.68","211","31","1001004","-15","0","-310","10012","","1","102110013"
"0.68","211","31","1001005","-90","0","-380","10012","","1","102110014"
"-240","211","1","1002001","-500","0","52","2","<weapon>_idle","0.68","102110015"
"-165","211","1","1002002","-570","0","51","2","<weapon>_idle","0.68","102110016"
"-255","211","1","1002003","-640","0","53","2","<weapon>_idle","0.68","102110017"
"-165","211","1","1002004","-710","0","51","2","<weapon>_idle","0.68","102110018"
"-240","211","1","1002005","-780","0","52","2","<weapon>_idle","0.68","102110019"
