c30aa3f9ddfc341bea42af046b76c16aa071a73c43965c790477b60b8f53b1cf,205d3c5ad8b7ac5cab0b6a8c25192c3e530ff539baa68d544ee6a278f995eaac,9fa50340ad5ea77f7035897533ef9844de134ecec96c0cd9068b8003dcf5eabe,b53ec5b959ae99814900bc74c39cbdf9f0e63ecf4f267cfeccc66ab1f327720d,41e4114ec0c8e1e17a4a9180cc637aeaf82432d5c001df5f50ae8fc82a989a33,bc9e950f100acc8a020b166742c0a60875fdd1a96943c47bfbb4fb647d9ba95b,10647f9298053b70c330d2a149ec7ac47ae05a0379d22138c2ad5ead75ca1bca
"72004021","[3C404E]ボスNORMAL討伐で解放！","10","20004","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","107601"
"72005021","[3C404E]ボスNORMAL討伐で解放！","12","20005","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108001"
"72007021","[3C404E]ボスNORMAL討伐で解放！","15","20007","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108201"
"72009021","[3C404E]ボスNORMAL討伐で解放！","17","20009","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108501"
"72010021","[3C404E]ボスNORMAL討伐で解放！","19","20010","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108901"
"72011021","[3C404E]ボスNORMAL討伐で解放！","21","20011","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","109001"
"72013021","[3C404E]ボスNORMAL討伐で解放！","22","20013","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","109301"
"72015021","[3C404E]ボスNORMAL討伐で解放！","23","20015","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","110101"
"72016021","[3C404E]ボスNORMAL討伐で解放！","24","20016","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","110501"
"72018021","[3C404E]ボスNORMAL討伐で解放！","25","20018","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","111201"
"72020021","[3C404E]ボスNORMAL討伐で解放！","26","20020","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","111601"
"72021021","[3C404E]ボスNORMAL討伐で解放！","27","20021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","112101"
"72022021","[3C404E]ボスNORMAL討伐で解放！","28","20022","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","112301"
"72025021","[3C404E]ボスNORMAL討伐で解放！","29","20025","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","113001"
"72026021","[3C404E]ボスNORMAL討伐で解放！","30","20026","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","113201"
"72027021","[3C404E]ボスNORMAL討伐で解放！","31","20027","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","113501"
"72029021","[3C404E]ボスNORMAL討伐で解放！","32","20029","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","114101"
"72031021","[3C404E]ボスNORMAL討伐で解放！","33","20031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","114601"
"72032021","[3C404E]ボスNORMAL討伐で解放！","34","20032","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","114701"
"72033021","[3C404E]ボスNORMAL討伐で解放！","35","20033","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","115601"
"72035021","[3C404E]ボスNORMAL討伐で解放！","36","20035","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","115801"
"72038021","[3C404E]ボスNORMAL討伐で解放！","37","20038","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","116801"
