d833944d092cd762f6e6de83e3d2e74fa1de0e3083db18cccc535a6e8bbd3142,b47f566689f9dcf6108f2ba193dbd33cd25355105da3d4a17d03fcd49bb38e01,0a1e0732d2ee6b5a5352e8f340cdc3275545964a5bd5e78a7b81992f0213f624,651347cb6d935f955db4589f9458b01a10a3a358de5b47cff5308678cb766cf4,5999a905aa26c9907201e63d82d10a8c91e2fee8fe891f2f6395c787a4641df7,005413f881b1dde275e8d5e0f4235f817f5069130afb610a281ba7656c3fe9b6,92af0d762c4fe102d7c82bd68fa76489890be58f53bc35555539cf4345211a09,c38c4ab8a6829a21840c914c6d35e1eb09d4da8d9b2087a33db56f2a661d9b91,7b2277abd587654eb9c5eb7017ad60f42f869403a63a266cabde2528a393f76f,e251156dcdf7ad296922de571d47b2531d154b40cc8d124ae78b709496dc6e1f
"2110001","1","0","バク","パグ","0","0","0","ハグ","バグ"
"2110003","1","0","テクニック","手首","0","0","0","テイク","テクノロジー"
"2110005","1","0","ふぶき","ゆきやけ","0","0","0","じひびき","なだれ"
"2110006","1","0","化石","大理石","0","0","0","黒曜石","磁石"
"2110007","1","0","リバー","ミスト","0","0","0","ガルフ","オーシャン"
"2110008","1","0","ラットマーク","カットマーク","0","0","0","バットマーク","アットマーク"
"2110010","1","0","太陽があたらない場所","建物の中の場所","0","0","0","いつもすずしい場所","太陽の日があたる場所"
"2110011","1","0","ダブルデート","バレンタインデート","0","0","0","ハッピーデート","アップデート"
"2110012","1","0","ブルドーザー","バリケード","0","0","0","オブリガード","ブリザード"
"2110014","1","0","月","火星","0","0","0","地球","太陽"
"2110016","1","0","放物線","新幹線","0","0","0","電話線","地平線"
"2110018","1","0","白歴史","青歴史","0","0","0","赤歴史","黒歴史"
"2110019","1","0","みりん","みそ","0","0","0","お酢","しょうゆ"
"2110021","1","0","お腹","顔","0","0","0","手のひら","背中"
"2110022","1","0","ガラス板","看板","0","0","0","ベニヤ板","鉄板"
"2110023","1","0","プレスコード","エンコード","0","0","0","バーコード","ドレスコード"
"2110024","1","0","だるまおとし","まくおとし","0","0","0","やくおとし","こけらおとし"
"2110025","1","0","コイル","ライン","0","0","0","ライス","コイン"
"2110026","1","0","パラレル","パラソル","0","0","0","ナチュラル","アパレル"
"2110028","1","0","ぼかし","薄塗り","0","0","0","上塗り","透かし"
"2110031","1","0","風邪薬","胃薬","0","0","0","塗り薬","目薬"
"2110032","1","0","のれん","石の上","0","0","0","馬の耳","ぬか"
"2110034","1","0","なみだ","豆腐","0","0","0","カナブン","金棒"
"2110035","1","0","レモネード","サイダー","0","0","0","コーラ","水"
"2110036","1","0","一度","四度","0","0","0","二度","三度"
"2110037","1","0","髪の毛","メガネ","0","0","0","手ぬぐい","たんこぶ"
"2110038","1","0","光","天国","0","0","0","極楽","闇"
"2110039","1","0","団子","あんみつ","0","0","0","ようかん","ぼた餅"
"2110040","1","0","はえ","あぶ","0","0","0","か","はち"
"2110041","1","0","猿","猫","0","0","0","羊","馬"
"2110042","1","0","風","土","0","0","0","火","水"
"2110043","1","0","寒","水","0","0","0","氷","冷"
"2110044","1","0","韓","脇","0","0","0","散","朝"
"2110045","1","0","生麦","生卵","0","0","0","生米","生姜"
"2110046","1","0","先生","占星","0","0","0","先制","宣誓"
"2110047","1","0","気象","気性","0","0","0","希少","起床"
"2110049","1","0","非","未","0","0","0","無","不"
"2110050","1","0","不","未","0","0","0","無","非"
"2110051","1","0","不","未","0","0","0","非","無"
"2110052","1","0","不","無","0","0","0","非","未"
"2110053","1","0","馬耳東風","有名無実","0","0","0","一日千秋","三日坊主"
"2110054","1","0","ねこ","きつね","0","0","0","いぬ","たぬき"
"2110056","1","0","くつひも","あしのうら","0","0","0","てぶくろ","たび"
"2110058","1","0","十","万 ","0","0","0","千","百"
"2110060","1","0","九","七","0","0","0","八","十"
"2111001","1","0","ジャッジメント","ハイテンション","0","0","0","アジテーション","ハッピーエンド"
"2111002","1","0","ちぇる～ん☆","夢はスーパースター☆☆★","0","0","0","やばいですね★","どるるるる～ん★"
"2111003","1","0","獣の耳と尻尾がある","二つの角を頭部に持つ","0","0","0","最も人口が多い","尖った長い耳"
"2111004","1","0","クォン","キャォン","0","0","0","パォン","カォン"
"2111005","1","0","輝く","教育","0","0","0","高価","成長"
"2120002","1","0","銅","金","0","0","0","鉄","銀"
"2120004","1","0","ラバー","モツ","0","0","0","ハツ","レバー"
"2120005","1","0","タケウマ","ストレス","0","0","0","バシャウマ","トラウマ"
"2120006","1","0","秒雨","雷雨","0","0","0","分雨","時雨"
"2120009","1","0","銀","金","0","0","0","銅","鉄"
"2120011","1","0","大赤柱","大白柱","0","0","0","大青柱","大黒柱"
"2120012","1","0","電車","電灯","0","0","0","電源","電報"
"2120013","1","0","しょうゆ","みそ","0","0","0","お酢","みりん"
"2120014","1","0","ですぎ","こいめ","0","0","0","しぶみ","でがらし"
"2120016","1","0","うわて","じょうず","0","0","0","じょうしゅ","かみて"
"2120017","1","0","よりせき","よるせき","0","0","0","よせき","よせ"
"2120018","1","0","ロングウェイ","レールウェイ","0","0","0","フライアウェイ","フリーウェイ"
"2120021","1","0","釘","念仏","0","0","0","腕押し","かすがい"
"2120022","1","0","眉","尻","0","0","0","鼻","爪"
"2120023","1","0","小判","かすがい","0","0","0","念仏","論語"
"2120025","1","0","とっくり","巾着","0","0","0","花瓶","ひょうたん"
"2120026","1","0","馬","虎","0","0","0","牛","雀"
"2120027","1","0","一鳥一石","一兆一億","0","0","0","一長一短","一朝一夕"
"2120028","1","0","2つ","8つ","0","0","0","6つ","4つ"
"2120029","1","0","hallo","harro","0","0","0","herro","hello"
"2120031","1","0","不言実行","日進月歩","0","0","0","一進一退","優柔不断"
"2120033","1","0","木曜日","月曜日","0","0","0","日曜日","金曜日"
