00af67849a5b8c1a125c2e26a9274112df01bb30d3b3b63c95fa75533218548b,4ce46e1c3c09d9172f31762aeff98e29ae71e3fe1c24ed503ef3627fd266c656,eb7e8806d6db14beefed4fb178fde227a465a5957fc0296eb31aaf6a7236c869,980c74a1e6030ee2f99865a8b6881939e056fc8e0fd0e5f7fd9d92e12eaa38b1,561c11a31a269d4f9fb4566e791e0ceb90a626230281acaae119ccd8cea63971,c2b8c52f4e11c88292f5d73c8993f7caa1c2cb3b6e4b788bb8b930a625e8fe01,04c35849b995f19ca6422afde6a07a39ae87f457dce77542a3f795cf89a8825d,23cf64a4add3e76a8faa283377fb5a346d927dc9baca4063a986ee56ef1b5a1c,210fdad525c8df423f623fe754891160bd6a6898cc9a8d182a91f8058f2d17ce,27fbcb4227d3c76a7693abd5feb629bf0e7e9e494453999f8b9c13ba18f28386,f6c312f93157c3818f31b00b9c54509415b608e4451b36d81fc6eec7c68d12c1,73b351f43eefc61d52b28a7ac6c01672d9d7fb16cd0b5b0dd2bd770c2060faf1,564eb3bed1cc27762866d9012c1930cfa3909b219454078bb1c971a4ea7900e7,9ef3498504ab591518e64d5724058fde3a5358bff6a86961b70792b4a16afaf9
"0","カオリ（サマー）","2030/12/17 14:59:59","24015","10021","24","110501","0","1","2019/07/31 12:00:00","あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","4","4","0"
"4","カオリ（サマー）","2030/12/17 14:59:59","24016","10021","24","110501","0","2","2019/07/31 12:00:00","今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","4","1","0"
"0","カオリ（サマー）","2030/12/17 14:59:59","24017","10021","24","110501","0","3","2019/07/31 12:00:00","マジムンだらけで目が回るさ～！\nふらふらさ～！","4","4","0"
"5.2","カオリ（サマー）","2030/12/17 14:59:59","24018","10021","24","110501","0","4","2019/07/31 12:00:00","なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","1","2","0"
"4.2","カオリ（サマー）","2030/12/17 14:59:59","24019","10021","24","110501","0","5","2019/07/31 12:00:00","恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","5","6","0"
"0","カオリ（サマー）","2030/12/17 14:59:59","24020","10021","24","110501","0","6","2019/07/31 12:00:00","絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","2","2","0"
"6.4","カオリ（サマー）","2030/12/17 14:59:59","24021","10021","24","110501","0","7","2019/07/31 12:00:00","何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","1","6","0"
"0","カオリ（サマー）","2030/12/17 14:59:59","24022","10021","24","110501","0","8","2019/07/31 12:00:00","ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","2","2","0"
"10.08","カオリ（サマー）","2030/12/17 14:59:59","24023","10021","24","110501","0","9","2019/07/31 12:00:00","あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","6","3","0"
"5","カオリ（サマー）","2030/12/17 14:59:59","24024","10021","24","110501","0","10","2019/07/31 12:00:00","まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","1","2","0"
"0","カオリ（サマー）","2030/12/17 14:59:59","24025","10021","24","110501","0","11","2019/07/31 12:00:00","私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","2","2","0"
