2c4b4e0518e79a8883abd0d0533db93d85351eff45f2fbb5e6b58a381110226e,452271698c0e0c4c76c77e9f7bd4c9d6a708dcaa76ba40603948eaa342ba0d1b,961f5d2c24805712dd20ce54cfe5d93d1b49ae7fcffa7e266441b296bbd10323
"118501","1","1"
"105801","2","1"
"105901","3","1"
"106001","4","1"
"106401","5","1"
"105801","6","2"
"105901","7","3"
"106001","8","4"
"106401","9","5"
"104401","10","6"
"102201","11","7"
"100601","12","8"
"103101","13","9"
"100701","14","10"
"105301","15","11"
"100801","16","12"
"104501","17","13"
"103001","18","14"
"102901","19","15"
"104201","20","16"
"105401","21","17"
"107101","22","18"
"104701","23","19"
"103701","24","20"
"100501","25","21"
"103201","26","22"
"104801","27","23"
"103401","28","24"
"104601","29","25"
"104001","30","26"
"101201","31","27"
"101501","32","28"
"102801","33","29"
"102501","34","30"
"102301","35","31"
"102101","36","32"
"101001","37","33"
"104301","38","34"
"101701","39","35"
"101401","40","36"
"106101","41","37"
"107001","42","38"
"106501","43","39"
"106601","44","40"
"103301","45","41"
"105201","46","42"
"103801","47","43"
"102601","48","44"
"105801","49","45"
"105901","50","45"
"106001","51","45"
"106401","52","45"
"100401","53","46"
"103601","54","47"
"102001","55","48"
"100401","56","48"
"103601","57","48"
"100101","58","49"
"100101","59","50"
"100201","60","50"
"100301","61","50"
"100301","62","51"
"105501","63","52"
"105301","64","52"
"104501","65","52"
"100801","66","52"
"103001","67","52"
"105001","68","53"
"101801","69","54"
"101601","70","55"
"105001","71","55"
"101801","72","55"
"105301","73","56"
"100801","74","57"
"104501","75","58"
"103001","76","59"
"106501","77","60"
"106601","78","61"
"106701","79","62"
"106501","80","62"
"106601","81","62"
"106001","82","63"
"105901","83","64"
"106401","84","65"
"100401","85","66"
"103601","86","67"
"101801","87","68"
"105001","88","69"
"105301","89","70"
"100801","90","71"
"104501","91","72"
"103001","92","73"
"100101","93","74"
"100301","94","75"
"105801","95","76"
"106001","96","77"
"106401","97","78"
"100701","98","79"
"104401","99","80"
"103101","100","80"
"100701","101","80"
"102201","102","80"
"100601","103","80"
"103101","104","81"
"102801","105","82"
"102501","106","83"
"102101","107","84"
"102301","108","85"
"102101","109","85"
"102801","110","85"
"102501","111","85"
"105901","112","86"
"106401","113","86"
"106001","114","86"
"105801","115","86"
"106401","116","87"
"106001","117","88"
"105801","118","89"
"103101","119","90"
"100701","120","91"
"104401","121","92"
"102801","122","93"
"102501","123","94"
"102101","124","95"
"102301","125","96"
"106401","126","97"
"106001","127","98"
"105901","128","99"
"105801","129","100"
"104401","130","101"
"103101","131","102"
"100701","132","103"
"102801","133","104"
"102101","134","105"
"102301","135","106"
"105401","136","107"
"102901","137","108"
"104201","138","109"
"105401","139","109"
"102901","140","109"
"101201","141","110"
"101501","142","111"
"104001","143","112"
"101201","144","112"
"101501","145","112"
"102501","146","113"
"102301","147","114"
"102101","148","115"
"102301","149","115"
"102501","150","115"
