a26a761a645ae41e2c1230ac113deb66e48683752ac04494932258b402710c29,2857dd92c211c75b6fd709d9dfdd49d80362d5ff184463f6e8719908c795382b,cef4bffe90c0ac6f9d9bebf5f43562e943c25c4bfe0bb7116fe8985cb2d0ed7a,8bd4f82ce0873621aae5dd028acc9f9c99157afee26c671d86d1b8131a9bfa04,0d2ff67d882ffd683e203f89582fb8b42be4d561d994b11b6445cb019a851db9,580c047c227aab0da0f3fccb42b80f8bc8d678dbfb122a64330b0ffdd16108f7,7f34dca94a7f1e7c2447532a6c905de262c8176fe22cec23c7af67ee16f46ae0,66a2104ff0edad65607e1dc2f5722fe0b5eaedd290ce9c7d735d861d0b1e900a,2f67df7cf9f7df85da9723d0ba4d91a5fb62b8ea6cd38534e07e11778cf1a725,f47bc492324f120253561c0a9b7011e1e2d7d28232d21093b8cd63e63e8d4f04,e43632a18561a2eafaf22357b40449fce51b029f7f8b75aaed7245ee19f55ce8,b888e0d54941a2cd0aa3169a3cb3ae0c731494d04ed97acf8b58ce900bf42676,d3fe1e9b7443b2f00ef17e648f5b62a8be17ce9492de2df0db36a5e3efd27dad,11b1fb0d3fe0a43722ee14179449133667b4603c62d36a6c280e35ccaead01c1,ef51933a5170c05f7ee1ccd522cc7264812629a4730b49c8827f2ee675b5214a,ff0d9e4eb9622ae7eb376cf1ecda1f187a513baecae135e89ec7a0a14bd193c8,c148788defbb721d494ab5bb47c13aa2eec56a53ac5c49940919259b5a47a0db,71b584d6bfab77a32e5feb919fc0e31e143ebf28125373e89442b66bc311d101,e141896861a8da9302f1b0121653e1827c9298faf72ee77ccc511827f78ad89b
"240701","25021","2","0","2","1000","25014","25015","0","200","2","0","1000000000","2","92407","1000","10","25102","abyss_reward_icon_masterpieces_piece"
"240702","25011","2","0","2","1000","25012","25013","0","1000","2","0","2000000000","2","92407","1000","300","25021","abyss_reward_icon_astralshard"
"240703","25021","2","0","2","1000","25014","25015","0","500","2","0","3000000000","2","92407","1000","10","25102","abyss_reward_icon_masterpieces_piece"
"240704","25011","2","0","2","1000","25012","25013","0","1000","2","0","4000000000","2","92407","1000","500","25021","abyss_reward_icon_astralshard"
"240705","25021","2","0","2","1000","25014","25015","0","1000","2","0","5000000000","2","92407","1000","10","25102","abyss_reward_icon_masterpieces_piece"
"240706","25011","2","0","2","1000","25012","25013","0","1000","2","0","6000000000","2","92407","1000","1000","25021","abyss_reward_icon_astralshard"
"240707","25021","2","0","2","3000","25014","25015","0","1000","2","0","7000000000","2","92407","3000","10","25102","abyss_reward_icon_masterpieces_piece"
"240708","25011","2","0","2","3000","25012","25013","0","3000","2","0","8000000000","2","92407","3000","1000","25021","abyss_reward_icon_astralshard"
"240709","25021","2","0","2","3000","25014","25015","0","1000","2","0","9000000000","2","92407","3000","10","25102","abyss_reward_icon_masterpieces_piece"
"240710","25021","2","0","2","3000","25011","25012","0","1000","2","0","10000000000","2","92407","3000","10","25102","abyss_reward_icon_masterpieces_piece"
"240711","25021","2","0","2","3000","25013","25015","0","1000","2","0","12000000000","2","92407","3000","10","25102","abyss_reward_icon_masterpieces_piece"
"240712","25011","2","0","2","3000","25012","25014","0","3000","2","0","16000000000","2","92407","3000","1000","25021","abyss_reward_icon_astralshard"
